{'短评内容': '图片和实际严重不符，蟑螂遍地爬，家具特别破旧，服务态度极其恶劣', '短评打分': 1}
{'短评内容': '服务差评', '短评打分': 3}
{'短评内容': '很一般  卫生不好  但房子很大  没有电磁炉  洗衣机不好用  智能马桶也不好使  周围交通还挺放方便的', '短评打分': 3}
{'短评内容': '比较旧，总台基本没人', '短评打分': 4}
{'短评内容': '公寓房标准配制，有洗衣机和冰箱，但洗衣机无接水管，冰箱无接电，冰箱内部很脏，无法使用。洗衣机及冰箱成为装饰，另外北斗街在修路，晚上很燥。酒店设备旧差，但服务员每天打扫很干净，特别无线网很快，4G+网络，可以玩游戏。', '短评打分': 4}
{'短评内容': '这个酒店太差了 房间设备老化 卫生差 脏 特别是服务台的客服人员没有礼貌 态度非常不好 这样的地方 比几十块的旅店都不如 ', '短评打分': 1}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '环境和交通都不错', '短评打分': 5}
{'短评内容': '价格便宜 卫生不错 便捷方便 吃饭方便 离海不远  团购补贴 靠近地铁 机场直达', '短评打分': 5}
{'短评内容': '从房间里看中山广场的夜景不错，其他就比较一般啦', '短评打分': 3}
{'短评内容': '诈骗 实际前台价格低于携程价格 骗钱', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '公寓空间大，周围环境不错，去哪都方便！', '短评打分': 3}
