{'短评内容': '挺干净的，环境也不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '出差在携程订了这个酒店，听名字不错，就选择了。公共区域还可以，就是早晨刚起床下楼吃早餐，刚出电梯一股鱼腥还是猪肉啥味儿，特别难闻！早餐去吃吧，前台我一张券，服务员一定让给两张，说了我们吃完去前台再拿一张，非得要两张！一大早心情全被破坏！房间里也不是很干净，性价比不如香梅。', '短评打分': 2}
{'短评内容': '不错，附近也热闹，单号房间会好一些吧，双号房间临街有点吵', '短评打分': 5}
{'短评内容': '早餐一般 周边不如香梅大酒房热闹', '短评打分': 4}
{'短评内容': '服务态度很好，也很干净。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '不错，很给力！！！！！！', '短评打分': 5}
{'短评内容': '还可以，定的房没了换了个升级版的。', '短评打分': 5}
{'短评内容': '酒店早餐比较简单，房间大，晚上安静，我唯一喜欢的是安静', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '整体还不错，但地毯维护的不好，壁纸也因墙壁渗水斑驳', '短评打分': 4}
{'短评内容': '还行，房间挺大，其它一般，网络还可以', '短评打分': 3}
{'短评内容': '大厅的香味依然存在', '短评打分': 5}
{'短评内容': '房间不错，够大。设施齐全，休息，会客都不错。  早餐真的是可以在提高提高。  位置稍偏，当然性价比就高了。  卫生情况要是能再好点就好了。', '短评打分': 4}
{'短评内容': '公司旁边，很方便……………', '短评打分': 5}
{'短评内容': '还行吧价格不错', '短评打分': 4}
{'短评内容': '酒店硬件还行，电视台都是国内的。早餐准备有点晚，七点开，七点十分都末准备好。早餐品种不够丰富，太简单。出行还算方便。', '短评打分': 4}
{'短评内容': '位置很偏，房间装修很暗，很压抑，早餐很一般，还有苍蝇在食品上飞来飞去的。', '短评打分': 1}
{'短评内容': '位置偏价格高，早餐水准低，对不起这个价格。客房一般', '短评打分': 1}
{'短评内容': '非常的新，管理有序，服务周到，一句话，出乎意料的好。', '短评打分': 5}
{'短评内容': '新酒店，房间宽敞，性价比高, 准四星级标准, 很不错!', '短评打分': 3}
{'短评内容': '新酒店，很干净！服务态度非常好！', '短评打分': 3}
{'短评内容': '非常不错的酒店，客房温馨、舒适、卫生，价格也不贵，但档次不比高星级酒店差，交通也蛮方便。2楼的菜肴也不错，正宗经典粤菜。\n总体来说蛮好，今后依然会选择该酒店。', '短评打分': 5}
