{'短评内容': '................', '短评打分': 5}
{'短评内容': '.................', '短评打分': 5}
{'短评内容': '整洁，简单清爽，很好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常不错的', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '好给好好好好好好好好还好好好好好好好', '短评打分': 5}
{'短评内容': '好哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 4}
{'短评内容': '正值展会高峰，订不到酒店，幸好这里还有房。周边交通倒是挺方便的，地铁和公交都有，各类餐饮也都有，唯一不足的就是临近道路，可能会有点吵，另外房间内部空间不算大', '短评打分': 5}
{'短评内容': '没水没拖鞋，喷头坏，送水差不多一个小时才送过来…', '短评打分': 2}
{'短评内容': '经济实惠的选择！该酒店位置交通方便，地铁站就在酒店附近不远；周边配套也样样齐全，宵夜餐馆、购物商场、银行及ATM等都在周围，出行消费都很便捷。', '短评打分': 4}
{'短评内容': '服务很好，但酒店没手机充电器，希望下次酒店能有充电器，谢谢', '短评打分': 5}
{'短评内容': '服务很好，但酒店没手机充电器，希望下次酒店能有充电器，谢谢', '短评打分': 5}
{'短评内容': '还是老样子吧 装修过程味道比较重 快捷酒店还是会首先这个的', '短评打分': 5}
{'短评内容': '作为一位入住酒店的顾客，我觉得酒店环境整洁，房间布局也比较不错，干净整洁而且设施齐全，服务周到，让人舒心。给我营造了一种家的感觉，无论大处到小处都比较周到，价格也很合理。交通和周围的饮食也算比较便利！  ', '短评打分': 4}
{'短评内容': '还不错、', '短评打分': 5}
{'短评内容': '位置略微不好找   房间够大  床一般情况  ', '短评打分': 5}
