{'短评内容': '干净，宽敞，舒适，温馨!', '短评打分': 5}
{'短评内容': '房间很舒服，卫生业很好，服务态度棒棒的，住的很开心～', '短评打分': 5}
{'短评内容': '干净，清净，环境还算不错', '短评打分': 5}
{'短评内容': '早餐丰富，枕头太小了，不怎么舒服', '短评打分': 4}
{'短评内容': '・位置有一点偏，但还是不错的。 ・服务很热情，很好。 ・早饭不怎样，我觉得可能是不是应该再做好一些。 ・不过价格还是很便宜了，不错了。 ・酒店有点老，但卫生不错。', '短评打分': 5}
{'短评内容': '干净卫生，环境好。值得信赖', '短评打分': 5}
{'短评内容': '很好  很舒适', '短评打分': 5}
{'短评内容': '环境可以卫生不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '感觉一般没有评价上说的好。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '垃圾酒店！', '短评打分': 1}
{'短评内容': '还可以，房间挺好的', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '红红火火恍恍惚惚哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '一直住，服务挺好的，不错了', '短评打分': 4}
{'短评内容': '感觉不错，比较合算', '短评打分': 5}
