{'短评内容': '这次不错，没有出什么问题，挺好的。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好啊！服务热情！', '短评打分': 5}
{'短评内容': '舒服特别好，房间也不错', '短评打分': 5}
{'短评内容': '很好很大，服务很好', '短评打分': 5}
{'短评内容': '周围安静，环境好', '短评打分': 5}
{'短评内容': '非常棒的酒店', '短评打分': 5}
{'短评内容': '不错，挺好的，來了很多次了！', '短评打分': 5}
{'短评内容': '好，很好。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比高，值得推荐', '短评打分': 5}
{'短评内容': '不错，总体不错，虽然每次都遇到些小问题。。。。', '短评打分': 5}
{'短评内容': '好好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错不错不错还可以', '短评打分': 5}
{'短评内容': '不错不错不错还可以', '短评打分': 5}
{'短评内容': '挺好的，总体还不错。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体还不错，挺好的，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '总体还不错，挺好的，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '房间设施可以、吃饭餐厅贵且慢质量差，不值。周边的益泉会所也不行，饭菜太差。热带雨林餐厅也是一个毛病，住在这里泡温泉没地方吃饭，酒店管理者该思考一下经营模式了。', '短评打分': 4}
{'短评内容': '比较适合情侣出游，非常的满意', '短评打分': 5}
{'短评内容': '酒店很大，有室内游泳池和温泉。房间阳台处有一温泉池，水限量，也足够两个人泡了。服务还行。有娱乐设施，乒乓球，台球，游戏厅等…', '短评打分': 5}
{'短评内容': '没什么特别好也没什么特别不好，房间里面有池子可以直接泡，就是不确定是不是温泉水，泡起来还是挺舒服的！自驾的话可以去周边吃饭，很近', '短评打分': 4}
{'短评内容': '酒店的外表和大堂还是不错的。 但是， 1. 房间内部设施不怎样，欠档次；床很硬，卫生间太简单 2. 早餐可比县级市的四五星 ', '短评打分': 3}
{'短评内容': '不错，就是周边太荒凉', '短评打分': 5}
{'短评内容': '很好不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '设施还可以，主要还是比较清静，就是晚上轰隆隆的水泵声吵得睡不着', '短评打分': 4}
