{'短评内容': '酒店很棒', '短评打分': 5}
{'短评内容': '设施比较落后', '短评打分': 3}
{'短评内容': '酒店服务态度好，由于行程变动，提前一天离店，经协调也将网上预付的房费退了', '短评打分': 5}
{'短评内容': '出差住宿方便', '短评打分': 5}
{'短评内容': '真的不错，房间干净，前台服务态度很好，', '短评打分': 5}
{'短评内容': '很不错，条件挺好干净利落', '短评打分': 5}
{'短评内容': '出差住的，住三晚免费升级，服务很好。位置也好，出入方便。设施齐全，暖气也给力，早餐品种也挺多的，味道也不错。有机会还会入住的。值得推荐！', '短评打分': 5}
{'短评内容': '酒店有一些陈旧', '短评打分': 4}
{'短评内容': '酒店位置不错，交通方便。设施齐全，现在屋里暖气非常给力。早餐品种挺多，味道也不错。如果有机会，还会入住。', '短评打分': 5}
{'短评内容': '设施有些旧，位置好', '短评打分': 3}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '很好，下次还来', '短评打分': 5}
{'短评内容': '交通便利，打车方便，房间宽敞明亮、干净卫生，早餐也不错，值得推荐！', '短评打分': 5}
{'短评内容': '干净卫生.方便快捷、经常住这！', '短评打分': 5}
{'短评内容': '就是太冷了', '短评打分': 5}
{'短评内容': '位置很好。环境也不错。这个价格来说算很好了。', '短评打分': 5}
{'短评内容': '住住还可以，没有什么大的不好，还算中规中矩吧。', '短评打分': 4}
{'短评内容': '交通便利，离火车站，省政府及主要商业区很近，酒店接待，服务均可以，美中不足的是卫生间偏小。', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐很好，入住和结账都很方便。重要的是离火车站近。', '短评打分': 5}
{'短评内容': '总体还可以，前台服务员和客房服务员都很热情:)', '短评打分': 5}
{'短评内容': '挺好的一家酒店,紧挨着沃尔马,房间还可以,早餐也较丰富,在冰雪节找到这个价位也算不错了.', '短评打分': 5}
{'短评内容': '地理位置一般，卫生条件较好，服务态度还行，餐还可以。', '短评打分': 5}
{'短评内容': '非常不错，值得入住！非常不错，值得入住！非常不错，值得入住！非常不错，值得入住！', '短评打分': 5}
{'短评内容': '酒店设施一般，大唐装修很好，但是房间给人感觉并不像4星级的酒店。', '短评打分': 5}
{'短评内容': '不具备四星级的标准，房间有味道，感觉不是很干净。', '短评打分': 1}
{'短评内容': '服务态度还可以，就是房间的性价比不高，很普通的房间开价近四百，有点离谱了。', '短评打分': 1}
{'短评内容': '挺好的，就是有点贵。大厅很气派，旁边的正阳楼吃饭很便宜，也很方便。', '短评打分': 5}
