{'短评内容': '住了很多次了，也就图个交通方便，要是要求比较高的不要考虑。', '短评打分': 5}
{'短评内容': '还不错，交通方便，价格优惠，出门就是公园。可以考虑。', '短评打分': 5}
{'短评内容': '条件很差哦，连照明都满足不了', '短评打分': 1}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '昨天订的63  今天又成了54。不公平。我之前都是54    不过服务还行', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '还可以，&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '住了一宿没睡。隔音太差了。隔壁太能折腾了。床震声咯吱咯吱一宿', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '环境把不错', '短评打分': 5}
{'短评内容': '感觉都不错  挺好的', '短评打分': 5}
{'短评内容': '总体不错，干净就是隔音效果不怎么好。', '短评打分': 3}
{'短评内容': '卫生不错，离办事的地址比较近。周边环境稍乱。', '短评打分': 3}
{'短评内容': '房间、服务都不错，值得一去！~~~~~~', '短评打分': 3}
{'短评内容': '服务态度很好，很干净，不错的选择', '短评打分': 3}
{'短评内容': '位置环境不错，性价比高', '短评打分': 3}
