{'短评内容': '就在市中心  设施有点陈旧', '短评打分': 5}
{'短评内容': '位置不错，虽然有停车场，但是基本是满停。酒店有点历史了，但内部环境比较整洁，周边吃饭的地方很方便，特色小吃也很多！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '设备装修风格感觉是90年代的，电视像旧货市场卖的90年代的方坨坨老电视。毛巾居然是陈旧的黄颜色，塑料烧水壶发黄。', '短评打分': 2}
{'短评内容': '不能加床，很好', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '虽然设施差点，但干净，总的来说不错', '短评打分': 4}
{'短评内容': '特价房入住，比较老的宾馆，所以不会有没有窗户的房间，作为商旅出差，还是不错的选择，位于市中心区域，逛街，吃饭都很方便。', '短评打分': 4}
{'短评内容': '房间设施过旧，位置还是很好', '短评打分': 4}
{'短评内容': '刚入住，房间条件不错，卫生很好，入住很快，就是无线网络设置有点复杂。建议改下。', '短评打分': 4}
{'短评内容': '位置很好，就在高笋塘，吃东西很方便。但是停车位只有30个，而且进出比较考验手艺，老司机可以忽略^\u2006_\u2006^', '短评打分': 4}
{'短评内容': '性价比相对较高', '短评打分': 5}
{'短评内容': '设施太老旧了，不过这个价格也就这样八，这也是星际的吗', '短评打分': 2}
{'短评内容': '性价比高，交通方便。', '短评打分': 3}
{'短评内容': '位置不错!房间太陈旧了', '短评打分': 3}
{'短评内容': '环境大不如以前了，而且房间卫生很差，并且意味很重', '短评打分': 3}
{'短评内容': '非常不错建议大家购买！', '短评打分': 5}
{'短评内容': '床比较小，但是卫生间设备很好！服务还可以', '短评打分': 5}
{'短评内容': '老家的酒店，在市中心，方便，就是比较吵。', '短评打分': 5}
{'短评内容': '离市中心近，酒店环境太差，空调也差，看起完全不像4星酒店，性价比比较高，在市中心能够以如此低价住到这样得酒店，能将就一下的也就将就了。早餐种类比较少！', '短评打分': 1}
{'短评内容': '太变态了，那么热的天，居然不开空调，订的时候怎么不说没空调哦', '短评打分': 1}
{'短评内容': '还是普标比较划算，不过环境等确实还是不错，已经住过很多次了', '短评打分': 5}
{'短评内容': '地处繁华地段，设备比较陈旧，服务人员态度有待加强，但收费还合适', '短评打分': 5}
{'短评内容': '一家不错的宾馆，只是在市中心，停车位不好找。', '短评打分': 5}
{'短评内容': '位置也不错，是万州区的中心地带，而且很好找，由于本地区酒店少，房间价格有点贵。', '短评打分': 5}
{'短评内容': '酒店地址很是不错，在万州区的最繁华地区，吃得用的都很方便。', '短评打分': 5}
{'短评内容': '地理位置非常好，在万州主城区中心，出酒店大门左侧就是万州高笋塘广场，虽然是挂牌四星，但是酒店是老酒店，设施稍显陈旧，不过已经在装修，相信会面貌一新的。', '短评打分': 5}
{'短评内容': '地处市中心，房间大，设施齐全（有点旧）。双层玻璃，隔音效果好。早餐太差了。总体来说这样的价格住这样的位置还是很划算的。', '短评打分': 5}
{'短评内容': '垃圾啊，环境很差不说，大早上还有人在大厅开会吵闹，提前也不和客人知会一下，如果第二天有集会和活动应该和客人说一下，这么吵，怎么休息啊', '短评打分': 1}
{'短评内容': '很差的酒店，还是挂牌四星，跟招待所一样。', '短评打分': 1}
{'短评内容': '看来，有的网友评论不太客观。万州宾馆不但房间大，而且服务员也挺热情。', '短评打分': 5}
{'短评内容': '酒店停车库入口很窄，技术不好的童鞋要注意了，停车好像还要收费的。', '短评打分': 5}
{'短评内容': '酒店入口不太好找，在高架桥的下口边，绕了一个圈才找到的。', '短评打分': 5}
{'短评内容': '老牌的酒店了，设施老。边上就是万达广场。', '短评打分': 5}
{'短评内容': '宾馆靠路边太吵，内部设施陈旧', '短评打分': 3}
{'短评内容': '位于市中心，购物方便，自有车库太小，车只能停地下通道内社会车库', '短评打分': 3}
{'短评内容': '很陈旧的设施，晚上很闹，大半位都能听到K歌。前台服务员完全没有服务意思，说话坚酸，态度强式。没有值班经理。停车很考技术，不仅要开车技术好，还要吵架的本领强，不然没得位置，是自费项目。交通虽说在市中心，但具体位置不好找。', '短评打分': 1}
{'短评内容': '酒店地点不错，晚上休息得还可以。但普通标间房间偏小、床偏窄，这个价格基本对得起。', '短评打分': 3}
{'短评内容': '十不错', '短评打分': 3}
{'短评内容': '太吵了  晚上11点多 高笋塘还有人唱歌 跳舞  屋内东西也很旧 床也很窄···屋内中央空调 效果也不是很好  应该算不是四星的 ', '短评打分': 1}
{'短评内容': '房间很大，热水充足，前台服务好。地处城市繁华中心，新世纪、重百、工行建行中行均在 咫尺，非常方便。唯一不足是设施比较旧，隔音不好。', '短评打分': 3}
{'短评内容': '设备老化，地理位置不错！周边方便，热闹！', '短评打分': 5}
{'短评内容': '万州宾馆位置还不错，但是说是挂牌四星则太夸张，里面设施太过陈旧，性价比不高！', '短评打分': 1}
{'短评内容': '环境还好，就是卫生不是很好，浴缸里面很脏，还有虫。', '短评打分': 1}
{'短评内容': '服务不错.', '短评打分': 3}
{'短评内容': '这个酒店还是不错啊\n还算解决的我的住的难题', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间很大，网速还不错，是比较旧的三星酒店。位置很好。性价比还是不错的。', '短评打分': 5}
{'短评内容': '大堂服务员态度较差，服务不标准，不热情；客房设施陈旧，隔音效果太差。', '短评打分': 1}
{'短评内容': '，会推荐给朋友，价格偏高了点，前台服务质量不高，其它还可以。', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '帮朋友订的，他说不错，性价比高，他很满意。', '短评打分': 5}
{'短评内容': '感觉很好，虽然设备有点旧了，毕竟只是休息，不错！地理位置也好！', '短评打分': 5}
{'短评内容': '位置好，价格便宜。酒店设施有些陈旧，停车场比较小。', '短评打分': 5}
{'短评内容': '酒店服务态度不好，位置在中心广场，所以吃饭，购物方便。房间卫生不好，主要是地毯看起来不干净。', '短评打分': 1}
{'短评内容': '春节的时候去的，所以比较冷清，也没有早餐，厨师不上班。\n地理位置不错，热水也很不错。其他的一般', '短评打分': 5}
{'短评内容': '，万州宾馆性价比高，房间比较卫生，交通各方面都很便利，就是设施有点旧了，总体来说值得入住！', '短评打分': 3}
{'短评内容': '处于最繁华路段,性价比还可以,服务不错,热空调来得有点慢', '短评打分': 5}
{'短评内容': '万州宾馆性价比很好，卫生可以，在市中心出行很方便，就是地毯旧了一点，整体来说还行。', '短评打分': 5}
{'短评内容': '出行很方便，就是水很小热得比较慢。被子挺暖和的。', '短评打分': 5}
{'短评内容': '房型太老了。。。太差了。。。床也小。。。热水半个小时才出来。。。', '短评打分': 1}
{'短评内容': '设施有些太老了，需要重新装修一下，，，性价比还是可以的', '短评打分': 5}
{'短评内容': '性价比不错，值得向朋友推荐。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置较好，年代较久，设施比较老了，总的性价比还是不错的', '短评打分': 3}
{'短评内容': '酒店位置不错，服务也还行，只是年代久远，所以设施老化，但总的来说，性价比还是相当高的！！！', '短评打分': 5}
{'短评内容': '很老式的三星宾馆，但太差了。热水要开个十分钟才来，网线也不行，后来换了间房才上上去，还有异味。很不爽。。。', '短评打分': 1}
{'短评内容': '比较老的一个酒店,离闹市区近,各方面环境还可以', '短评打分': 5}
{'短评内容': '位置不错，房间装修的时间比较久远了，很旧了，还没有免费停车。', '短评打分': 3}
{'短评内容': '位置不错，可惜装修年代太久远了，还不能免费停车，不值得推荐。', '短评打分': 1}
{'短评内容': ' 条件不错，态度热情，美中不足的是隔音效果不佳  ', '短评打分': 5}
{'短评内容': '+万州宾馆还可以，就是酒店有点历史了，房间的换气扇声音有点大。总的来说还行', '短评打分': 5}
{'短评内容': '＋恩，感觉很干净…是那种老式宾馆，不过吃饭坐车什么的都很方便…', '短评打分': 5}
{'短评内容': '床头晃动做响', '短评打分': 5}
{'短评内容': '离我办事的地方很近,位置很好,早饭还行,空调强.只是酒店设施比较旧.', '短评打分': 5}
{'短评内容': '性价比还是不错的，标间120.就是里面的装修比较老旧了，因为是以前宾馆的缘故吧，电视好小&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '这家酒店是个老酒店了，整栋楼显得比较老旧了，服务人员态度还可以，房间里卫生一般，有股味，窗户都关不紧，位置还可以，位于商业区周边，出行还比较方便，如果到周边办事还可以推荐一下，价格还算比较合适。', '短评打分': 5}
{'短评内容': '酒店很一般， 设施方面有些陈旧了，酒店的位置还不错，出行还比较方便，价格方面比较不是合适。', '短评打分': 5}
{'短评内容': '服务态度一般，房间空间还可以', '短评打分': 5}
{'短评内容': '酒店设施有些陈旧了，晚上7、8点的时候有点吵，不过逛街非常方便。', '短评打分': 5}
{'短评内容': '卫生条件比较差，卫生间里的地漏居然会不通，洁浴设备相当陈旧；火柴明显有被多次使用后的划痕居然还摆在房间内；订房时明明说的的含“双早”，由于一位朋友火车晚点没有及时赶到（酒店要求入住的每个人都要登记）而只能领取一张早餐券；总的来说性价比不是太好。', '短评打分': 1}
{'短评内容': '交通很方便。房间有点陈旧了。', '短评打分': 5}
{'短评内容': '酒店性价比比较好，位置也比较不错，出去逛街很方便', '短评打分': 5}
{'短评内容': '交通便利 性价比还可以', '短评打分': 5}
{'短评内容': '位于万州核心地段，房间性价比高，出行便捷。虽然新装修不久，感觉风格稍显陈旧一点。', '短评打分': 5}
{'短评内容': '卫生还可以,很干净,就是设施有些陈旧,地理位置交通还方便,服务热情周到,性价比不错', '短评打分': 3}
{'短评内容': '酒店的位置倒是不错，价格也挺合适的，环境一般，设施比较陈旧，如果从位置来说我觉得还是不错的，但是太老旧了。', '短评打分': 3}
{'短评内容': '出行挺方便的，就是卫生间的设施很陈旧，服务还可以，买东西之类的附近很方便。', '短评打分': 5}
{'短评内容': '酒店卫生条件不好.设施也很一般.不过位置挺好挺方便出行的.其它各方面也就一般化.', '短评打分': 3}
{'短评内容': '地段不错，价格也不错，只是设施过于陈旧。', '短评打分': 3}
{'短评内容': '位置还算比较好找，卫生间有些脏，卫生间的设施感觉很陈旧，房间的卫生还算可以，服务一般，这家酒店整体感觉一般，性价比也比较一般。', '短评打分': 3}
{'短评内容': '交通便利,经济实惠,但是设施太陈旧,尤其是卫生间太旧太旧', '短评打分': 5}
{'短评内容': '地处闹市、停车困难（车位很少）、设施较旧、服务尚可。', '短评打分': 1}
{'短评内容': '酒店的位置很不错位于繁华地段，出行是很方便的，因为酒店建造时间有些久远，所以设施有些陈旧，但卫生还是不错的，相比它周围一些星级酒店，它的性价比还是比较高的，值得推荐。', '短评打分': 3}
