{'短评内容': '很棒！', '短评打分': 5}
{'短评内容': '位置偏僻，不方便出行', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '服务态度不错！', '短评打分': 5}
{'短评内容': '房间可以', '短评打分': 5}
{'短评内容': '干净，但是和携程间的沟通存在问题，预定信息需要携程网确认', '短评打分': 4}
{'短评内容': '物美价廉的高性价比酒店，舒适度不错，下次来还会考虑的！', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '感觉跟图片上看到的差距太大了吧！配置比较齐全，但品质不太好。', '短评打分': 3}
{'短评内容': '还是，离公安局近，安全。', '短评打分': 4}
{'短评内容': '前台态度很好，房间不错，价格也好。', '短评打分': 5}
{'短评内容': '酒店环境，设施方面都还行', '短评打分': 5}
{'短评内容': ' 酒店环境非常好 很安静很干净 而且是新酒店 再加上老板人很好～ 值得入住', '短评打分': 3}
