{'短评内容': '宾馆洗手间排风不好使，插座还是园头的洗衣袋还收费', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店总体服务还行，早餐什么的都还好。前台态度待提高', '短评打分': 4}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '酒店虽然旧一点但非常干净,早餐也非常棒!!!', '短评打分': 5}
{'短评内容': '环境不错 酒店毕竟年份在那里 设备不新 其他都很好', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '屋里有蚊子，床小，早餐不错！', '短评打分': 2}
{'短评内容': '韩国客人为主，硬件不错，房间不大但很舒服。一楼韩餐质次价高，严重不推荐。大堂柜台服务态度好，效率低。', '短评打分': 3}
{'短评内容': '酒店好像刚装修完，很干净舒适。很满意。这个价格很不错', '短评打分': 5}
{'短评内容': '酒店位置还好，交通方便，店内设施也挺不错的，下次来，继续住！', '短评打分': 5}
{'短评内容': '酒店基础设施很好，装修气派高贵，是理想的住宿酒店。离市区不远，周围环境安静，但不是市区内有些萧条。服务好，就是空调不是太好，住两次都是室内空调不好用，但是都给予调房。值得推荐。', '短评打分': 5}
{'短评内容': '整体来讲还可以。就是前台的服务不太好。尤其惊讶的是所谓五星级的酒店竟然说开不了发货票。理由是专用纸用没了。太遗憾了。', '短评打分': 5}
{'短评内容': '酒店新装修完很干净，设备也都是新的，值得宣传！', '短评打分': 5}
{'短评内容': '酒店的硬件设施很现代，除了房间面积稍微小些，其他的都不错，早餐也很惬意，值得一住。', '短评打分': 5}
{'短评内容': '环境设施非常精致，鲜族特色鲜明，餐饮服务一流，强烈推荐', '短评打分': 5}
{'短评内容': '房间位置超好，吃韩国料理非常方便，但价格贵', '短评打分': 5}
{'短评内容': '酒店房间一般 服务一般 早餐不好  ', '短评打分': 3}
{'短评内容': '房间还不错挺舒适的，就是位置稍微偏些，服务也可以。价格还算可以接受。', '短评打分': 5}
{'短评内容': '宁静,干净,服务态度好,房间略小,适合公务行程', '短评打分': 5}
{'短评内容': '房间卫生设施都非常好，服务态度也非常好，位置离市区稍微偏一些不过出行还算可以。', '短评打分': 5}
{'短评内容': '室内的硬件设施有些陈旧.大堂环境还不错.服务也有些不是很到位.我本人不是很推荐这家酒店.', '短评打分': 1}
{'短评内容': '住这家酒店感觉服务各方面都不错.位置很好很方便出行.硬件设施也不错.就是论价格来讲可能性价比就略低一点啦.不是综合条件还行.', '短评打分': 5}
{'短评内容': '住这家酒店感觉服务各方面都不错.位置很好很方便出行.硬件设施也不错.就是论价格来讲可能性价比就略低一点啦.不是综合条件还行.', '短评打分': 5}
