{'短评内容': '环境不错，出行也很方便，每次去武汉都会住在这里，服务还不错哦，附近有地铁站还有小吃街，房间也很干净卫生', '短评打分': 5}
{'短评内容': '不适合年轻人', '短评打分': 2}
{'短评内容': '一般，小，闷', '短评打分': 3}
{'短评内容': '很一般，性价比高，出差一晚，将就吧', '短评打分': 3}
{'短评内容': '一般，下次不想再去', '短评打分': 3}
{'短评内容': '环境还行  住的一般', '短评打分': 5}
{'短评内容': '环境一般  适合住一晚', '短评打分': 5}
{'短评内容': '环境一般  总体来说过一夜还行', '短评打分': 5}
{'短评内容': '不好，很小', '短评打分': 3}
{'短评内容': '一般般，还是别图便宜住这种酒店了！', '短评打分': 1}
{'短评内容': '一般般，就是太小', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 2}
{'短评内容': '总体来说还不错，隔音效果较差', '短评打分': 4}
{'短评内容': '一般般，不是很好，。。。。。。。。。', '短评打分': 3}
{'短评内容': '不错呗', '短评打分': 5}
{'短评内容': '房间很小，不是太干净。', '短评打分': 3}
