{'短评内容': '一般 酒店风景不错', '短评打分': 5}
{'短评内容': '非常好，干净', '短评打分': 5}
{'短评内容': '服务特别好', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 4}
{'短评内容': '在宋剑湖边上，很幽静！因为绿化多，有蚊子！中式建筑很漂亮，下次还会再去！就是打车不太方便！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '因为出差地点距离酒店很近，所以就不想跑市区住，住了后觉得很不错，安静，吃完饭可以在里面转转散步，环境没得说，下次去还会住。', '短评打分': 4}
{'短评内容': '朋友很喜欢周围环境，早餐也不错，继续！', '短评打分': 4}
{'短评内容': '很好的，下次朋友来了继续！', '短评打分': 4}
{'短评内容': '酒店服务质量好，周围环境很好，值得推荐', '短评打分': 4}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '一如既往的好，周边跑步也不错', '短评打分': 5}
{'短评内容': '酒店那个环境还是很好的！江南园林，很惬意！这个价位的酒店算很好了', '短评打分': 5}
{'短评内容': '去常州基本住这家酒店，因为离出差目的地近，且环境我也很喜欢', '短评打分': 4}
{'短评内容': '酒店不错，已多次入住', '短评打分': 4}
{'短评内容': '酒店从外表看上去挺好！房间内的装修太垃圾了！蚊子又多，被子又有霉味道！', '短评打分': 1}
