{'短评内容': '酒店不达四星,周边欠商业服务,出酒店门口感觉很荒凉,要走800米才到番禺广场地铁站', '短评打分': 5}
{'短评内容': '高级双人房 房间空调是中央空调，住客自己是调不了的， 第一个晚上一直是26,25度，第2个晚上冷醒了一看居然是23度！一个晚上都冷到睡不着， 我们一家3个 住了2个晚上病了2个回来，我28号回来，现在还是重感冒状态。。。 太无语了。，， 也很气愤。。。', '短评打分': 1}
{'短评内容': '位置有点偏，周围环境还好，安静，房间设施一般，性价比偏低', '短评打分': 3}
{'短评内容': '设施不错，价格偏高。早餐品种太少。。。。。。', '短评打分': 5}
{'短评内容': '出行交通不是很便利，很少有的士过；周边没有吃饭的地方，需要走很远。\n但住宿来说还行，服务也不错。', '短评打分': 5}
{'短评内容': '酒店房间比较大，住宿的话还算可以。但早餐开始时间要从7:30开始，有点晚了。如果\n能再早点就更OK了。', '短评打分': 5}
{'短评内容': '硬件不错，但是其他不行。说是靠着地铁站，走路要10分钟，早餐烂得不行，8点半下去吃，已经基本没有东西了，也不给补充，据说是前面人家培训的吃了一次了，任何酒店也不应该如此啊，前面吃过后面就不给补给了，9点的下来吃啥啊。退房速度奇慢，反正很不满意。', '短评打分': 1}
{'短评内容': '帮同事订的,后来反映不错,以后还会推荐的!', '短评打分': 5}
{'短评内容': '该酒店交通方便，室内环境较好，强烈推荐。', '短评打分': 5}
{'短评内容': '环境很好很安静，早餐很丰富，值得推荐入住！\n', '短评打分': 5}
{'短评内容': '酒店的设施有点旧，但是房间很大，其他还ok。', '短评打分': 5}
{'短评内容': '郡临酒店其实离地铁站很远，房间还可以。水不热。', '短评打分': 3}
{'短评内容': '不错，住了2次了。\n就是周边比较冷清。\n总体不错了。', '短评打分': 5}
{'短评内容': '房间很大，很干净！是税务局的培训酒店，一切都很到位！推荐！', '短评打分': 5}
{'短评内容': '总体还行，就是没有电蚊香，我被蚊子咬了，需要搞个电蚊香啊', '短评打分': 5}
{'短评内容': '蛮不错，番禺区位置最好的酒店，设施齐全\n服务员意识有待提高', '短评打分': 5}
{'短评内容': '新开业的酒店，设施还不错，但是位置比较偏，打车不是很方便。', '短评打分': 5}
{'短评内容': '订给朋友住的，朋友说还行吧，下次自己去感受下', '短评打分': 5}
{'短评内容': '不知道其他人是根据什么评论的，位置一般，距离地铁有段距离，房间卫生一般，地毯很脏，还不如直接用瓷砖，便于清洁。 没有门童帮忙提行李，整体印象很差。', '短评打分': 1}
{'短评内容': '位置偏点，条件不错，卫生稍差，睡觉比较安静，空调效果不佳', '短评打分': 5}
{'短评内容': '服务稍稍差，卫生打扫不彻底，硬件不错，总体还是可以的', '短评打分': 5}
{'短评内容': '酒店位置少偏，硬件条件不错，服务还待改进', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '硬件条件不错，软件条件还待改进，卫生打扫不彻底，套房的卫生打扫很差，缺乏检验和监督，还有是走廊温度太高，位置较偏，睡觉比较安静，是个性价比较高的酒店', '短评打分': 3}
{'短评内容': '硬件条件不错，软件条件还待改进，卫生打扫不彻底，缺乏检验和监督，位置较偏，睡觉比较安静，是个性价比较高的酒店', '短评打分': 3}
{'短评内容': '硬件条件不错，软件条件还待改进，卫生打扫不彻底，缺乏检验和监督，位置较偏，睡觉比较安静，是个性价比较高的酒店', '短评打分': 5}
{'短评内容': '酒店的硬件配置很好，房间装饰的很不错尤其是卫生间。', '短评打分': 5}
{'短评内容': '非常不错的酒店，建议大家入住。\r\n性价比很好哦。\r\n还有就是没有那些无聊的服务！', '短评打分': 5}
{'短评内容': '房间配置齐全，酒店的休闲娱乐设施也可以，总之对酒店的环境还是挺满意的。', '短评打分': 5}
{'短评内容': '郡临酒店的位置很好，出行方便。', '短评打分': 5}
{'短评内容': '酒店不错，就是位置太偏了。酒店不错，就是位置太偏了。', '短评打分': 5}
{'短评内容': '住宿还行，打的太难！！！', '短评打分': 5}
{'短评内容': '早上没有热水,服务人员不会讲英文.在服务上希望可以再提高.其它各方面都不错.', '短评打分': 5}
{'短评内容': '房间打扫的挺干净的，服务态度也挺热情周到的，位置有些偏，打车不是很方便的，价格方面我觉得还是比较合适的。', '短评打分': 5}
{'短评内容': '总的来说还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '地毯很脏，卫生有待改进。其他还行', '短评打分': 5}
{'短评内容': '房间很大，地址位置不错，番禺的感觉总比广州好，没有广州那么多人．', '短评打分': 5}
{'短评内容': '总的来说还不错。就是位置稍微有点偏不好截车。但是性价比还挺高的一家酒店。卫生再好点就不错了。', '短评打分': 5}
{'短评内容': '位置有点偏，交通不是很方便，其它都还好', '短评打分': 5}
