{'短评内容': '周边环境好', '短评打分': 4}
{'短评内容': '周边环境很好，食物味道不错，到设施有待完善', '短评打分': 5}
{'短评内容': '环境很好，食物味道可口，但偏贵，设施待完善。', '短评打分': 5}
{'短评内容': '房间虫子好几只，周边环境好，多注意下蚊虫问题！', '短评打分': 4}
{'短评内容': '吃的一般住的也一般非常远', '短评打分': 3}
{'短评内容': '酒店服务差，态度很差，卫生也很差', '短评打分': 2}
{'短评内容': '住的环境很好，山里空气也好，但是地方不好找，在盘山路上绕了一圈又一圈，打电话和老板确认后好容易才找到，住在山里的感觉很好，总的来说是个不错的旅行。', '短评打分': 5}
{'短评内容': '不错。房间很大，很干净，服务很好。地方较偏僻，没什么可以玩的，游泳池水脏，不能游，饭菜一般很贵。总体不错。', '短评打分': 5}
{'短评内容': '硬件还行，卫生间和经济酒店差不多，在山村里已属难得，早饭简陋点也对得起这个价格，离各景点都远，自驾比较合适。\n\n本来是想定浙北大峡谷的，晚了没订上，就订了这里。早晚有些凉爽，白天外面还是和上海一样热。\n\n看了前面的评论，特地没要b101-103，给了我a301，是离餐厅/k房最远的屋子，没想到就是晚上有其他客人在院里唱卡拉ok，唱道11点，实在忍不住了给前台连打两个电话，10分钟后才停。受不了。\n', '短评打分': 5}
{'短评内容': '景色优美沿途满山翠绿，让人有人在画中游的感觉，酒店宽敞整洁，下次一定会再来。', '短评打分': 5}
{'短评内容': '在大山深处的一个幽静的地方，美极了。下次会再来的。', '短评打分': 5}
{'短评内容': '\n山明水秀的山庄', '短评打分': 3}
{'短评内容': '地方很干净，都非常热情。推荐!\n有三个地方给后来人建议\n1.地方处于上墅乡施阮村，导航可以导到上墅乡政府，然后笔直往前开2KM左右，有很显著的龙竹山庄的牌子，左拐进去，是盘山的路\n2.提到的K房的问题，的确有点声音，但结束的很早，因为酒店好像会劝说关门的，不建议住B101-103，因为楼上就是K房。\n3.离开天荒坪这块的景区，比如天池，银坑，藏龙，都有大概15KM的距离，没有车不方便。\n总体好评！', '短评打分': 5}
{'短评内容': '环境很可以,卫生情况也可以!!服务挺热情的,就是晚上的菜好象不怎么丰富!不知道点啥!!!', '短评打分': 5}
{'短评内容': '房间、卫生间很好，很干净。服务态度非常好。四面环山，空气清晰 。物有所值 。', '短评打分': 3}
