{'descr': '很赞很经典的铁暖器……浴室内没有防滑垫没有香皂没有沐浴露…可能有沐浴露…在手盆的位置有个像挤调料的东西可能是沐浴露但是没敢用…水温很低洗了两分钟就出来了…壁灯坏的廊灯坏的电视坏的…非常开心', 'star': 4}
{'descr': '卫生很好，办事地也很近', 'star': 5}
{'descr': '环境好。服务周到。住的舒服', 'star': 5}
{'descr': '真的挺好的，赞！', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '帮朋友订的，她说还可以。离火车站不是特别远，他们几个步行过去的，很近，周边他们说都是吃烤串的地方，不过挺坑的，呵呵房间没什么可多说的，连锁酒店，', 'star': 5}
{'descr': '位置离车站很近，但是位置不是特别明显。房间不算大。但是挺干净的。价钱还算合理。周围吃的很多，逛街也很方便，离太原街很近。', 'star': 5}
{'descr': '操蛋的酒店', 'star': 1}
{'descr': '还可以吧 闹中取静 地点非常好 对面是沈阳有名气的酒吧 陌陌', 'star': 5}
{'descr': '感觉不错', 'star': 5}
{'descr': '不错哦', 'star': 5}
{'descr': '去过几次，一直非常满意！', 'star': 5}
{'descr': '不错，应该有返现啊，怎么没了了', 'star': 5}
