{'短评内容': '挺好挺好挺好', '短评打分': 4}
{'短评内容': '还行吧，如果有时间可以再找找其他酒店', '短评打分': 4}
{'短评内容': '一般，没有网上说的那么好，被子没有被套，感觉不舒服', '短评打分': 3}
{'短评内容': '床单下面还能隐约看到毛发。。', '短评打分': 2}
{'短评内容': '酒店地理位置好，服务温馨！', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '其他都还好，就是房间没有窗户的。有点闷。注意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '设备可以网速太差', '短评打分': 4}
{'短评内容': '房间太差了，连个烧水壶都没有', '短评打分': 1}
{'短评内容': '酒店的位置非常好，前台的小姑娘也很热情，房间的设置一般。', '短评打分': 5}
{'短评内容': '整体还行，就是wifi太差。', '短评打分': 4}
{'短评内容': '感觉还可以，下次再来乘坐，非常快乐的旅行', '短评打分': 4}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '不错，很诚信。', '短评打分': 5}
{'短评内容': '还可以，环境卫生凑合可以住吧。', '短评打分': 3}
{'短评内容': '这家酒店是中央空调，到了夜间都冻死了，关了吧又热，其它都还不错。', '短评打分': 5}
{'短评内容': '房间内部好像重新粉刷过，墙壁还挺干净，里面的设施就有点旧了，椅子都破了，不过卫生还挺干净，推荐一下吧、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '温州的酒店价格普遍比较高，找了一家经济型酒店，价格还要两百多，不过卫生和服务还能让我满意，价格能再便宜些就好了。', '短评打分': 5}
{'短评内容': '酒店的位置非常好，前台的小姑娘也很热情，房间的设置一般。', '短评打分': 5}
{'短评内容': '还算可以,离江边挺近的,不过在离天桥下面,感觉地理位置不太好，房间嘛也不算一般,不过早餐自助餐还算可以\n', '短评打分': 5}
{'短评内容': '相对来讲,连锁酒店中已算不错的，如果住习惯了宾馆的不妨住住快捷酒店。', '短评打分': 5}
{'短评内容': '空调都坏了，一晚上热死。房间也很简陋，除了位置可以外没什么特别的', '短评打分': 1}
{'短评内容': '地理位置不错，早餐也不错', '短评打分': 3}
{'短评内容': '很平常的一家店，没有什么特别的地方，价格还算公道，服务员态度还是非常不错，下次还会入住的。', '短评打分': 5}
{'短评内容': '酒店位置好，交通便利，服务员态度非常好，房间卫生非常干净，下次还会来住的', '短评打分': 5}
{'短评内容': '整体感觉还算可以.？就是房间如果是面向立交桥的话.会比较吵.？不过在反映了之后也顺利的换了房间.？附近就一家饭馆和点心店.', '短评打分': 3}
{'短评内容': '房间很一般，不过在温州的高房价中价位还算适中。', '短评打分': 1}
{'短评内容': '就是空调不够暖和。', '短评打分': 3}
{'短评内容': '瑞都房间非常好!价格还优惠些 房间舒适 还送早餐,希望莫泰经理过去亲身体验 比较一下 价格 和房间质量以及做好改正,以便下次光顾!但服务员态度非常好 感谢', '短评打分': 1}
{'短评内容': '本来是住过很多莫泰的 慕名而来 但是走廊非常大 有股霉味，电视特别旧 前台说是加盟店 确实有点差！不值得推荐。入住感觉后悔  同等的价格 哪怕贵一点 也另选', '短评打分': 1}
{'短评内容': '位置不错，交通很方便，卫生还可以，性价比不高。', '短评打分': 5}
{'短评内容': '觉得挺贵的，而且水很小，感觉是原来的老酒店改的。', '短评打分': 1}
{'短评内容': '酒店设备整体比较陈旧，房间里很简单，连放包的地方都没有，而且走进来一股味道，感觉不值这个价格。另外，服务员的态度还算可以。', '短评打分': 1}
{'短评内容': '位置很好，交通方便。早餐是搭在别的餐厅，服务员由保安代行职责。', '短评打分': 5}
{'短评内容': '还不错，就是朝内的房间太小，朝外的房间太吵，地理位置比较优越，不管去哪都是起步价', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '酒店环境一般，挺老的店了，而且最不能容忍的是，那个床真是太硬了。。。。。。。。。害我一晚没睡好。238元相对这种条件，还是贵了。', '短评打分': 1}
{'短评内容': '环境一般，价格不便宜，不知道是不是因为不是会员的原因，服务态度也没有其它城市的莫泰服务态度好。总体来说，与其它城市的莫泰比较，相对差一些。', '短评打分': 1}
{'短评内容': '酒店不厚道，我们订了房间的到酒店以后居然说没房，让我们在大堂等了将近一个小时~', '短评打分': 1}
{'短评内容': '出差居住比较合适，总体来说比较平均，感觉还行。', '短评打分': 5}
{'短评内容': '酒店中规中矩，适合普通商务人士入住，交通便利，方便出门办事。\n', '短评打分': 5}
{'短评内容': '交通便利，整体感觉还行，一般的商务出行是可以住一下的。', '短评打分': 5}
{'短评内容': '交通便利，服务热情。前台服务员能主动提问是否有莫泰会员卡，既可以打折，又送早餐，划算呀！', '短评打分': 5}
{'短评内容': '这个店中规中矩，旅行或出差时住住还是不错的。', '短评打分': 5}
{'短评内容': '1.整洁度给85分，还不错。算是满意\n2.床，说真的，有点硬。不过，可能是我太累了吧，一下子就睡着了。\n3.总台服务。。真的有点遭。答应要送来的盥洗用品，等了一天也没有送来。打电话还没有人接……总台的人都哪去了？\n4.跟其他莫泰168比，商务双床房真的比其他莫泰168贵。建议参考一下价格吧。\n5.晚上总有人来丢小广告。这……莫泰，你们也管一下吧。虽然说这事是小事，但相对的，就是安全管理不够', '短评打分': 5}
{'短评内容': '酒店环境较温馨，出行便利。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间比较整洁，洗澡水会忽冷忽热，总体说还不错了。', '短评打分': 5}
{'短评内容': '房间小。没有早餐不方便。交通方便。\n装潢简陋，价格贵。没办法才入住。', '短评打分': 1}
{'短评内容': '这是我住过最糟糕的酒店之一,软件硬件都不好', '短评打分': 3}
{'短评内容': '性价比不高，各种情况都一般。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '温州中桥店，感觉酒店环境和地理位置都不错，性价比挺高的！！', '短评打分': 5}
{'短评内容': '+房间有点旧，也没晚餐提供，不是很满意。', '短评打分': 5}
{'短评内容': '清洁周到', '短评打分': 5}
{'短评内容': '经济~经济~经济~经济~经济~经济~经济~经济~经济~经济~一如既往，不错', '短评打分': 3}
{'短评内容': '中规中距，物有所值，印象良好，就这样吧……我就不信字数还不够！！！', '短评打分': 3}
{'短评内容': '中规中距，物有所值，印象良好，就这样吧……', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '交通比较方便，吃饭也比较近', '短评打分': 5}
{'短评内容': '整体感觉比较干净，没有蚊子、蟑螂什么的，服务员很有礼貌，态度不错。', '短评打分': 5}
{'短评内容': '习惯住莫泰了，比较喜欢这里的装修风格，简约时尚，干净整洁，价格合理，是一般人都可以接受的。', '短评打分': 5}
{'短评内容': '我觉得住宿环境还可以，卫生搞得比较好，出门在外，还是比较注重这一点的。', '短评打分': 5}
{'短评内容': '房间很宽敞，空间够大，就是床垫和沙发没有想象中那么软，其他还算满意。', '短评打分': 5}
{'短评内容': '大床房空间还是比较大的，环境配置硬件都还是很齐全的。', '短评打分': 5}
{'短评内容': '服务员态度很一般！', '短评打分': 5}
{'短评内容': '酒店在市中心，位置不错，周边有很多吃饭、玩的地方，交通很方便哦！', '短评打分': 5}
{'短评内容': '不知道是不是因为梅雨季的缘故，杯子潮潮的，其他都还挺好。。。', '短评打分': 5}
{'短评内容': '服务和其他经济型酒店还是有差距的。早餐不好吃！价格觉得偏高了。', '短评打分': 5}
{'短评内容': '酒店的员工训练有素，态度热情有礼貌。', '短评打分': 5}
{'短评内容': '这家店环境配置都很达标，性价比也很合理适中。', '短评打分': 5}
{'短评内容': '房间设施很普通，我住的商务间有个写字台，采光还可以，靠近路边，稍微有点吵，还能接受。', '短评打分': 5}
{'短评内容': '停车挺方便的，而且离我办事的地方比较近，但是感觉隔音效果不是很好。。。。。。', '短评打分': 5}
{'短评内容': '空调是中央空调，打开的时候有噪音，服务人员办事效率还行，可能是她们太忙了，感觉没有那么热情。', '短评打分': 5}
{'短评内容': '我对连锁酒店的要求就是房间干净位置方便就可以，这家店的卫生还不错，很干净，位置距离我办事的地方也很近。', '短评打分': 5}
{'短评内容': '还过得去吧，没有感觉特别不好的地方，位置也挺好，出门买东西很方便。', '短评打分': 5}
{'短评内容': '地段还行，就是感觉比其他地方的168 贵了一点\r\n~~', '短评打分': 5}
