{'短评内容': '环境一般，在吉安地区算可以了，早餐可以再丰盛点', '短评打分': 5}
{'短评内容': '总体感觉不错，环境不错，房间虽不是很大，但是很温馨，挺干净设备挺好的一个酒店，就是前台的服务态度一般般，下次出差还会入住！', '短评打分': 5}
{'短评内容': '不错 环境不错 就是早点不怎么样不错 环境不错 就是早点不怎么样不错 环境不错 就是早点不怎么样不错 环境不错 就是早点不怎么样', '短评打分': 5}
{'短评内容': '不错 环境不错 就是早点不怎么样不错 环境不错 就是早点不怎么样', '短评打分': 5}
{'短评内容': '  还行，有些设施坏了空调声音比较大', '短评打分': 3}
{'短评内容': '不错！就在长途汽车站对面！还比较干净！房间不大、但比较整洁！', '短评打分': 5}
{'短评内容': '没有阳光～～～～～在吉安地段128简直乱弹琴，服务态度很有问题', '短评打分': 1}
{'短评内容': '其他还不错  网速快  ....................................', '短评打分': 5}
{'短评内容': '房间较小，早餐品种较少，但是靠近吉安中心车站，比较方便。', '短评打分': 1}
{'短评内容': '房间很大很新，但是服务员太差，居然当散客处理，隔音好差', '短评打分': 3}
{'短评内容': ' 交通方便', '短评打分': 3}
