{'短评内容': '太骗人了，不小旅店呢？170元呀', '短评打分': 1}
{'短评内容': '挺好，比较干净', '短评打分': 5}
{'短评内容': '非常不错，干净，卫生', '短评打分': 5}
{'短评内容': '房间桌面上都是烟灰  半夜旁边ktv吵的要死  都睡不着  第一次住也是最后一次   ', '短评打分': 2}
{'短评内容': '这个酒店不建议推荐，里面设施太老了，而且楼的外面在施工，居然不开等找了半天才找到酒店的入口，位置好，到设施不行了！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '豪华标准间2楼，窗被窗外不足1m间隔大楼挡着，比较闷、暗且被褥潮湿，更有窗不知什么嗡嗡机器声，2双拖如图3只右脚，卫生间小，浴室宽2块30cmx30Cm地砖，玻璃外就是坐便。未标配2枕/床，只配1枕/床。因', '短评打分': 2}
{'短评内容': ' 有公交能直达，但是周边的配套设施沒什麼  對面有 銀泰商場  ', '短评打分': 4}
{'短评内容': '还可以，离市中心不算很远', '短评打分': 5}
{'短评内容': '位置真心一般，有公交能直达，但是周边的配套设施真是不敢恭维。距离泰山也不近。服务挺好，早餐的样式就挺简单的了。', '短评打分': 5}
{'短评内容': '真没有住过这么差的酒店！空调声音像拖拉机，整晚都没有睡着！被子，椅子一点都不干净好像很久没人换过，上面都有灰。除了前台态度挺好的，客服态度真的很差问个问题都冲声冲气的。还有就是楼下是KTV吵得要死！房间隔音效果太差，半夜三点楼梯上还有人走来走去声音很大，烦烦烦！对了，还有热水根本不能算热水，比冷水好一点吧。', '短评打分': 1}
{'短评内容': '差！差！差！简直垃圾！谁住谁后悔，隔壁KTV哄死你，排气管声音轰隆隆吵死你，还TM不给换房间。格林渣泰！我输了，不就这点房费嘛！我不住了，重新找一家。（看图！这他妈叫窗户，直接一堵墙）。', '短评打分': 1}
{'短评内容': '卫生间洗澡的地方不能关门，wifi密码还要咨询，房间里没有提示，挺干净的，住着挺舒服。', '短评打分': 4}
{'短评内容': '房间设施有点老，洗澡间有点旧', '短评打分': 3}
