{'短评内容': '价格合适，硬件条件不错', '短评打分': 5}
{'短评内容': '还不错，性价比可以的', '短评打分': 5}
{'短评内容': '北区条件差', '短评打分': 4}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '很好很安静，干净舒适。', '短评打分': 5}
{'短评内容': '不错，就是老了', '短评打分': 5}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，所以我统一用段话作为评价内容，省时省力，还能得京东豆。总而言之、言而总之，在京东买东西又好又快！', '短评打分': 5}
{'短评内容': '非常好，整体感觉不错。', '短评打分': 5}
{'短评内容': '房间卫生挺干净，会议型酒店，交通非常便利，适合商务出行住宿。', '短评打分': 4}
{'短评内容': '卫生环境服务都满意，物超所值。', '短评打分': 5}
{'短评内容': '酒店设施好！', '短评打分': 5}
{'短评内容': '位置适中，价格适中。', '短评打分': 5}
{'短评内容': '交通方便，安静清雅', '短评打分': 5}
{'短评内容': '环境不错，安静，干净，是出差的好住处', '短评打分': 5}
{'短评内容': '房间不错，离医院近，方便，周围没北京站那么嘈杂', '短评打分': 5}
{'短评内容': '一般般，到这个价位已经很低了，而且离车站很近。', '短评打分': 3}
{'短评内容': '条件一般，主要是离去的地方比较近。', '短评打分': 3}
{'短评内容': '地理位置好，房间卫生做的也好。', '短评打分': 5}
{'短评内容': '这个北区是快捷酒店', '短评打分': 3}
{'短评内容': '挺满意。提醒大家一下，如果需要发票，直接在线提申请，会给寄过来的，很方便。', '短评打分': 5}
{'短评内容': '酒店位置离西站很近，走着就过去了，环境不错，服务也挺周到，酒店有餐厅，直接在酒店就把吃饭问题解决了。值得推荐。', '短评打分': 4}
{'短评内容': '交通方便，价格比较高', '短评打分': 5}
{'短评内容': '铁路酒店，一般，与想象中差距较大', '短评打分': 4}
{'短评内容': '很好，就是有点小贵', '短评打分': 4}
{'短评内容': '比较干净、便宜', '短评打分': 5}
{'短评内容': '比较干净、便宜', '短评打分': 5}
{'短评内容': '住宿条件还不错，位置也好，下次还可考虑。', '短评打分': 5}
{'短评内容': '网上订北区房间小点', '短评打分': 3}
{'短评内容': '房间干净卫生，设施也较好，办理入住和退房都非常快，除了价格略高外。', '短评打分': 5}
{'短评内容': '地理位置非常好 离北京西站最近的星级酒店  安全感不好', '短评打分': 5}
{'短评内容': '北楼入住条件一般,优点距西站近.', '短评打分': 3}
