{'descr': '位置偏，边上没什么商业。房间隔音一般。晚上热水不太热。', 'star': 4}
{'descr': '还不错，性价比高', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '环境很好，整洁干净，这个价格有这样的房间真的很少，很喜欢，前台的态度也是超好，停车位也是很充足的。。', 'star': 5}
{'descr': '交通方便！满干净的！免费停车！服务态度好！', 'star': 5}
{'descr': '卫生还好，就是感觉环境不是太好，设施也不算太好', 'star': 4}
{'descr': '经济公寓，主要是离厂房近，上班方便。周边工业区，设施不多。', 'star': 4}
{'descr': '酒店房间还不错，就是有点小贵', 'star': 4}
{'descr': '离机场较远 设施一般 服务态度倒是不错', 'star': 2}
{'descr': '与办事的地方很近，携程订房真的很便捷，服务也很好', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '酒店环境尚可，有线不能用，无线速度很慢，待改进。', 'star': 4}
{'descr': '总体来说一般，性价比也一般。\n服务需加强', 'star': 5}
