{'短评内容': '亲美国签证住这里最近 公寓式 挺好的 早餐只包一个人 另一个要付二十八元 早晨很简易 房间里有电磁炉 挺方便的', '短评打分': 5}
{'短评内容': '房间很大，舒适，干净，遇上特价超值了', '短评打分': 5}
{'短评内容': '性价比高，服务好，离大使馆最近。宾至如归！', '短评打分': 5}
{'短评内容': '很好住的很舒服', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '好想你了，我的宝贝可以最低价拿到了一个人的', '短评打分': 5}
{'短评内容': '好想你了，我的宝贝可以最低价拿到了一个人的时候我就不想再去看了一个人的时候我就不想再去看了一个人的时候我就不想', '短评打分': 5}
{'短评内容': '房间很好价格合理我们就住这个小区房间什么都很可以的，招待便宜客户都很好房间很好价格合理我们就住这个小区房间什么都很可以的，招待便宜客户都很好', '短评打分': 5}
{'短评内容': '房间很好价格合理我们就住这个小区房间什么都很可以的，招待便宜客户都很好房间很好价格合理我们就住这个小区房间什么都很可以的，招待便宜客户都很好', '短评打分': 5}
{'短评内容': '位置好出行方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '离签证的地方很近  酒店也还可以 ', '短评打分': 5}
{'短评内容': '房间不错挺大的，服务没有星级酒店好，而且房间设备陈旧，总体来说还是不错的', '短评打分': 4}
{'短评内容': '酒店初试营业，很多东西不全，不能刷卡，房间家具味道很重。酒店工作人员较少，但比较热情。相信完善之后，酒店在同等价位的酒店中还是有竞争力的。', '短评打分': 5}
