{'短评内容': '很好，还会住', '短评打分': 4}
{'短评内容': '客房服务周到，早餐价格合理，味道不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间挺大的 两个人住的高级双床房比较大 也提供了小零食饮品 适合出行居住或亲子旅行 但是离市中心不太近哦！', '短评打分': 4}
{'短评内容': '酒店的标间挺大的 豪华大床房装修的也挺奢华 但是稍微有点憋人 就是地方偏 有停车场早餐20一位选择比较少 希望再多加些茶点', '短评打分': 4}
{'短评内容': '挺好的，酒店环境不错', '短评打分': 5}
{'短评内容': '房间较大，但设施一般', '短评打分': 3}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店不错，可能是旅游淡季，价格便宜', '短评打分': 4}
{'短评内容': '房间不错，就是周边没什么，单调', '短评打分': 5}
{'短评内容': '除了隔音差点，其他都非常满意', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '基本满意', '短评打分': 4}
{'短评内容': '入住几次了，离办事地点较方便，以后还会关注。', '短评打分': 4}
{'短评内容': '大冷天，暖风吹俩小时也没暖。网速才1M，酒店抠门的要死，水也是自费，打火机也自费。就是前台服务员态度还不错。房间换了，还那样，凑合了只能。', '短评打分': 3}
{'短评内容': '酒店很不错，可惜位置有点远，离繁华市区有些距离~', '短评打分': 5}
{'短评内容': '隔音很好，挺舒适。就是周边吃饭购物的地方较少，酒店的早餐也太简陋了点。', '短评打分': 5}
{'短评内容': '新酒店，规模不大，别当星级宾馆住还是很不错的，最低价位的房间是168元的大床房其实就挺好，也不小，和其他快捷酒店比就很有性价比。对于想住快捷酒店的推荐入住。我是想住四星以上的，结果发现烟台真没什么像样的酒店。', '短评打分': 5}
{'短评内容': '  挺好的', '短评打分': 3}
{'短评内容': '酒店的环境卫生，服务不错。只是周边餐饮和购物网点较少，稍有不便', '短评打分': 3}
{'短评内容': '＋酒店干净卫生，服务态度好，性价比不错', '短评打分': 3}
{'短评内容': '酒店装修很温馨，干净卫生，设施不错。临近主干道，但双层窗户隔音很好。总体性价比不错，下次去还会住。', '短评打分': 5}
{'短评内容': '酒店非常不错，设施和服务都非常好，物超所值～赞一个～', '短评打分': 3}
{'短评内容': '新装修的，干净、卫生很不错，整体来说比较满意！', '短评打分': 5}
{'短评内容': '很好。没有选错的酒店', '短评打分': 3}
{'短评内容': '挺好的东西都是新的', '短评打分': 3}
{'短评内容': '很不错，因为离着家近，有亲朋好友来都住这里', '短评打分': 5}
{'短评内容': '不错的酒店 周围很安静 就是周围吃饭的地方比较少 酒店本身不错 宽带也不错 ', '短评打分': 5}
{'短评内容': '非常好   房间很干净条件很好  服务态度很好  住的很满意 是一个不错的酒店  在烟台同档次的酒店中是最好的', '短评打分': 5}
{'短评内容': 'hao 000000000000000000000000000000', '短评打分': 5}
{'短评内容': '＋烟台悦庭酒店舒适、卫生、服务也不错…缺点就是房间里椅子太少，来人只能做床上，不方便', '短评打分': 3}
{'短评内容': '差不多每周回烟台都会入住悦庭，总体很好。不过最近天气冷了，发现房间里的中央空调好象不好用啊。吃早餐也有点郁闷，我的那份其中一根油条泡浮囊了似的。。。。', '短评打分': 5}
{'短评内容': '比较喜欢悦庭家的风格，性价比高。。。不过可能是新酒店还是有装修的味道，如果有所改善，肯定入住率更高。。另外非常感谢5楼宾馆客房部的一位服务人员，由于入住的第一间房刚处理完的的防水，给我们换了另外一间房，老公把手包忘在第一间房的酒吧台上了。我们都忘的没影了，里面RMB6000+，所有证件，银行卡，车钥匙，N多单据（真的很粗心），后来是服务员给我们送过来了。感谢', '短评打分': 5}
{'短评内容': '地理位置很重要，去107比较方便。。其他的。。。不知道了。。', '短评打分': 5}
{'短评内容': '很不错。', '短评打分': 3}
{'短评内容': '前台服务很好，能很快知道房客的需求，还免费升级，挺不错的。\n\n可硬件弱了点，弄了半天也还是上不了网，需要改进啊！\n\n外面吃饭很方便。', '短评打分': 5}
{'短评内容': '新酒店，客房居然还准备了指甲剪，但细心了，赞一个。但早餐比较杯具点。\n\n新酒店，客房居然还准备了指甲剪，但细心了，赞一个。但早餐比较杯具点。\n\n新酒店，客房居然还准备了指甲剪，但细心了，赞一个。但早餐比较杯具点。', '短评打分': 5}
{'短评内容': '168价钱还是很实惠的，就是地方很偏，离火车站汽车站码头都很远，打车将近20块钱，不过房间很好，因为是新开的，很干净。前台服务态度很好。', '短评打分': 5}
{'短评内容': '相当不错。非常喜欢。酒店即干净又舒服。房间设计的也非常合理。设施也比较完善。就是没有免费矿泉水。因为到烟台已经很晚了。也没有出去买。半夜醒来找不到水。下次来烟台还住这家酒店。', '短评打分': 5}
{'短评内容': '怎么说呢 除了位置偏点 其他都特别的好！ 就是第二天由于我们没在网上再预订 想直接续房 结果他们全预订出去了 把我们轰出来了 不然真的很满意。。。 唉', '短评打分': 5}
{'短评内容': '很好,非常值得推荐!低价位,高品质的选择', '短评打分': 5}
{'短评内容': '环境十分不错，房间空间很大。室内卫生也不错，总体来说十分满意。', '短评打分': 5}
{'短评内容': '就一个字：  好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '客房很大，装修不错，但是装修的味道很厉害，会感到咽喉痛，虽然性价比很高，但是为了健康不会再入住了', '短评打分': 1}
{'短评内容': '酒店非常好，装修气派豪华，各种档次的房间都有，价格也比较合理，房间很大，很是干净舒适，床很舒服，服务态度也很好。距火车站、汽车站不远，性价比很高，是商务人士烟台首选宾馆。下次去烟台还住这家。', '短评打分': 5}
{'短评内容': '感觉很好，价格不高住的很舒适，也许是新开的吧东西都是新的，很干净没有异味，总体性价比比较合适。', '短评打分': 5}
{'短评内容': '不错的酒店，餐厅的晚餐很好，就是早餐单调，而且不是自助', '短评打分': 5}
{'短评内容': '酒店房间空间大，床很大很舒服，就是离海远了些。', '短评打分': 5}
