{'短评内容': '远离道路，安静。', '短评打分': 4}
{'短评内容': '太旧了差冻死了', '短评打分': 1}
{'短评内容': '也还行', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 5}
{'短评内容': '服务差、房间冷，这酒店太坑了，再也不会选择去', '短评打分': 1}
{'短评内容': '酒店可以，环境可以', '短评打分': 5}
{'短评内容': '条件不那么好', '短评打分': 2}
{'短评内容': '感觉很好，卫生干净，服务周到，设施齐全', '短评打分': 5}
{'短评内容': '酒店本身是不错的，就是周围啥都没有，外卖都少', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间真心大 早餐也不错 下次再来', '短评打分': 5}
{'短评内容': '挺好的啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '经常入住，刚开始时无线网络不错，后来直接不能用了，用前台也不知道怎么回事', '短评打分': 5}
{'短评内容': '酒店服务非常好，停车位也可以，房间设施一般！', '短评打分': 4}
{'短评内容': '晚上入住时的前台接待服务态度好差！早晨也好差！', '短评打分': 3}
{'短评内容': '太差了！服务整整差20年！设施无保养，热水不热、白毛巾成灰色！价钱还不低！再也不住！', '短评打分': 1}
