{'短评内容': '适合出差的同行居住', '短评打分': 5}
{'短评内容': '电视坏了，有电脑', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错，性价比很高', '短评打分': 5}
{'短评内容': '性价比高，就是有点旧了，可以装修一下。适当提高房价', '短评打分': 5}
{'短评内容': '环境卫生不错，价格也不贵，但隔音不大好', '短评打分': 5}
{'短评内容': '之前住过的，条件挺好的，这次住了3天，我想说的是如果客人要求换房，同房型，按理来说应该是无条件换房的吧，你不给换我可以退了房再订吧？前台还说一定要给我打扫卫生，不准换房，争执了一会才给换房，我在其他酒店都是直接给换的', '短评打分': 5}
{'短评内容': '酒店内部的卫生还是不错的，但是出了门就感觉脏，可能小县城都是这种感觉。在这样恶劣的环境中有家这样的酒店很难得。', '短评打分': 5}
{'短评内容': '明明定了房间和我说没有，也不懂是携程的问题还是酒店的问题，让我在前台干站着，啥玩意嘛，懒得吐槽了，反正不会再定了', '短评打分': 5}
{'短评内容': '马马虎虎吧，没有电梯，外围环境一般。房间够用吧！凑合着，性价比还行', '短评打分': 3}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位于闹市区，吃饭交通方便，推荐入住。', '短评打分': 5}
{'短评内容': '还算还可以', '短评打分': 5}
{'短评内容': '不错，下次还会光顾', '短评打分': 5}
{'短评内容': '很好，出差来的，下次还会远这家', '短评打分': 5}
{'短评内容': '酒店还不错,繁华地段,吃饭方便,!酒店还不错,繁华地段,吃饭方便,!酒店还不错,繁华地段,吃饭方便,!', '短评打分': 5}
{'短评内容': '这家酒店位置不错，在市区的繁华地带，交通方便，热闹，适合旅游的人居住。酒店内比较干净，一般用品都有配备，也有热水。不错。', '短评打分': 5}
{'短评内容': '服务态度还是挺不错的。在市中心，价格还是比较贵的。比三星的就便宜十块钱。', '短评打分': 5}
{'短评内容': '相对干净，就是没窗户。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '退房的时候太匆忙，竟然没看见给我退的押金，下午到另一个地方打开钱包两张十块的都少个角，一张五十的中间少一块，买东西人家都没人要，更坑人的是一百的还是张假币（身上只有找个我的一百块因此不可能是别的地方的），害我晚上出来买东西被人误会。', '短评打分': 1}
{'短评内容': '别的印象都挺好的，就是在酒店的电脑登入QQ，QQ直接被盗。', '短评打分': 5}
{'短评内容': '挺好的，干净舒适，就是隔音效果差了点，走廊上的声音真清晰！', '短评打分': 5}
{'短评内容': '还成吧，都是内窗。如果不注意通风的话，会有闷潮的感觉。酒店位置好。', '短评打分': 1}
{'短评内容': '  设施 都蛮不错的。 也 很新很  干净。  就是隔音是在是。空调有点声音。', '短评打分': 5}
{'短评内容': '房间的味道很重，浴巾上还有头发，两块浴巾都有头发。受不了。', '短评打分': 1}
{'短评内容': '还不错哦，，，在市中心、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、\n\n\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '很好。很干净，清净。卫生。网络速度也不错。', '短评打分': 5}
{'短评内容': '隔音效果不好！', '短评打分': 3}
{'短评内容': '干净，舒服，但是空调有点烂，一晚都在吵。', '短评打分': 5}
{'短评内容': '酒店不错，服务也可以', '短评打分': 3}
{'短评内容': '房间有种味道，而且隔音效果不好，一大早就被打扫的阿姨吵醒。', '短评打分': 3}
{'短评内容': ' 挺好的吧 就是隔音效果不大好  很干净 以后还会去的', '短评打分': 5}
{'短评内容': '整体环境还是不错的，对的起这个价格，性价比高。', '短评打分': 5}
{'短评内容': '房间面积不大，不过挺干净滴~有机会再入住~', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是没有窗户，有点闷~不过总体很不错', '短评打分': 5}
{'短评内容': '虽然刚开始出了点问题，但处理速度快，效率高。服务态度很好。', '短评打分': 5}
{'短评内容': '非常好，住的很舒服，地段也很好', '短评打分': 3}
{'短评内容': '还不错的酒店~', '短评打分': 3}
{'短评内容': '已经住了很多次了，不过这次真的觉得 隔音效果真的不行啊，半夜走廊有人打闹 房间听得一清二楚，隔音玻璃该改进了，其它的还是很好，价格偏贵一点 ', '短评打分': 5}
{'短评内容': '豪华大床房\n住在靠公路的一间，太吵，一早又开始，半夜还有个车辆的警报一直响。。无语\n然后没有电吹风', '短评打分': 1}
{'短评内容': '还不错，干净卫生，不过隔音不好。还不错，干净卫生，不过隔音不好。还不错，干净卫生，不过隔音不好。', '短评打分': 5}
{'短评内容': '地点好找，卫生干净,就是3点多到店没房间等房等了一会儿~', '短评打分': 5}
{'短评内容': '第二次入住，性价挺好的酒店，各方面都挺满意，双层玻璃虽然在街面不过隔音效果也不错', '短评打分': 5}
{'短评内容': '优点：说实话，房间环境卫生都不错，市中心，足够热闹\n缺点：就我住的商务房而言，上网慢还不说，系统不稳定，电脑绝对是有毒，害惨我了。没网我也认了，连电视都看不了，说什么服务商的问题，我晕死。没网络没电视，要我自己撸管自娱自乐？？？？\n性价比不高   同样的价位，环境不比它差半毫，在车站附近的还能带早餐', '短评打分': 1}
{'短评内容': '挺干净的 要是有更多优惠就好了  \n住了两天 还行 厕所干净', '短评打分': 5}
{'短评内容': '很不错 干净 态度好 ', '短评打分': 3}
{'短评内容': '确实如店名“宜居”所示\n1、装潢亲切自然，由家的感觉，整体设计人性化。\n2、卫浴设施实用方便。\n3、位于市中心，交通方便，治安好。\n缺点：房间的隔音效果略差。', '短评打分': 5}
{'短评内容': '就在市中心，吃饭娱乐很方便的。但热水有点不够给力。', '短评打分': 5}
{'短评内容': 'BU CUO   听干净的   以后还来住', '短评打分': 5}
{'短评内容': '貌似是新开的吧，因为房间的设施都很新很干净呢！淋浴很给力，地段很热闹，后埔街。就是要提着行李到3楼，木有楼梯！', '短评打分': 5}
{'短评内容': '不好的：1.本来定的是至尊套房，结果人过去了，竟然说是已经被人开了，没有了。2.我QQ在酒店里面电脑登录，第二天被盗了，一直给我朋友发骗钱信息，还好没人被骗，让我很纠结。3.外面很吵，封闭不是很好。4。电脑没有音响\n好的：1.环境不错，挺优雅的。2.透明的浴室，很有神秘感，非常喜欢。3.床铺挺大的，还不错', '短评打分': 1}
{'短评内容': '不错，价格实惠，环境不错，设备齐全，附近都是吃的和逛街的地方，方便。', '短评打分': 5}
{'短评内容': '还不错，是家新开的酒店，位置在市中心，挺方便的，下次仍会入住', '短评打分': 5}
{'短评内容': '很好的一家酒店 虽然是在三楼 但是环境真的超好 比七天好很多 这个价位真的物有所值', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
