{'descr': '一般 设备比较旧', 'star': 3}
{'descr': '好，很好。', 'star': 5}
{'descr': '房间干净，服务热情，安静，连锁酒店里很不错的，', 'star': 5}
{'descr': '酒店位置便利，位于解放路餐饮一条街上，对面就有解放路苏果社区店，酒店隔音效果不错，性价比高，值得推荐', 'star': 5}
{'descr': '还可以吧，应该算可以', 'star': 5}
{'descr': '进去有股厕所味，开了一会排气扇味道散了一点，附近是工地 白天有点吵，晚上还好，不过我住的那间房电视是坏的，懒得换了', 'star': 4}
{'descr': '好评好评好评', 'star': 5}
{'descr': '房间比较旧了，但地理位置很好！', 'star': 4}
{'descr': '还行', 'star': 3}
{'descr': '离公交车站台也近', 'star': 5}
{'descr': '房间有点旧，空气不太好，服务不错！', 'star': 5}
{'descr': '交通比较方便，南京南站直接坐公交车可以到，周边餐饮很多', 'star': 4}
{'descr': '太吵象睡在马路上！窗该装双层！', 'star': 4}
{'descr': '酒店位置还可以，交通比较方便，但离地铁稍远，要15分钟，房间东西还比较齐全，就是楼整体比较旧，装修也差了些，服务还可以吧', 'star': 4}
{'descr': '装修比较差', 'star': 3}
{'descr': '酒店名称:7天连锁酒店（南京解放路店）', 'star': 4}
