{'短评内容': '很好', '短评打分': 5}
{'短评内容': '空气清新剂的气味太重，鼻子不好的人慎重选择', '短评打分': 5}
{'短评内容': '很不错的一家酒店', '短评打分': 5}
{'短评内容': '1.隔音差，旁边说话听的一清二楚。2.设施差，晚上放热水一股臭味，熏的头疼，水色也发红，酒店说是新启用锅炉的原因。', '短评打分': 3}
{'短评内容': '位置很好，出门就是鼓楼，逛街的地方也很近，吃的店很多，很方便，停车在后院，车位不是很多，晚上很安静，有早餐', '短评打分': 5}
{'短评内容': '很好，价格公道，很干净！很舒服！', '短评打分': 5}
{'短评内容': '如家酒店不错', '短评打分': 5}
{'短评内容': '还不错，服务好', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '等等行行行', '短评打分': 5}
{'短评内容': '如家一个人旅行，还是满安全的，刷卡乘梯，房间卫生情况可以，酒店位置好，去哪都方便，走几步就有商业街，夜市，酒店服务员态度好，设施有点久了，如家的标配', '短评打分': 4}
{'短评内容': '房间真是不知道咋描述了，一句话，到处都充满着上一位客人住过的痕迹。前台服务的大姐很好，半夜帮我耐心办入住。', '短评打分': 4}
{'短评内容': '凌晨到的，环境干净，就是比较旧的房子了，出门就是鼓楼，离南门广场步行30分钟', '短评打分': 5}
{'短评内容': '位置不错，虽然一开始找了好久，但是熟悉后发现到周边步行街和有名的饭店还是很方便的。', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 4}
{'短评内容': '酒店位于步行街，周边购物、用餐都很方便，老毛手抓、鼓楼、玉皇阁、南门楼等步行即可到达', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '酒店卫生还不错，房间有点偏小', '短评打分': 4}
{'短评内容': '很一般般的酒店', '短评打分': 5}
{'短评内容': '很一般的酒店！', '短评打分': 5}
{'短评内容': '特别好的服务，我很喜欢，下次再去。嘻嘻.。服务很好。', '短评打分': 5}
{'短评内容': '较差！房间隔音效果不好，服务员的打扫和说话的声音，此起彼伏！\n入住一天，但停电停水了3个多小时，经过交涉后才同意延时退房！\n', '短评打分': 1}
{'短评内容': '挺安静的，不错。', '短评打分': 3}
{'短评内容': '不错，就是门口在施工，', '短评打分': 3}
{'短评内容': '还不错。交通很方便。如果再去会继续入住的。', '短评打分': 5}
{'短评内容': '很喜欢如家的感觉。真的很温馨。就是停车场小了一点，停车好麻烦。但是不用走很远就有很多好吃的。还是很不错的。', '短评打分': 5}
{'短评内容': '入住如家', '短评打分': 3}
{'短评内容': '网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以网速太慢，其他还可以', '短评打分': 5}
{'短评内容': '已住4206房', '短评打分': 3}
{'短评内容': '酒店网络实在太差，正常浏览网页都不太顺昌，更不要说看电影了。出差人事酒店的网络是基本要求，如果酒店不改善这个问题，很难有人二次入住。', '短评打分': 1}
{'短评内容': '房间还可以，就是隔音效果不好。', '短评打分': 3}
{'短评内容': '如家住宿条件一般，环境比较安静，性价比还可以', '短评打分': 3}
{'短评内容': '酒店不错,虽不算太大,但房间设施很全.服务人员态度非常好.', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 3}
{'短评内容': '还挺好的，改成了标间，酒店前台服务周到，态度也挺好。位置不错，在鼓楼附近。', '短评打分': 5}
{'短评内容': ' 隔音不好，设施较旧，前台很冷，中下吧…', '短评打分': 3}
{'短评内容': '环境和地理位置      都可以       交通也方便', '短评打分': 5}
{'短评内容': '地理位置很好，房间很干净整洁，服务也很好。', '短评打分': 5}
{'短评内容': '地理位置好，酒店干净，服务很满意，就是网速有些慢，总之非常满意的', '短评打分': 5}
{'短评内容': '很好，就象回家一样的感觉', '短评打分': 3}
{'短评内容': '交通方便，环境不错，服务态度也挺好的，还送了早餐', '短评打分': 5}
