{'短评内容': '以前一定很豪华的酒店，现在看有些老久了，维护还要加强。位置无敌，阳台看海，出门就是沙滩，早点也还算可以，停车也很方便。', '短评打分': 4}
{'短评内容': '房间够大、就在海滨，早晨看日出很美。', '短评打分': 5}
{'短评内容': '酒店位置好，楼下就是海边。就是感觉设施有些陈旧', '短评打分': 4}
{'短评内容': '就在海边，听着海浪声，蛮好…停车方便。有阳台。', '短评打分': 4}
{'短评内容': '酒店房间太小了', '短评打分': 4}
{'短评内容': '房间比较干净，推窗望海，哇，海水挺黄！', '短评打分': 5}
{'短评内容': '环境还好，紧邻海边，吹吹海风，好潮！', '短评打分': 5}
{'短评内容': '缩小版单人间！好迷你！麻雀虽小五脏俱全！就是有点潮！估计是海边的原因！出门就是海', '短评打分': 5}
{'短评内容': '离海边超级近，出门就是沙滩。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '就是特别特别的小，位置不错', '短评打分': 4}
{'短评内容': '挤挤挤挤挤挤挤挤挤挤，外强中干！', '短评打分': 3}
{'短评内容': '挺好的，就是房间地面非常脏', '短评打分': 3}
{'短评内容': '不是不是不是不是不是', '短评打分': 3}
{'短评内容': '非常好的酒店，下次有机会到兴城还会入住宁远府', '短评打分': 5}
{'短评内容': '酒店环境非常不错，安静，门口就是海滩，非常方便，中央空调的房间住着还是比较舒服。重点要提一下餐厅，一楼是餐厅，饭菜口味不错，量还多，最重要的价格不贵。', '短评打分': 5}
{'短评内容': '环境和服务都非常好', '短评打分': 3}
{'短评内容': '照片拍的远比实景强很多，房间没那么大，不过好在比较新。按三星标准就是了', '短评打分': 3}
