{'短评内容': '还可以，比较经济实惠', '短评打分': 4}
{'短评内容': '酒单设施比较陈旧，好在房间还算干净整洁，无线网络信号强，周边交通方便，早餐相对来说比较简单 ，服务态度很好！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐一般，停车方便。', '短评打分': 5}
{'短评内容': '酒店干净卫生，在度假村内，有停车场，游泳馆等', '短评打分': 5}
{'短评内容': '酒店服务很好 就是酒店设施有点差', '短评打分': 4}
{'短评内容': '很安静，房间很干净，服务也很好', '短评打分': 5}
{'短评内容': '总体感觉一般，为了方便去灵山订的。', '短评打分': 3}
{'短评内容': '客房一般，环境幽雅。', '短评打分': 4}
{'短评内容': '环境幽雅，服务设施较好，客房相对老化。', '短评打分': 4}
{'短评内容': '呵呵', '短评打分': 2}
{'短评内容': '这次是公司出差在网上订的这家酒店，路上舟车劳顿，晚上休息的很不错，酒店很安静，外部环境很不错，早餐也挺好，靠着灵山大佛，有机会带家里人过来度度假，应该也挺惬意的。', '短评打分': 5}
{'短评内容': '酒店的服务很贴心，咨询了一下旅游线路，服务员很热情的为我解答，晚上回来房间还给做了夜床服务，点个赞，总体很满意。', '短评打分': 5}
{'短评内容': '蛮偏远的。', '短评打分': 4}
{'短评内容': '酒店环境很不错，绿化让人感觉很舒服。酒店的菜肴值得点赞，太湖湖鲜特别新鲜，菜肴很地道，口味也很好，价格不是想象中那么贵，比较亲民，听餐厅员工说这边的龙虾很好吃，但这个季节龙虾已经下市了，下次有机会一定来尝尝龙虾！', '短评打分': 5}
{'短评内容': '设施比较陈旧，不推荐。房价还算便宜。还可以吧', '短评打分': 1}
{'短评内容': '感觉也就3星 花几十块钱一个人的早餐太差了 一个字难吃  希望能厚道经营', '短评打分': 1}
{'短评内容': '还好，只是想赚钱该装修了，地点还好，吃饭也不错！', '短评打分': 5}
{'短评内容': '环境优美，空气好啊，价格适中，强烈推荐啦', '短评打分': 5}
{'短评内容': '我是每年去灵山烧香凌晨入住这家酒店的，我想酒店应该有记录，可今年我预定好后，由于我定的时间是凌晨到达，酒店老打电话来确认，前后3，4个，反复问我定的房间要不要，开始我还觉得服务挺好，后来就觉得烦了，酒店内部自己的沟通有问题。酒店设施老了，沐浴产品还不错，住一晚还是没什么问题的。', '短评打分': 5}
{'短评内容': ' 第二次入住，环境还是不错的，家庭房感觉不如标房，来这边度假还是很好的', '短评打分': 3}
{'短评内容': '环境非常棒，国庆节正好游乐项目优惠，高尔夫、垂钓和台球只要50元包玩，值得，非常好！', '短评打分': 5}
{'短评内容': '酒店服务不好！', '短评打分': 3}
{'短评内容': '环境很一般，隔音太差，被隔壁房间人说话声吵醒过好几次，房间门下面有很大的缝隙，走廊的灯光都能照进房间。', '短评打分': 1}
{'短评内容': ' 环境很好，卫生间很有特点，不知道假日价格差异是否很大！', '短评打分': 3}
{'短评内容': '设施简旧，够不上四星级，价格还可以，距灵山较近。', '短评打分': 1}
{'短评内容': '度假不错的酒店。到灵山大佛和太湖的非常方便。推荐。', '短评打分': 5}
{'短评内容': '明明定的是两间房间,前台居然说你定的是一间房间.我要服务员再确认下我定的是不是两间,服务员不得不说&quot;是,定的是两间&quot;,说是十一期间房间比较紧张.要不一个房间二楼另一房间一楼.在我的坚持下,最终安排了两个房间,对此还是很不开心的.你房间紧张需要调剂你好好与顾客商量,我想如果没有大的影响的前提下顾客会理解并且同意的.不要以这种方式来达到自己的目的.', '短评打分': 1}
{'短评内容': '房间装修的比较豪华，服务不错，卫生条件很好，打扫的很干净，硬件设施很齐全，住着舒服', '短评打分': 5}
{'短评内容': '酒店娱乐配套设施齐全，有游泳池，环境还是不错的，靠近太湖边上，酒店前台提供叫车服务，房间硬件设施齐全，装修的也比较新，餐饮不错，主要以海鲜为主', '短评打分': 5}
{'短评内容': '酒店周边环境不错，附近绿化做的很好，服务不错，周到热情，住宿环境还是蛮好的', '短评打分': 5}
{'短评内容': '酒店在太湖边上，环境很好，很美，有山有树有水有花的，房间卫生条件不错，打扫的很干净，总体感觉住着很舒适', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '酒店面积挺大的，绿树成荫，有山有水的，感觉风景很美，配套的娱乐也很多，住的很舒心。', '短评打分': 5}
{'短评内容': '我觉得服务上很周到，有事都很主动帮忙，感觉挺贴心的。', '短评打分': 5}
{'短评内容': '环境很好，卫生也不错，打扫的很干净，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店位于太湖边上，周边绿化很好，空气很清新，很适合度假。', '短评打分': 5}
