{'短评内容': '很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店早餐很好，值班经理马经理服务很好，一家有艺术感的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐不错啊', '短评打分': 5}
{'短评内容': '酒店很不算，还会再来，前台服务很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '代朋友预订，', '短评打分': 5}
{'短评内容': '安静，环境还不错', '短评打分': 5}
{'短评内容': '性价比好、', '短评打分': 5}
{'短评内容': '方便在附近有业务', '短评打分': 5}
{'短评内容': 'Very nice hotel and very good location. I would recommend the place. Food in the hotel is amazing. Chengdu is a beautiful city. Will come again ', '短评打分': 5}
{'短评内容': '房间不错，就是位置有点偏。', '短评打分': 4}
{'短评内容': '房间不错，就是位置有点偏。', '短评打分': 3}
{'短评内容': '非常好的性价比酒店，，就是门口没有汽车入口，比较麻烦，，看看可否开一个口', '短评打分': 5}
{'短评内容': '酒店服务态度很好，希望下次继续入住，，', '短评打分': 5}
{'短评内容': '酒店环境不错，设施也还不错，就是就餐吃饭有点远', '短评打分': 5}
{'短评内容': '感觉总体还可以，就是部门设计有点问题，比如照片上的浴室门口。房间没有餐巾纸，因为临路口，晚上声音有点响。早餐不是太丰富。前台可以预约出租车，但这里的出租路太短都不太愿意去，会要求加价5-10块。', '短评打分': 4}
{'短评内容': '服务这些还可以，就是淋浴间淌水，镜前灯不亮，早上洗漱都没法下脚，化妆灯也不亮……', '短评打分': 4}
{'短评内容': '去参加展会，酒店有车接送，司机服务很好，酒店环境好，很不错', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '酒店设施部错，部过没有以前好！', '短评打分': 4}
{'短评内容': '酒店不错，舒服', '短评打分': 5}
{'短评内容': '酒店不错，值得住！', '短评打分': 5}
{'短评内容': '酒店不错，开车很方便。夏天可以去游泳', '短评打分': 5}
{'短评内容': '环境不错，设施比较新，四星标准', '短评打分': 5}
{'短评内容': '超棒的酒店，，之前是团购去游泳的，，很大的房间，运动会所很给力，，因为喜欢拖鞋，叫打扫的阿姨多拿了两双，，牙刷也很舒服，，我很喜欢', '短评打分': 5}
{'短评内容': '非常不错的酒店，还有健身房!!!!下次还住这', '短评打分': 3}
{'短评内容': ' 哇塞！真的质量不错哦哦哦！房间的硬件设施没话说，其他泳池 健身房之类的凭卡也可免费使用，每一层都有wifi 总得来说还是很符合它的价格的！至少觉得钱花的不冤枉', '短评打分': 3}
{'短评内容': '酒店不是很好找，但是房间确实不错，床很舒服，设施齐全，服务人员态度很好，早餐也不错', '短评打分': 5}
{'短评内容': '很好的酒店,住着舒适,推介！', '短评打分': 3}
{'短评内容': '酒店整体感觉不错，但很多地方缺少细节的把握，比如卫生间门开启方式，餐厅空调过冷，为客人指路', '短评打分': 3}
{'短评内容': '房间不错，可惜装修味太浓，感觉住在毒气室里', '短评打分': 3}
{'短评内容': '住起來真的太舒服了,離會展中心很近,TAXI跳表一次就到了,服務態度極佳,飯店乾淨整潔,下次若有去成都,必定入住', '短评打分': 5}
{'短评内容': '酒店味道太难闻了，而且前台人员素质不高，很多基本的东西都不知道！以后不会选择入住', '短评打分': 3}
{'短评内容': '酒店的内饰很有艺术气息，服务也不错，有免费的游泳和健身，就是现在还显得偏一点，不容易打到正规出租，早餐不错，午餐和晚餐可点的少。', '短评打分': 5}
{'短评内容': '性价比很高，酒店服务也很好。早餐十分丰富。美中不足是交通不太方便', '短评打分': 3}
{'短评内容': '总体来说 不错。。。总体来说 不错。。。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，只是刚装修，还有一些味儿。另外建议增设小卖部，方便客人买日常用品。', '短评打分': 5}
{'短评内容': '再次入住了，酒店不错！\n周围很安静，关键是离会展很近，办事非常方便，看来今后就选这儿了！', '短评打分': 5}
{'短评内容': '酒店不错，就在会展旁边，走路不到15分钟。旁边还有公园，真是出乎意料，忙完工作出去逛逛，空气比城里好多了，建议来这儿住住，感受一下！', '短评打分': 5}
