{'短评内容': '有点吵闹，吃饭方便', '短评打分': 5}
{'短评内容': '环境不错，房间大，方便停车，安静。', '短评打分': 5}
{'短评内容': '环境不错，房间大，方便停车，安静。', '短评打分': 5}
{'短评内容': '有停车场，早餐很好，环境也很好，设施很齐全，最主要是价格经济实惠的能住到这种酒店真的很划算推荐给大家', '短评打分': 5}
{'短评内容': '位置优越', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '服务差，酒店设施不行', '短评打分': 2}
{'短评内容': '网站叫宏源泰，到了才发现叫红城汇。临街的房间比较大但是很吵，厕所一股霉味。前台比较嘈杂，一般三星的水平吧。定的时候228元，老公在去哪网儿看的190，不明白为什么。累了只想休息就这样吧。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还是新店、真的是太差了。上当受骗了', '短评打分': 2}
{'短评内容': '网上预付了 又半夜打电话 让更改订单为现付。早上 退房等太久太久太久', '短评打分': 2}
{'短评内容': '酒店实际与网上图片相差太大。', '短评打分': 3}
{'短评内容': '周围是建材市场，环境一般，还好附近有几家过得去的餐馆。房间比预期的小，总体评价一般。', '短评打分': 4}
{'短评内容': '酒店还可以吧！', '短评打分': 5}
{'短评内容': '床头插座一个没有，紧邻马路，有点吵', '短评打分': 4}
{'短评内容': '班班', '短评打分': 3}
{'短评内容': '酒店很干净，就是位置有点偏，总体来说不错', '短评打分': 5}
{'短评内容': '第二次入住了，性价比高，有停车场，设施也还可以，服务态度也还可以。早餐需改进！', '短评打分': 5}
{'短评内容': '早餐居然只有稀饭，房间也太小，不值得推荐', '短评打分': 1}
