{'短评内容': '凌晨两点左右到的，商家服务态度很好！', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '紧邻中山公园，离海边也不算远，吃饭的地方很难找到，更别说满意的就餐地点了，老板态度还不错，先领你看房间，但是我没仔细看就入住了，之后发现原来各种设施是如此的脏 ，异味也明显，但是没有时间精力再换一个地方住了，将就住了两天，各种心疼自己。', '短评打分': 4}
{'短评内容': '除了地点好，没有好的', '短评打分': 2}
{'短评内容': '大大的停车场，老板人挺好，下次去青岛海边玩还要去这家，', '短评打分': 5}
{'短评内容': '非常满意，周边环境不错。', '短评打分': 5}
{'短评内容': '不错！位置好！确认很快！', '短评打分': 5}
{'短评内容': '环境良好，价格适中，是很好的选择。', '短评打分': 5}
{'短评内容': '经济实惠地理位置优', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间小   ', '短评打分': 1}
{'短评内容': '地理位置特别好，酒店设施一般，能凑合', '短评打分': 4}
{'短评内容': '酒店可取之处唯有在中山公园旁的位置，到各景点都有公交车可以坐，漫步去老城的景点也方便。酒店没有电梯，房间里只有顶灯和卫生间里的灯能亮，电视只能收看几个台，房间打扫需要打招呼。', '短评打分': 3}
{'短评内容': '酒店设备不全面', '短评打分': 2}
{'短评内容': '很不错，会再来～～房间很干净', '短评打分': 3}
{'短评内容': '还行，离景区很近。不错', '短评打分': 3}
{'短评内容': '态度差，服务差，要不是很有问题，我一般都是给五星。房间一股子潮位，还暗无天日。退房了就不给停车票。说只有住酒店的时候才免费停车。我不是住酒店停车啥时候停车？借个吹风这些没得。换个房间说没得，结果我说退房了，她又有房间了。', '短评打分': 3}
{'短评内容': '还行，就是阴面，比较冷，空调只能制冷…', '短评打分': 3}
{'短评内容': '一般！！！！！房间很一般', '短评打分': 3}
{'短评内容': '酒店地理位置还可以，门口坐公交车去景点都挺方便，就是设备太旧了，空调不给力，晚上热醒了', '短评打分': 5}
{'短评内容': '位置真的不错，我是冲天泰体育场去的，这家宾馆就在天泰的对面，穿过一条马路就是了，比想象中的还要近，太棒了！而且旁边就是中山公园，离其他景区也很近，去海水浴场步行都可以的。不错！', '短评打分': 5}
{'短评内容': '强烈不推荐该酒店。住了一天真是糟糕透了。首先，预定了两间标间，到酒店一看完全不像网上的照片。屋内座椅圆桌全没有，两间房一个三楼一个二楼，其中二楼房间还没窗户，要求调换，答没房了。勉强入驻后，才发现三楼房内没电话，另一间房内住的是两位老人，无法联系，不在同一楼层也不方便照顾。电视也不能看，紧接着最想不到的事情发生了，屋内的窗玻璃上竟然趴着一只壁虎，看清楚是在屋内。简直崩溃了，找经理，找不到。协商良久', '短评打分': 1}
{'短评内容': '本来预定的是商务双人房，但到那里之后，酒店的人跟我们说，房间没有了，所以给我们安排了观景房，我们一听，还挺高兴的，觉得这个酒店还特好的，满贴心的。等拿了房卡到房间一看，我去······房间巨小，最过分的是还没有窗户！！！！什么情况！！！于是我们又下去找前台的的人询问，才知道商务双人房又有空房了，人家也没和我们说一声，直接把我们有安排到了商务双人房！！！！但此商务双人房和网站上所说的差距很大，没有窗', '短评打分': 1}
{'短评内容': '离一浴二浴蛮近的，还有八大关，但附近没什么吃的，环境潮湿，比较老旧，只胜在位置离海近', '短评打分': 3}
{'短评内容': '酒店位置很好，就在第一海水浴场旁边，中山公园门口。但是客房质量不算很好，一般化。设施比较干净，晚上也很安静。总体很满意。', '短评打分': 5}
{'短评内容': '离中山公园很近。但是空调不好也挺闷的。。。', '短评打分': 1}
{'短评内容': '还不错，稍微有点潮的味道，可能也是离海边近而且没有窗户的缘故，房间很大，玻璃外面是餐厅，但是不吵，服务还可以，但是洗手池设计的不是很好，总往外流水。。。', '短评打分': 5}
{'短评内容': '本酒店被褥潮湿，卫生差，服务不好，早餐一般', '短评打分': 3}
{'短评内容': '离着海边很近，住宿条件一般，离着中山公园也很近，游玩很方便，对面是天泰体育场', '短评打分': 5}
{'短评内容': '酒店就在中山公园傍边，交通很方便，环境也还可以，就睡床有点硬。总的来说不错！', '短评打分': 5}
{'短评内容': '酒店地点很好，就是没窗户', '短评打分': 3}
{'短评内容': '服务好，交通方便。就是宾馆的隔音不是特别理想。', '短评打分': 5}
{'短评内容': '已入住，很不错。', '短评打分': 3}
{'短评内容': '离青岛海边很近，步行只要不到10分钟\n虽然特价房没有窗户，但是价钱可以接受。\n早餐稍微差了点，希望改进~', '短评打分': 5}
{'短评内容': '地理位置还算不错、紧邻中山公园、往前走就是两百米就是海水浴场、服务也还好、特价房算是比较划算、其他房间就不太清楚、房间如果不开排风扇会有一股怪味道、特价房很少有窗户喔、', '短评打分': 5}
{'短评内容': ' 酒店特价房不是特小就是没窗，应该事先说明。', '短评打分': 3}
{'短评内容': '就是房間窗戶不能開,室內有些潮濕,所以有點霉味.还有就是周边没有超市等，买东西不太方便，晚上打出很不方便唯一的就是离海边很近\n\n', '短评打分': 1}
{'短评内容': '这宾馆唯一好的地方就是离海边不远，想游泳的人可以走着去走着回来。其他的都很差。房间有蚊子。马桶漏水，我告知前台，前台说找人修了，3天都没见人来。其间我还提醒过前台一次。一方面马桶漏水有声音，另一方面则是资源浪费。没有餐厅，早餐自助餐几乎什么都没有。第一个早上，是被宾馆砸玻璃的声音吵醒的，7点半。到了自助餐餐厅，几乎什么都没有。附近没餐厅，只好将就着吃。第二天，没被吵醒，不过八点半起来，就什么都没了', '短评打分': 1}
{'短评内容': '离海滨浴场很近，但门前在修地铁，从火车站去它们哪里，司机往往拒载，其它就是从武昌路绕一下，不知道为什么都不拉。', '短评打分': 5}
{'短评内容': '二次入住。位置不错，往东往西都方便，距离火车站公交也就半个小时。豪华房空间大、可看街景，因此薄窗帘要24小时拉上，通风用小窗户没有纱窗，鸡肋。第一天有些潮气，开排湿就好。屋内落地空调不能用，两台电视只有一个机顶盒，要添加床单会以各种理由拒绝，想借用冰箱不论几点都是厨房已经关门了……真心喜欢的酒店，希望细小的服务可以跟上。', '短评打分': 5}
{'短评内容': '位置很方便，到第一浴场步行大约五分钟，价格偏高', '短评打分': 5}
{'短评内容': '靠海很近，出门也很方便，对面就是公交站台，隔壁是中山公园。蛮不错', '短评打分': 5}
{'短评内容': '離海邊近,前面公交車也多,ru.就是房間窗戶不能開,室內有些潮濕,所以有點霉味.', '短评打分': 1}
{'短评内容': '住的特价房 ，无窗 ，感觉压抑 ，259也不便宜 ，性价比不高。', '短评打分': 1}
{'短评内容': '前台小姐态度很好，要得无窗的特价，稍微有点潮，但整体还不错！', '短评打分': 5}
{'短评内容': '还可以,交通方便!', '短评打分': 3}
{'短评内容': '从外面看起来还不错，但是里面空间小不说，床非常硬，像地板似的，前台说，床就那样，爱住不住。', '短评打分': 3}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '比较干净，价格还行，环境不错，就是周边没有超市等，买东西不太方便', '短评打分': 3}
{'短评内容': '房间面积很小，隔音一般，电视要先换控制器,再换机顶盒,才能看,频道太少，服务不错。', '短评打分': 3}
{'短评内容': '位置不错 服务也行 房间很干净 要是能提供免费早点就更好了', '短评打分': 3}
{'短评内容': '酒店的位置靠中山公园，非常方便，价格偏高，性价比好像有点低', '短评打分': 5}
{'短评内容': '酒店条件基本让人满意，只是设施有点旧，服务态度挺好的', '短评打分': 5}
