{'短评内容': '交通位置不错', '短评打分': 5}
{'短评内容': '不能加床', '短评打分': 5}
{'短评内容': '有的房不能加床，位置方便，停车可以', '短评打分': 4}
{'短评内容': '还算方便', '短评打分': 3}
{'短评内容': '就是无线WiFi信号不好', '短评打分': 4}
{'短评内容': '地理位置方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '除了停车场小点，其他的都不错，下次还来。', '短评打分': 5}
{'短评内容': '在海关大楼院内，安静舒适', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '可以，早上没有热水洗澡', '短评打分': 4}
{'短评内容': '房间环境位置都很好！就一个缺点，没有无线网络', '短评打分': 3}
{'短评内容': '还行，只是装修有点旧了，每隔几年都要来住住', '短评打分': 4}
{'短评内容': '价格实惠，交通也很方便', '短评打分': 5}
{'短评内容': '酒店还不错，酒店位置很好，价格优惠', '短评打分': 4}
{'短评内容': '环境卫生很好，房间够大，上网很快。', '短评打分': 5}
