{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '无拖鞋无吹风机并且门卡门卡打不开房间也不更换，白天晚上都挺吵，一直有人在楼道里说话，半夜十二点多，声音特别大。房间和卫生间灯光昏暗，', '短评打分': 3}
{'短评内容': '周围环境很好，酒店内卫生不好，最起码的一次性拖鞋没有，等非常非常暗，急需改正啊！', '短评打分': 3}
{'短评内容': '进屋有股潮湿的味道！', '短评打分': 5}
{'短评内容': '很不错的一家酒店', '短评打分': 5}
{'短评内容': '整体不错，价格实惠，房间比较干净', '短评打分': 5}
{'短评内容': '很不错哦，干净，就是灯光不好', '短评打分': 5}
{'短评内容': '酒店位置不错，周边吃饭很方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '位置可以，有点吵', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '便宜是一方面，但是居住体验就一般啦', '短评打分': 3}
{'短评内容': '周围环境不太好，一般吧，一直点评', '短评打分': 3}
{'短评内容': '还行，就是有点旧旧的感觉，不过家里人说还好', '短评打分': 3}
{'短评内容': '西安的城墙真的是一大特色  一定要保护起来', '短评打分': 3}
