{'短评内容': '特别好的的位置也特别好 老板也特别热情', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '无早餐，自己住的很安全，卫生不错，老板服务很好！距离景点业不远。', '短评打分': 5}
{'短评内容': '因为是国庆的横店影视城旅游，价格很贵，我买的2百6十几的价格，感觉住的是价格8十几的的酒店体验。这个酒店和郑爽的蛋壳店在一条街上，很近。', '短评打分': 4}
{'短评内容': '房间内的环境一般吧，不是瓷砖地，铺了地毯，不是很干净，借用我朋友的话来说就是房间里唯一敢碰的就是那张床了', '短评打分': 3}
{'短评内容': '房间干净 服务好 停车方便', '短评打分': 5}
{'短评内容': '游客千万别住，打死也不会去这家黑店了，酒店设施坏的，吓人！！！！第一位置并不是很好，同学有事就急忙赶过来了，顺便附近逛逛，离附近的景点也很远，有几公里呢。第二态度很差，房间窗户坏了，房间里面的设施用眼睛看、外观肯定看不出来是好坏啊，看起来是好的，但是关窗户或者开窗户透透气的时候才知道是坏的啊。然后酒店的说是店长拿着维修工具上来关一下窗户说是坏了，就维修起来，修了几分钟修好了。既然窗户是坏的，就不排', '短评打分': 1}
{'短评内容': '蛮好的工作人员很热情', '短评打分': 5}
{'短评内容': '厕所有很大味道不知道啥味', '短评打分': 3}
{'短评内容': '有一种到家的感觉，服务态度一流的', '短评打分': 5}
{'短评内容': '很好找，离景区也不远', '短评打分': 3}
{'短评内容': '位置还比较好找，但是环境不是一般差，性价比不高！', '短评打分': 4}
{'短评内容': '服务态度好，特别是卫生还干净，在我住过的差不多价位的宾馆里是最好的了。位置居中，到各景区都很近！房间采光，格局都很好。还可以开发票哦！性价比高！', '短评打分': 5}
{'短评内容': '酒店离梦幻谷近点，周边吃的地方不多。卫生巾给的一次性牙刷一个都已经打开的。被子有点脏卫生还是需要再改进下的。', '短评打分': 4}
{'短评内容': '一般般吧，态度还好。节假日没加钱就不错了', '短评打分': 3}
{'短评内容': '酒店还行，就这个价，不赚不亏！电视是老式的，没有一次性拖鞋！其他还不错！', '短评打分': 5}
{'短评内容': '虽然没有大酒店的气派，但装修得比较新，地段稍微偏了点，不过也还好。', '短评打分': 5}
{'短评内容': '被套有一个疑似老鼠咬出来的大洞，换了一条，又是有一大块污点的，安全栓坏了也不修。这个价有点不值。', '短评打分': 1}
{'短评内容': '电梯太狭窄了~！幽闭恐惧症的人坐那电梯会被吓死！', '短评打分': 1}
{'短评内容': '因為本來很便宜，因為本來很便宜，因為本來很便宜，因為本來很便宜，因為本來很便宜，因為本來很便宜。', '短评打分': 5}
{'短评内容': '还不错吧，一切都不错的啦。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总的来说性价比还算不错。这样的价格还能接受。交通还算是挺便利的，服务员态度一般，希望下次可以更好一点。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '离景点比较方便，环境也还可以，热水空调都齐全，按这个价格，性价比还可以。', '短评打分': 5}
{'短评内容': '可能是正处春节，到店后在大堂等了近10分钟，才有貌似老板一样的人下来接待我们~总体来说，价格不高，服务一般，硬件条件无法形容……', '短评打分': 1}
{'短评内容': '位置还算是比较好找，价格也不是太高里面设施太差了，服务还好吧。', '短评打分': 3}
{'短评内容': '房間不優', '短评打分': 3}
{'短评内容': '该酒店价格高，环境差，特别是卫生间异味严重，建议不要选择！', '短评打分': 1}
{'短评内容': ' 酒店不错', '短评打分': 5}
