{'短评内容': '还行，双人间地方加床，有停车场，位置还行', '短评打分': 4}
{'短评内容': '安静，干净，很棒的', '短评打分': 5}
{'短评内容': '早餐还行。     WiFi很慢。             房间带茶具。                      装修还行。', '短评打分': 4}
{'短评内容': '早餐一般，有停车场，不能加床，酒店位置离景区不远', '短评打分': 5}
{'短评内容': '高', '短评打分': 5}
{'短评内容': '酒店总体还是不错吧，就是服务一般', '短评打分': 5}
{'短评内容': '很不错！像是家庭房一样！房间还比较干净、整洁！在东山这个酒店算是不错的酒店了！每次来都住这里！楼下就有饭店！方便！', '短评打分': 5}
{'短评内容': '感觉有些潮湿！睡在床上身上感觉很痒！', '短评打分': 5}
{'短评内容': '性价比合理', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '位置好  去哪都方便   酒店菜品也好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '前台服务员态度极差，需要改进', '短评打分': 3}
{'短评内容': '很不错阿啊锕锕锕锕锕锕锕锕锕锕锕锕', '短评打分': 5}
{'短评内容': '凑合吧，算是比较靠近风动石的相对比较好的酒店了', '短评打分': 3}
{'短评内容': '交通比较方便，在路旁', '短评打分': 4}
