{'短评内容': '环境一流，早餐丰富，适应出差办事', '短评打分': 4}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '早点丰富。倚山而建。', '短评打分': 5}
{'短评内容': '10几年的老宾馆了，设施陈旧！环境倒是不错，占地面积大，早上可以绕一圈宾馆跑步了！安静！总体来说，值得推荐！', '短评打分': 4}
{'短评内容': '早上锻炼方便！', '短评打分': 5}
{'短评内容': '早饭很好，环境不错，我每次都住这家酒店。', '短评打分': 3}
{'短评内容': '酒店周围环境很好，小山脚下，很安静，酒店隔音不好，毛巾破旧，但早餐很不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '该酒店干净整洁，卫生状况很好！交通也很方便，服务人员态度热忱，使宾客有宾至如归的感觉！以后还会来入住！非常满意，都是五颗星!', '短评打分': 5}
{'短评内容': '不错的环境', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境特别好，早餐很好的，出行打车办事也还好的', '短评打分': 4}
{'短评内容': '环境非常不错，设备稍有陈旧，还需改进', '短评打分': 5}
{'短评内容': '环境不错设施很好也很干净，有星级酒店的标准，这个价格非常满意！', '短评打分': 5}
{'短评内容': '每次出差到淮南，都会入住的酒店，值得推荐！！！\n', '短评打分': 5}
{'短评内容': '宾馆总体环境非常好。', '短评打分': 3}
{'短评内容': '除了查房、结账程序死板、罗嗦，没有什么大的缺点，最大的优点是环境！！！', '短评打分': 5}
{'短评内容': '每次出差到淮南，都会入住的酒店，值得推荐！！！', '短评打分': 5}
{'短评内容': '很不错的环境，空气好、有山有水，值得推荐！', '短评打分': 5}
{'短评内容': '不错的酒店，出差淮南就会入住。不过空调需要改进，有的房间空调不暖。早餐很好', '短评打分': 5}
{'短评内容': '经常入住，酒店外部的环境很好，早餐很好。房间空调差一点', '短评打分': 5}
{'短评内容': '很好的早餐，午餐、晚餐质量也很好。就是房间的空调不够热，换了三个房间才可以\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '经常住，环境很好。就是对结账不满意，我们为了能够保证时间，先下去一个人结账、开发票，非要等查完房才可以。不够灵活', '短评打分': 5}
{'短评内容': '酒店位置很安静，环境很好，早上的自助餐不错，特别是牛肉汤', '短评打分': 5}
{'短评内容': ' 宾馆就是一个公园内，环境很好，不过此酒店低层区的房间内可能有老鼠', '短评打分': 5}
{'短评内容': '环境不错，别的一般。', '短评打分': 3}
{'短评内容': '不错的酒店，性价比较高。经常住，以后还会住。\n对于北方人来说，房间有点潮，建议店方提前把空调打开除湿。', '短评打分': 5}
{'短评内容': '性价比比较高，就是出行不是很方便，吃饭要在酒店', '短评打分': 5}
{'短评内容': ' 环境确实不错 绿化 也不错 服务也行  继续保持 呵呵', '短评打分': 5}
{'短评内容': '风景很好的酒店，下次还会住，', '短评打分': 3}
{'短评内容': '很好，很安静，停车也方便。以后还会继续住。。。', '短评打分': 5}
{'短评内容': '酒店环境优美，空间广阔，停车完全没问题。房间设施还不错。\n尽管楼层都不高，没有电梯还是有点不方便。', '短评打分': 5}
{'短评内容': '干净 安静 感觉还是非常舒适的 下次还会支持 呵呵', '短评打分': 5}
{'短评内容': '位置有点偏了，打的不太好打。本评论主要混消费券。', '短评打分': 5}
{'短评内容': '淮南煤矿宾馆又住了一次淮南煤矿宾馆，牛肉汤味道要提高，呵呵 \n', '短评打分': 5}
{'短评内容': '酒店环境好，内部即公园，位置稍偏一些，交通不太方便', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 3}
{'短评内容': '淮南最喜欢的酒店之一。环境优雅，在秋天时还能闻到桂花的香气。房间干净清爽。就是总也订不到。动不动就说开会。还有就是打的不好打。要走很远。', '短评打分': 5}
{'短评内容': '环境很好，依山而建，绿化很多，设计的很漂亮，空气很清新，很适合度假。', '短评打分': 5}
{'短评内容': '又住了一次淮南煤矿宾馆，牛肉汤味道要提高，呵呵', '短评打分': 3}
{'短评内容': '环境整体不错，但是房间有点潮湿，早餐不错。', '短评打分': 3}
{'短评内容': '还不错！环境很好！', '短评打分': 5}
{'短评内容': '床铺有点潮湿，早餐牛肉汤不如以前好吃了。', '短评打分': 5}
{'短评内容': '房间有点小总体环境还行，卫生我住了两天也没有让别人打扫卫生，位置是挺好找出行也挺方便的，价格还是有些偏高了毕竟 也没有什么服务', '短评打分': 5}
{'短评内容': '酒店条件都挺不错的.总体感觉很好挺符合我的标准.综合水平比较好而且硬件设施也不错', '短评打分': 5}
{'短评内容': '园林式酒店，环境优美，客房干净卫生，员工服务很好，性价比很高，很值。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间有点小,但是很温馨,酒店整体环境很好,象个大花园.早餐比新锦江的可口.', '短评打分': 5}
