{'descr': '还行', 'star': 5}
{'descr': '因为公事选择住的近些。地铁很方便。但是房间的卫生真的不敢恭维。全是小虫子。墙上全发霉。澡也脏的没敢洗。晚上只好穿着衣服睡觉。', 'star': 2}
{'descr': '还行吧', 'star': 4}
{'descr': '好好', 'star': 4}
{'descr': '整改你妹崇明你，躬耕4米呢破事', 'star': 4}
{'descr': '没吹风，要了半天也没送来，水也小，连澡都没好好洗！', 'star': 3}
{'descr': '点评，一个字，差！二个字，很差！三个字，实在差！屋顶有漏水，被套是破的，淋浴房臭哄哄的！。。。', 'star': 2}
{'descr': '儿童画该干粉色挺有几斤酒后吐丰的手揉回家款款佳豪费的大概几急急急', 'star': 5}
{'descr': '离地铁近，较为安静。', 'star': 4}
{'descr': '不错，很好很好很好很好很好很好很好很好很好', 'star': 3}
{'descr': '干净，舒适，性价比高，超值。值得一提的是免费洗衣烘干服务。', 'star': 4}
{'descr': '条件不好，哪哪都是坏的，感觉业不太干净，慎选。', 'star': 4}
{'descr': '虽然离地铁站不远，但是离市中心实在是太远了。地铁45分钟，空调就是一垃圾，噪音大的没法说，制冷效果还不好，开的17度晚上还睡的出汗，制冷效果大家自己去想吧。一晚上没睡着，虽然窗户没朝着马路，但是隔音不好，所有外面马路上的汽车声音很大。早餐就更加不好吃了，送到房间的，一个豆浆很难喝。包子两个，很难吃。白鸡蛋么味道大家都知道。同一个房间，如果你付168元就有房，如果你要89元团购就没房，原因大家都懂的', 'star': 1}
{'descr': '环境不错，距地铁站较近，台前的服务态度很好。\n不过空调声音实在太大，晚上一直没睡好。。。。', 'star': 1}
{'descr': '还不错，酒店就在地铁北桥站对面，交通很方便。就是有一点晚上有点吵（外面的车声）。如果酒店换成双层的玻璃应该会好很多。总的来说还是很不错的。', 'star': 5}
{'descr': '酒店交通便利，临近地铁站和公交站，房间也干净舒适', 'star': 3}
{'descr': '环境还不错，设施也挺好的，可以看电视，上网，很方便。', 'star': 5}
{'descr': '环境不错，屋里空间适中。床很舒服，暖气足，隔音好。', 'star': 5}
{'descr': '房间有点小,而且床单不太干净。希望进一步改进啦~', 'star': 1}
{'descr': '交通比较方便，房间不是很大，但还是比较干净卫生的！', 'star': 5}
{'descr': '交通方便，对面就是车站和轻轨5号线。房间离马路有一段距离，所以晚上也不吵。', 'star': 5}
{'descr': '因在附近出差,常选择这家酒店.地铁北桥站就在酒店的斜对面.性价比很高.卫生间的淋浴不错,就是房间偏小', 'star': 5}
{'descr': '房间感觉蛮干净 浴室也不错。空调有点冷.', 'star': 5}
{'descr': '地铁北桥站附近，价格合理，服务也比较好，值得推荐', 'star': 5}
{'descr': '宾馆的空调有问题，中央空调，而且房间都不能调温度，很冷差点感冒了。', 'star': 1}
{'descr': '离北桥地铁站还是很近很近哒~交通方便~房间也很舒服，就是晚上在大家集中洗澡的时候热水不是很够~', 'star': 5}
