{'短评内容': '好好好，喜欢', '短评打分': 5}
{'短评内容': '真的特别好。一般订单我都不评价的，前台的服务很棒，住的很舒心。尤其喜欢接待我的那个女生，后三天在这里住的。前面三天住的海景房比这价格高，环境和这里没法比', '短评打分': 5}
{'短评内容': '主题客栈，房间非常漂亮舒适，前台美女妹妹们都很热情，经济舒适。', '短评打分': 5}
{'短评内容': '酒店工作人员态度很好，还帮我们推荐吃饭的地方，只是刚刚翻新的酒店有些小问题没有完善，多多努力吧！停车位不是很多，退房的时候车还被堵在了里面，耽误了一些时间，好像还是老板的朋友，有些不友善，这让我听费解的', '短评打分': 4}
{'短评内容': '前台和工作人员态度都很好，棒棒的，房间里有很大的熊。尤其是服务态度特别好！美女们说话特别温柔，特别有耐心', '短评打分': 5}
{'短评内容': '环境优美！来住的朋友要自带毛巾喔！', '短评打分': 5}
{'短评内容': '下次还住这家，整体感觉蛮好的', '短评打分': 4}
{'短评内容': '强烈推荐！\r\n    位置极好，离大东海近，游泳后可以直接回酒店冲淡，附近有很多吃的东西，推荐冰椰奶，离免税店，第一市场，鸿港市场不足2公里，散着步就能到，旅游分东线和西线，金万豪在两者中间，出门就是夏日百货汽车站，交通便利。老板和员工人都很好。\r\n    住宿时建议选3楼及以上的房间，空气流通比较好。\r\n    大家放心订房吧！', '短评打分': 5}
{'短评内容': '价格合理，但不是海景房。', '短评打分': 3}
{'短评内容': '房间可以，价格合理。', '短评打分': 3}
{'短评内容': '酒店离大东海较近，周边的饭馆很多。老板及服务员态度热情。刚到酒店时因所带的笔记本电脑丢到琼海的一家酒店，老板非常积极地打电话帮我们查询。在此表示感谢。房间较小，但很干净。物有所值。另外有个建议，就是在阳台上装一个晾衣架。', '短评打分': 3}
{'短评内容': '酒店位置不错，交通方便，附近吃饭的地方也方便，步行几分钟就到海滩了。', '短评打分': 5}
{'短评内容': '宾馆不错的，离海较近，走2-3分钟就到了，出门50米就是公交站点，去各景点都比较方便。小妹、小帅服务都很好，就是房间里有网线没电脑有一点麻烦，还好吧台小帅很热情，借用了一下，把回程的机票搞定了，不然就不知道怎么办了。建议：一楼大厅搞一台公用电脑，方便方便游客，毕竟出门带电脑比较麻烦，大家说呢？', '短评打分': 5}
{'短评内容': '干净~！没有蚊子~！找了好久才找到~！~！下次来还会住这家酒店~！', '短评打分': 5}
{'短评内容': '不错 很满意 不错 很满意  干净  交通很方便', '短评打分': 5}
{'短评内容': '，我刚开始也在网上找了半天，最后看见这个，觉得挺不错的，说老实话，老板人很好，服务也很好，员工也很好相处，离海边很近，房间卫生挺好的，新新的~我个人觉得物超所值，来这里真的挺不错的。', '短评打分': 3}
{'短评内容': '干净~！没有蚊子~！找了好久才找到~！~！下次来还会住这家酒店~！价位有点偏高~！', '短评打分': 5}
{'短评内容': '交通方便，离大东海沙滩只需步行5分钟，共订了2间精致大床房，在2楼，唯一不好的是其中有间房间厕所的门槛与房间平着的，没有高低，冲凉的时候水会流到卧室里，幸亏另外的房间不会这样，还好最顶楼可以晒衣服，洗了衣服第二天就干了，而且酒店前台租游泳圈才5元/每次，好便宜哦，总体感觉不错，连续住了三间夜。', '短评打分': 5}
{'短评内容': '有窗  但是太暗了   一楼基本被挡住  什么都看不见   ', '短评打分': 1}
