{'短评内容': '离11号地铁很近，去高铁及机场非常近。', '短评打分': 4}
{'短评内容': '交通方便，生活方便。', '短评打分': 4}
{'短评内容': '非常差，硬件设施太差，空调外机特响，噪音大，不能反索，很差的一次入住', '短评打分': 1}
{'短评内容': '位置很好，周边吃的很多', '短评打分': 5}
{'短评内容': '大床，环境不错', '短评打分': 5}
{'短评内容': '房间隔音不好，窗外居然放了3个空调外机，吵啊。', '短评打分': 2}
{'短评内容': '房间的设备齐全，还带一个小房间，可住三个人', '短评打分': 5}
{'短评内容': '环境不错，交通很方便，值得小住!', '短评打分': 5}
{'短评内容': '环境不错，交通很方便，值得出差小住!', '短评打分': 5}
{'短评内容': '是商旅的较好选择，基本上还OK。', '短评打分': 5}
{'短评内容': '复式的酒店，感觉性价比很高，但是论品质就比较一般了。', '短评打分': 5}
{'短评内容': '挺不错的酒店，干净整洁', '短评打分': 5}
{'短评内容': '可能房间满了，升级了套房，这个价钱这么大的房间值了，有点日式公寓的风格。很喜欢，以后来深圳出差就住这了。', '短评打分': 5}
{'短评内容': '一般，zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz不值这个价格', '短评打分': 3}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 4}
{'短评内容': '房间差，押金收的过多。', '短评打分': 1}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '设施和服务一般  适合商务旅行', '短评打分': 3}
{'短评内容': '住了好多年了，价格一直涨，水平没提升。但总体是可以的', '短评打分': 4}
{'短评内容': '性价比太低', '短评打分': 3}
{'短评内容': '断电', '短评打分': 5}
{'短评内容': '酒店房间很干净，值得入住，下次还会继续住。', '短评打分': 3}
{'短评内容': '酒店很方便，旁边就是岁宝，离海岸城很近，10分钟，经常住', '短评打分': 3}
{'短评内容': '还是很不错的，离公司也近，好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还不错，每次去深圳做节目都会订的一家酒店，比较干净，下面就是岁宝百货', '短评打分': 5}
{'短评内容': '总体感觉还是不错的,308元的价格,标准双还是挺好的,但有点一定得所,厕所里淋浴间的门是坏的,拉不懂,洗完澡厕所都湿透了,大概给评个80分吧,20分是扣在厕所的', '短评打分': 5}
{'短评内容': '环境比较安静。特价房正对电梯窗户西向，低层的房间有点暗。\n屋里很干燥，晚上睡觉有点不舒服。', '短评打分': 5}
{'短评内容': '服务态度好，装修挺好，性价比算不错了，要20字才能提交?这点不太好', '短评打分': 5}
{'短评内容': '酒店还好，房间挺大。挺干净，就是房间有台阶。', '短评打分': 3}
{'短评内容': '房间布置整洁高雅,床很舒适。', '短评打分': 3}
{'短评内容': '老公说还不错的！离公司比较近，以后应该会去住的', '短评打分': 5}
{'短评内容': '交通方便，房间整洁，服务态度很好，就是车位少了点儿，值得推荐！', '短评打分': 5}
{'短评内容': ' 房间灯很暗 其他都很好', '短评打分': 3}
{'短评内容': '住的是套房，没有wifi，现在出门，就算不带笔记本电脑，大家手机也都基本上网的，建议每一个房间都配备一个小型的WIFI，成本不到80/个，档次一下就上来了，枕头太硬，睡了一晚上，不舒服，小客厅的沙发一股子汗臭味，建议拿去顶楼晒晒吧，厨房空有电磁炉，没有厨具，形同虚设，浴室太小，总之，价格比实际情况，差多了，联系既然挂了四星，就做出四星的档次吧…', '短评打分': 5}
{'短评内容': ' 还不错，小公寓型，洗澡水太大，打得身都有点痛，调小了又太热。其他都好，挂机空调，自己调温很方便。以后在附近办事，价格差不多的话，会再来。', '短评打分': 3}
{'短评内容': 'hotel is good, room is ok, ', '短评打分': 5}
{'短评内容': '本身蛇口就属于比较偏的区，我是因为从澳门回深圳在蛇口下船所以选择的这家酒店。所以酒店的交通不是很便利，周边没有地铁，从蛇口码头打车到酒店要30元，从酒店打车到宝安机场要70多元。再说说酒店的设施吧，要是以四星级的标准来看，真是差很多，设施倒是比较齐全，就是简陋。再者酒店的保安服务态度很差，前台服务还可以，办理入住和退房都比较快。', '短评打分': 1}
{'短评内容': '性价比不错，就是电梯太少，要是高峰时间，很难挤得上电梯。', '短评打分': 5}
{'短评内容': '酒店就在路边，很好找，进入酒店内，尽管三十多层楼只有两台电梯，但是速度很快～～\n订的是豪华大床房，房内的设施都很干净，而且有电吹风，有机会会再来的，不错。', '短评打分': 5}
{'短评内容': '房间比较大，地点还行，就是有点奇怪的噪音', '短评打分': 5}
{'短评内容': '订的是套房，适合一家人出去玩的时候住。价格也比较便宜。不过早餐一般般。', '短评打分': 5}
{'短评内容': '酒店环境不错，停车场出来就有很多饭店，床铺够大，有吹风机是我最喜欢的。房间里有雨伞，比较方便。', '短评打分': 3}
{'短评内容': '各方面设施都很好,而且价位合理.推荐入住,交通也很便利.', '短评打分': 5}
{'短评内容': '酒店位置、设施和卫生都不错，房间也较大，不足之处就是进门后房间有个台阶，不小心容易摔交。', '短评打分': 5}
{'短评内容': '地段可以，装修一般，套房性价比一般。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店硬件设备好，地段方便，服务尚可。电梯数量少（两部），应付31楼的客房明显力不从心。', '短评打分': 3}
{'短评内容': '酒店很方便，也很干净，服务也好。住着挺好的。', '短评打分': 5}
{'短评内容': '很不错，环境很好', '短评打分': 3}
{'短评内容': '环境不错，档次也可以，对的起这个价格。推荐入住。', '短评打分': 5}
{'短评内容': '还不错，交通很方便，房间也挺干净的。楼下也有很多餐厅。', '短评打分': 5}
{'短评内容': '交通方便，环境整洁，价钱实惠。每次去南山都入主新年酒店，值得推荐！', '短评打分': 5}
{'短评内容': '和国内同类酒店相比，新年酒店住得很舒服的。服务到位，房间设计时尚，周围饭店林立，出门打车也很方便。性价比不错。', '短评打分': 5}
{'短评内容': '房间里有间小的保姆房，很别致，哈哈~~~~~~~~！', '短评打分': 5}
{'短评内容': '出差深圳就会经常过来住，有时候定太迟没定到。性价比高的酒店。', '短评打分': 5}
{'短评内容': '房间感觉不错 价格有点贵 电梯太少了就两部 住高层的就惨了 要等好一会呢', '短评打分': 5}
{'短评内容': '在深圳算是性价比很高的酒店了…服务好房间大位置也很好！唯一的问题是洗手间的排水似乎不太好…住了几间房都这样…洗完澡整个洗手间都是水', '短评打分': 3}
{'短评内容': ' 看起来还不错啊', '短评打分': 3}
{'短评内容': '不错！床也太大了，我只睡了1/5的位置，哈哈。两张床拼在一起的。房间也挺干净，比较满意。', '短评打分': 5}
{'短评内容': '地理位置不错，楼下很多餐馆，套房设计比较新颖，2个同事一起出差互不干扰。', '短评打分': 5}
{'短评内容': '套房不错还有厨房', '短评打分': 3}
{'短评内容': '设备服务都不错，好评！就是有点小贵。但总的来说不错，地段环境位置也还好。', '短评打分': 5}
{'短评内容': '整体环境可以，房间有些空旷，洗手间的拉门会漏水。衣柜放衣服的栏杆太少了，衣架有个是坏的。晚上如果空调开20°C以上会有蚊子，却没有蚊香。期间发生过有住户刷卡进房间的事情，总机解释说是电脑出错开到了我住的这间房，然后送了个果篮表示歉意。\n总之服务态度是可以的，餐厅的饭一人份两人吃都吃不完。。。太多了。。。。味道也不错\n如果有机会还是会再来住。', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '太旧了', '短评打分': 3}
