{'短评内容': '前台服务特别差，就跟谁欠她钱了一样，爱理不理的，语气还特别不好，就是个连锁快捷，环境也就一般般，没什么好说的', '短评打分': 5}
{'短评内容': '太差了，我定的房间没有了，房卡不好使然后还种种的不好希望你们别去这家', '短评打分': 1}
{'短评内容': '卫生间很小这都不是最重要的，最让人忍不了的就是卫生间反味特别严重，从早上4点多就开始反味，快被熏死了，再也不会来这家了', '短评打分': 3}
{'短评内容': '地点方便', '短评打分': 5}
{'短评内容': '房间太小，卫生太差，异味太大。', '短评打分': 3}
{'短评内容': '携程A旅行，方便之行！', '短评打分': 5}
{'短评内容': '房间干净整洁  服务态度很好', '短评打分': 5}
{'短评内容': '什么都挺好', '短评打分': 5}
{'短评内容': '距离中央大街很近', '短评打分': 4}
{'短评内容': '除了好，没什么可说的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般，但是便宜', '短评打分': 3}
{'短评内容': '大体环境不错，但是房间窗帘竟然是丝沙的有点太那啥了，总体还是不错的', '短评打分': 3}
{'短评内容': '看雪的时候去的，点评晚了，属于半地下室房间，还行…', '短评打分': 3}
{'短评内容': '不错 暖气够足 还有早餐', '短评打分': 5}
{'短评内容': '位置好，价格便宜，性价比高。', '短评打分': 3}
