{'短评内容': '幸福里客栈很有中国范儿，下次还住', '短评打分': 3}
{'短评内容': '在老城区的小胡同内，环境很好，可以吃饭住宿 附近小吃也很多，是品味洛阳古城的地方', '短评打分': 1}
{'短评内容': '先说优点：\n  1、 适合文艺青年，向往小资的人们；\n  2、前边是饭店，后面是住宿；吃的不错、价格适中，\n3，宝宝喜欢他家的台球桌，住了不愿意走了，一天好几趟的玩，\n4，就在鼓楼的东边路南，很好找，不要被那个白事吓住了，那是当地人的生活，人家吃喝拉撒睡都在那儿呢，\n5、早点、午饭都可以在附近解决  晚饭 北大街有小吃，往西就是丽景门一路走着就可以 ，\n6坐车   去白马寺做56  58路，去龙门', '短评打分': 5}
{'短评内容': ' 房间给我感觉很不错，谢谢！', '短评打分': 3}
{'短评内容': '位置不错，虽然周围有几家花圈寿衣店，但是紧邻鼓楼和老街。\n设施一般，算有些特色，前面是饭店，晚上吃饭的人挺多，但是不算吵。\n服务很周到，老板娘起的早，睡的晚，非常忙碌，服务员也都很尽责  下次再去洛阳，一定还会住这里吧', '短评打分': 5}
{'短评内容': '店主人很nice呢~', '短评打分': 3}
{'短评内容': '这个就是农家乐，有几大特点：1、设施差，所谓的主题客栈，就是挂了两个灯笼，屋里多两块花布，以此表达古韵，但也不能因此不给配一个写字台啊，卫生间也很差，排水不行，冷热水很难调，最后忍着洗了个冷水澡；2、被子不会定期换，被子上沾了很多毛发，令人很不爽；3、完全不能隔音，晚上很晚还听见孩子嬉笑声，大人呵斥声，醉酒归来吵闹声等等，一早也是一样，根本严重缩短睡眠时间；4、服务不到位，房间离前台很远，有点什么', '短评打分': 1}
{'短评内容': '很幽静的客栈，位于步行街中，但是店周围很多经营骨灰盒或香蜡钱纸的店，胆小者慎入。', '短评打分': 5}
{'短评内容': '客栈装修很有特色，房间挺舒服的，老板人也不错！', '短评打分': 3}
{'短评内容': '国庆期间去的，服务态度非常一般，图片与实际严重不符，卫生打扫不干净，浴室一洗澡就涨水。而且清洁工还和我们吵架辩解，真是无语了。', '短评打分': 3}
{'短评内容': '感觉酒店环境蛮好  主人也蛮热情就是卫生间还要改进', '短评打分': 3}
{'短评内容': '很有特色的客栈，就在老街上，晚上吃东西很方便！', '短评打分': 3}
{'短评内容': '服务很热情，房间有自己的特色。位置在古城区内能感受到洛阳古城气氛，有可能是新开的客栈油漆味太重，刚进房间实在是受不了，而且所在的街道是白事一条街，我的朋友很不习惯，不过只住一晚也就将就了。总体来说老板还是很用心，但客栈所在位置经营的商铺和客栈所住旅客的心情是格格不入。', '短评打分': 1}
{'短评内容': '这家客栈非常有特色，很有古代风韵，装修的也不错，最重要的是服务非常好，人少一点也不吵，客栈包括旅店和餐厅，餐厅推荐金汤肥牛，非常好吃。。。。。哎哎哎，在洛阳，住这真的很适合散心的', '短评打分': 5}
{'短评内容': '装修风格我喜欢,而且地段处在老城区,公交,打车都方便.不好就是旁边有家卖花圈的铺子,老人可能会不喜欢', '短评打分': 5}
{'短评内容': ' 酒店服务不到位，洗澡水流弱，很清静。', '短评打分': 3}
{'短评内容': '很不错的家庭旅店，有亲切感!', '短评打分': 3}
{'短评内容': '整体环境很好，服务也很热情。卫生间稍微有点局促。', '短评打分': 5}
{'短评内容': '房间太差，那里是什么酒店就是家庭旅馆，硬件太差。服务也没特色，电视没声音，洗手池下水管漏水严重。不是想象的那样儿。', '短评打分': 3}
{'短评内容': '名字很好听，店内的设计也很特别，地处老街上，出门不远就可以吃到洛阳的水席，晚上一条街的特色大排档也让人食欲大增，我在幸福里等你的广告语让人心里暖暖的，推荐', '短评打分': 5}
{'短评内容': ',酒店很好,很有特色,刚入住时有点小插曲,不过很快就解决了,酒店离鼓楼夜市很近,晚上还逛了夜市,总之洛阳之行很温馨。', '短评打分': 3}
{'短评内容': '新开的宾馆，挨着鼓楼很有文化气息。设施较齐全，但是由于是刚装修完不久，还是有些不方便的地方，例如热水有些小、有少许装修完的气味，不过窗明几净，又是仿古建筑，很有感觉，值得推荐。', '短评打分': 5}
{'短评内容': '幸福里客栈在老街上很安静也很有特色，出门吃的东西很多，刚装修好的客房家具电器都是新的，唯一就是洗澡水小了点，推荐', '短评打分': 3}
{'短评内容': '环境很不错，装修的比较有特殊，就是不太好找。刚刚开业的旅馆，东西都是新的。但是还缺少一些必备的，如跟吧台联系的电话，卫生间比较小等小缺陷。不过，总的来说还是不错的，老板很热情，服务也很周到。', '短评打分': 5}
