{'descr': '挺好的，学校周边，很方便', 'star': 5}
{'descr': '朋友说很好', 'star': 5}
{'descr': '离学校很近，挺干净的，比较方便', 'star': 4}
{'descr': '附近吃的挺多', 'star': 5}
{'descr': '不怎么样', 'star': 3}
{'descr': '住了很多次了，环境很好。', 'star': 5}
{'descr': '环境没得说，京东酒店活动力度比较大。', 'star': 5}
{'descr': '不错，服务专业，有礼貌', 'star': 5}
{'descr': '这次住的房间小一些，干净、卫生没的说。', 'star': 5}
{'descr': '其实还好', 'star': 4}
{'descr': '环境挺干净的，交通非常便利，住了有若干次了，还是不错的，酒店提供一次性的洁具，不过最好自带水杯，因为它的杯子是纸质的。', 'star': 5}
{'descr': '常住。邻近老人住处，过节团聚家人住宿首选。初次在京东酒店订房，价格较其它的会员价更优惠，且有满减券就更合适了。位置好找，交通便利，车位难寻，街边车位均收费。暖气很热，卫生不错，订的几间全是商务大床房，临街但因春节，还是挺安静的。自备了洗漱用具，酒店提供一次性用品。亦带了水杯，因住了几次，知其只供纸质杯子泡茶太差。枕头有点潮，特扁平，其它还好。整体不错。', 'star': 5}
{'descr': '真的不太好 房间是很脏的 住的第二天晚上 楼上的住户吵到三点半 投诉了并没有什么卵用', 'star': 5}
{'descr': '住如家快捷酒店完全是为了在附近办事方便，总体来说还算干净卫生。', 'star': 3}
{'descr': '总体来说还是不错，地点很方便，在交通大学附近，周边买东西，吃饭也很方便，是出行的好选择', 'star': 4}
{'descr': '酒店在交大，铁科院旁边，到此办事比较方便。周边环境有点小闹，但是可以吃点到周边的特色饭菜。房间内简单朴素，洗漱还是要自己带比较好', 'star': 4}
{'descr': '一直还是很喜欢在如家的，无论卫生，环境还是设施，挺好的', 'star': 5}
{'descr': '位置很好，坐落在学校和家属区附近，靠着交大东路，交通方便。干净整洁的标准如家风格。值得推荐。', 'star': 5}
{'descr': '这家酒店性价比特别的高，离北京交通大学非常的近，步行2分钟就可以直接到达东门，这个价位在北京二环来说也非常的划算', 'star': 5}
{'descr': '位置挺好的，很靠近交通大学东门，附近也挺多吃得，就是离地铁站不是很近，出去不太方便', 'star': 4}
{'descr': '还不错，有家的感觉', 'star': 5}
{'descr': '早上很吵，四点过就被刺耳的装修声音吵醒，可恶啊。', 'star': 2}
{'descr': '还行', 'star': 3}
{'descr': '回学校参见同学聚会。就在交大东门边上，图个方便。', 'star': 4}
{'descr': '酒店位置不错。离学校近，一出东门就是。但是酒店的东东搞的比较烂了。虽然有wifi，但连接很不稳定，网速让人无法忍受。\n一开始住的房间，有线网络接口是坏的，毛巾也破了，而且很脏。', 'star': 4}
{'descr': '设施完备，非常舒适', 'star': 3}
{'descr': '酒店不错，位置也可以，房间卫生很好，前台服务也非常好，距动物园比较近，走路大概十几分钟到达动物园北门动物园海洋馆', 'star': 5}
{'descr': '床比较大，很干净，位置也不错，靠近西直门交通方便', 'star': 5}
{'descr': '很好！服务很热情，房间很干净，就是有些小广告很烦人！希望能及时制止！', 'star': 5}
{'descr': '还会再来，不错。\n整体服务质量和员工服务态度都很好', 'star': 5}
{'descr': '今天中午刚入住，感觉不错，楼层服务员态度好，有问必答，房内简洁，主要是干净。现在还不知道晚上休息时，楼道内是否安静，个人需要安静环境。', 'star': 5}
{'descr': '服务还不错', 'star': 3}
{'descr': '服务质量和自助餐质量与真正的五星级酒店还有距离。', 'star': 5}
