{'短评内容': '挺好的，挺好的', '短评打分': 5}
{'短评内容': '环境优美！', '短评打分': 5}
{'短评内容': '很不错 交通便利 服务好', '短评打分': 4}
{'短评内容': '前台都挺热情的', '短评打分': 4}
{'短评内容': '不错，环境挺好，附近晚上也有夜市，值得考虑', '短评打分': 5}
{'短评内容': '就是房间灯光不是很亮，其他都行。', '短评打分': 5}
{'短评内容': '房间卫生干净，宽敞明亮，值的推荐，下次出差继续住。', '短评打分': 3}
{'短评内容': '第一次住，感觉还可以吧，没有吹风机', '短评打分': 3}
{'短评内容': '还可以还可以吧，第二次住了', '短评打分': 3}
{'短评内容': '不错，服务态度很好，', '短评打分': 3}
{'短评内容': '因为考试按距离定的，晚上入住时询问如果只能住一晚，能退房吗？（定的是两晚）回答：能退房，不能退钱。  入住后没有拖鞋，房间正对的是洗衣间，而且楼下是饭店后厨，早上6点钟被味道和声音（有运货的）吵醒，于是决定退房，打的携程客服 联系退得房，还有旅馆服务特别差，吹风机是要的，也没有浴巾，上完厕所，马桶一直响，手动上水后才安静。退房的时候携程正在给旅馆打电话，整个操作没有问过我和没有抬眼看我。态度太差', '短评打分': 3}
