{'短评内容': '酒店位置佳，干净整洁', '短评打分': 5}
{'短评内容': '房间不大，干净卫生。舒适温碧', '短评打分': 5}
{'短评内容': '干净卫生。周到服务，热情好客。宾至如家。', '短评打分': 5}
{'短评内容': '一如既往的如家风格，房间虽小却很温馨', '短评打分': 5}
{'短评内容': '房间卫生干净，价格实惠！很不错哟！客服很耐心，服务很到位，房间里的东西虽然有偿但也不贵！良心酒店！', '短评打分': 5}
{'短评内容': '房间卫生很好，设施不错。唯一不好的就是房间太小了！', '短评打分': 5}
{'短评内容': '这次开的房间不太好，其实有更好的房间的。', '短评打分': 4}
{'短评内容': '环境好，交通方便，方型有点小，', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '服务员很有礼貌，卫生方面也可以', '短评打分': 2}
{'短评内容': '很熟悉。不错的地方。走哪里都首选如家', '短评打分': 5}
{'短评内容': '还不错的！！！', '短评打分': 4}
{'短评内容': '网络上的订的价格还是很实惠的。', '短评打分': 5}
{'短评内容': '方便，卫生，舒适', '短评打分': 5}
{'短评内容': '没住，看环境还不错，服务态度很好', '短评打分': 5}
{'短评内容': '房间不大，床还比较大，舒适，干净，整洁，交通方便', '短评打分': 5}
