{'短评内容': '酒店条件不错。', '短评打分': 3}
{'短评内容': '挺不错的酒店', '短评打分': 5}
{'短评内容': '一如既往的喜欢这里', '短评打分': 5}
{'短评内容': '设备各方面还行吧', '短评打分': 5}
{'短评内容': '前台服务很好房间空调好热冯福富先生帮我安排的房间很好表示感谢', '短评打分': 5}
{'短评内容': 'Location is good. Front desk staff is polite.This is my second visit to this hotel. However, I got a little bit disappointed this time because a few things:1. Wrongly checked in to a deluxe room but n', '短评打分': 3}
{'短评内容': '酒店地段不错四周大型商店林立，交通也方便四周也有大型酒店。吃的方面也不错四周有大小型的馆子及餐厅。酒店房间宽敞工作人员也友善值得给大家推荐。。。。。。。。。', '短评打分': 4}
{'短评内容': '环境好，交通便利，酒店也很周到', '短评打分': 5}
{'短评内容': '很方便 很安静的房间 ', '短评打分': 5}
{'短评内容': '酒店设施挺好', '短评打分': 3}
{'短评内容': '设施还可以，就是房间有点小', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '干净，舒服，交通方便', '短评打分': 3}
{'短评内容': '每次去都住这，去哪很方使，就是不含早餐。', '短评打分': 5}
{'短评内容': '每次来都住这，位置很好，去哪都很方便。', '短评打分': 5}
{'短评内容': '每次来都住这，地理位置很好，去哪都很方便。', '短评打分': 5}
{'短评内容': '一如既往的好，每次到东莞出差都住这里,11111111', '短评打分': 5}
{'短评内容': '酒店还可以,不过现在有些偏贵了,\n350的没有了', '短评打分': 5}
{'短评内容': '酒店外部很华丽，服务员态度也很好。但是一进房间很大的发霉的味道，这个有点难以忍受，其他还可以。', '短评打分': 1}
{'短评内容': '换了公司好点了，，，以前够烂的的服务，，，，，，，，，，', '短评打分': 5}
{'短评内容': '换公司了，，貌似好点了，，，，，，，，，，', '短评打分': 5}
{'短评内容': ' 低楼层的墙纸和卫生间太旧了，建议稍微装修下 ', '短评打分': 3}
{'短评内容': '浴室及電視差了一點。打掃的還算乾淨。以這個價格來看的話性價比算中', '短评打分': 5}
{'短评内容': '酒店的房間有點差點人意！差1百多可以住所菲特。以性價比來看尚可。電視及浴室的大小不夠滿意！', '短评打分': 5}
{'短评内容': '现在是美爵了，，不过服务还是相当烂，，，，，，，', '短评打分': 1}
{'短评内容': '同时订了两间房，还要发表两次评论，真的是好麻烦，请看我的第一条评价吧，谢谢！', '短评打分': 5}
{'短评内容': '酒店房间够大，周边很方便，但是整体偏旧，价格稍稍贵了点，含了早餐也差不了太多', '短评打分': 5}
{'短评内容': '房间挺大的，不过酒店有点旧了。350的价格还算ok啦～', '短评打分': 5}
{'短评内容': '比较好，会向您的朋友推荐这家酒店，让您的朋友入住。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '性价比差，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '房间是旧点，可是还可以。', '短评打分': 3}
{'短评内容': '还不错.z周边环境还挺旺的。吃饭什么都方便', '短评打分': 5}
{'短评内容': '   这里服务还可以＇每次都是住这里，习惯了', '短评打分': 3}
{'短评内容': '酒店比较老。厕所看起来好旧，还好比较干净。早餐还不错。总体来说不错，值得入住。', '短评打分': 5}
