{'短评内容': '不错，价格适合，很安静，早餐很不错', '短评打分': 5}
{'短评内容': '、、、、、、', '短评打分': 5}
{'短评内容': '晚上有水果 有夜宵早上有提供免费早餐，最主要还是床舒适睡得很好， 我感觉非常棒 ', '短评打分': 5}
{'短评内容': '早餐老少皆宜，停车位置也多，床舒服睡得挺好', '短评打分': 5}
{'短评内容': '整体来说酒店大厅美美哒。房间干净舒适热水很好 暖气也可以', '短评打分': 5}
{'短评内容': '酒店距南充火车站很近，酒店外有公交车站，出行方便。去火车北站有点远，早上堵车严重，出行要注意。最赞是早餐，很丰盛。', '短评打分': 4}
{'短评内容': '交通方便，房间卫生做的教好，服务员热情', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '几年前到南充就是入住的这个酒店，这次再来，变化不大，只是觉得行政单间太小了，只应该叫普通单间，呵呵！', '短评打分': 4}
{'短评内容': '5分好评吧  综合评价各方面都不错 房间很卫生', '短评打分': 5}
{'短评内容': '服务态度各方面还是不错很耐心，床也舒适度好', '短评打分': 5}
{'短评内容': '房间很温馨暖和 最近太冷了 走进来干净卫生暖和 好评', '短评打分': 5}
{'短评内容': '很好，我每次到南充都住的这酒店', '短评打分': 5}
{'短评内容': '很舒服，住的非常舒服，服务也非常好', '短评打分': 5}
{'短评内容': '这个酒店不行房间差', '短评打分': 5}
{'短评内容': '非常好的商品！非常好的商品！', '短评打分': 5}
{'短评内容': '干净卫生服务好', '短评打分': 5}
{'短评内容': '总体还好吧，毕竟不是正楼，在副楼！也算蛮有性价比的咯！就是房间有种不舒服的怪味，也不知道咋回事！', '短评打分': 5}
{'短评内容': '房间不错干净', '短评打分': 5}
{'短评内容': '喝了两包茶，60有点贵', '短评打分': 5}
{'短评内容': '服务比较喜欢', '短评打分': 4}
{'短评内容': '服务较好。', '短评打分': 4}
{'短评内容': '酒店内部环境很好，设施齐全，环境不错，房间大小也比较合适，适合一个人或者两个人住！很满意！', '短评打分': 5}
{'短评内容': '附楼，老酒店，设施配备是四星级的，但是都比较旧了，只能说勉强对的起房价，酒店外面在修路，比较吵，', '短评打分': 3}
{'短评内容': '交通比较方便', '短评打分': 4}
{'短评内容': '酒店内灯开关的设置感觉很不习惯', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '临近火车站，交通方便的同时，环境也有点嘈杂。酒店配套很好，房间也宽敞。早餐对于4星酒店来说很一般，没有特色。房间没有浴衣，作为4星酒店应该算是细节方面的失误', '短评打分': 4}
{'短评内容': '离火车票很近。', '短评打分': 5}
{'短评内容': '不错。牛奶和橘子挺贴心。', '短评打分': 5}
{'短评内容': '酒店勉勉强强，价格偏高，南充的酒店好的不多', '短评打分': 5}
{'短评内容': '房间挺好，服务有待提高', '短评打分': 3}
{'短评内容': '酒店总体还可以接受', '短评打分': 3}
{'短评内容': '万泰酒店298还是比较值价，', '短评打分': 3}
{'短评内容': '还行，就是毛巾太旧了，该换了。幸好自己带了毛巾。', '短评打分': 5}
{'短评内容': '设施老化,但价格还算后道', '短评打分': 3}
{'短评内容': '便宜，经济。实惠。舒适,下次一定会在去的', '短评打分': 5}
{'短评内容': '我没想通为什么上网写的是行政单间楼层是：13层-16层， 结果我去了把我安排到6层， 进电梯的时候看到6层根本就不是行政单价，有种受到欺骗的感觉，房间太烂了。 ', '短评打分': 1}
{'短评内容': '万泰还不错', '短评打分': 3}
{'短评内容': '还不错~就是和以前住的特色房有点出入~以前的房间很大~这次的小了很多~但是多了个阳台~感觉有点鸡肋~还是喜欢以前那种宽敞的房间~', '短评打分': 5}
{'短评内容': '这家酒店不是像你想象那么完美，内部设施很旧，服务台的态度很差我听说他们主要对公，我坐了一天的车想在这酒店安静的休息，结果半夜2-3点有敲门的。。。。。。给总台打电话没人接过了很长时间不知谁找到了保安来才安静下来。', '短评打分': 1}
{'短评内容': ' 房间卫生条件不好，主要是服务员没有打扫干净。和相同星级的酒店比，这间酒店就是在忽悠消费者。', '短评打分': 1}
{'短评内容': '酒店离火车站挺近的，赶火车很方便，很适合出差人士入住。', '短评打分': 5}
{'短评内容': '万泰位置很好，位于市中心中心地段，出行交通相当方便。', '短评打分': 5}
{'短评内容': '酒店的卫生很好，房间干净舒适，打扫彻底。意识很强。', '短评打分': 5}
{'短评内容': '硬件和软件条件非常棒,而且服务各方面也很到位,综合水平非常高,性价比好.', '短评打分': 5}
{'短评内容': '酒店的设施很不错，装修风格现代，配置也很全，服务员也是一流的服务。', '短评打分': 5}
{'短评内容': '该酒店的硬件设施配置全，基本生活用品齐全达标。', '短评打分': 5}
{'短评内容': '服务很好，积极主动热情的服务。环境也挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的环境配置都还好，价格也算是比较合适的，卫生服务都还好，在南充是比较好的酒店了。位置也嫩方便，值得推荐入住。', '短评打分': 5}
{'短评内容': '总体来说设施跟装修略显陈旧，其他的还不错。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的，设施条件也还可以了，价格方面还是比较合适的。', '短评打分': 5}
{'短评内容': '不错!就是早餐不怎么好!', '短评打分': 3}
{'短评内容': '南充的酒店蛮多，万泰算是老酒店了，说真的，很一般。其它星级的也蛮多，而且消费低，建议要入往的朋友还是多多比较！', '短评打分': 3}
