{'短评内容': '住宿环境太差！', '短评打分': 2}
{'短评内容': '方便快捷 价格可以接受', '短评打分': 4}
{'短评内容': '前台服务态度差，携程客服从中调节之后才入住的。卫生间不太干净', '短评打分': 4}
{'短评内容': '先说说环境，环境一般，房间构造很不好，厕所小，而且，酒店是有长租客么？一大清早六七点就开始吵，一直到快十点还是吵，让人没法好好睡个觉，有长租客也要给点规范吧，毕竟是公共场所，总的来说，不满意，也没睡好。', '短评打分': 2}
{'短评内容': '环境特别好，服务特别周到，晚上特别安静', '短评打分': 5}
{'短评内容': '很好，进门的一瞬间就给人满室的浪漫与温馨。直线条的造型，简约风格的搭配，房间干净、整齐。在十分充足的阳光下，顿时显得轻松、舒适、自然', '短评打分': 5}
{'短评内容': '导航设定义乌商城，酒店门前是茶叶批发一条街，晚上七点后就关门了，车辆可以停在茶叶店门前，很方便，不远处是一座大学，有不少小吃，经济实惠，酒店偏小，设备也偏老旧，但是卫生服务都不错，特别是原先定的如家十一期间乱涨价，携程网给调到新合作后又补了差价，感觉很满意', '短评打分': 5}
{'短评内容': '三人间挺宽敞的，就在茶城里面', '短评打分': 3}
{'短评内容': '三人间挺舒服的，就在茶城里面。', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '地方不太好找，房间还好，交通方便，性价比高', '短评打分': 4}
{'短评内容': '前台服务态度太差', '短评打分': 3}
{'短评内容': '该酒店环境和地理位置还算不错，但在结算时被告知网定房间不开发票。', '短评打分': 5}
{'短评内容': '条件不好00000000000000000000', '短评打分': 1}
{'短评内容': '酒店很干净，值这个价钱。只是地方不好找，问了好多人才找到的，其实也不难找，只是西安多是流动人口。交通方便，值得推荐，旁边就是义乌', '短评打分': 5}
{'短评内容': '.无停车位', '短评打分': 3}
{'短评内容': '房间设施差 卫生间没有门 所以房间内有异味，由于我入住时管道刚刚修理过所以地板踩过会从地板缝隙出水（服务员说的），房间内空间小', '短评打分': 1}
{'短评内容': '环境挺好，就是没窗户，一觉醒来还以为在半夜呢！', '短评打分': 3}
{'短评内容': '结算完了告诉我没发票   酒店一般', '短评打分': 3}
{'短评内容': '＋很好。', '短评打分': 3}
{'短评内容': '酒店气味很大  刚装修好   隔音效果不好 很差劲', '短评打分': 1}
{'短评内容': '这个地方还不错，卫生还可以。', '短评打分': 3}
{'短评内容': '环境还不错，不过我这间房间光线不怎么好。', '短评打分': 3}
{'短评内容': '价钱适中，环境还行吧，就是房间空间较小，靠近街道比较吵', '短评打分': 5}
{'短评内容': '1 卫生间的水龙头是坏的，不能洗澡。\n2 房间里的拖鞋是儿童用的，大人根本穿不进去。\n3 服务态度不好。退房时说房间里的一瓶矿泉水是打开过的，我自己带的康师傅矿区水和百事可乐，根本就没动过他们的矿泉水，和酒店交涉无果，结果多花了我一瓶水钱。\n4 不给开发票。', '短评打分': 1}
{'短评内容': '酒店设施一般，说好的价格又变动，经过协调后才恢复原价，感觉很不好。', '短评打分': 1}
{'短评内容': '成功住店', '短评打分': 3}
{'短评内容': '整体还算满意  卫生再整洁点就更好了', '短评打分': 3}
{'短评内容': '卫生不好，被子有霉味，很吵，太一般了，发票都不给全。', '短评打分': 1}
{'短评内容': '环境太差了，地段也不好，房间里的卫生不好，设施很差', '短评打分': 1}
{'短评内容': '网络怎么总出故障!', '短评打分': 3}
{'短评内容': '整体还不错  但是透气性不是很好，希望以后能提供一些物美价廉的屋子', '短评打分': 5}
{'短评内容': '性价比还可以.室内条件相对来讲比较一般化，没有太多的不同.印象一般.', '短评打分': 3}
{'短评内容': '在装修，乱的很。说是有无线上网的，结果也不能了。屋子特别冷，开着空调都冻的不行。没有24小时热水', '短评打分': 1}
