{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间不大，但是很暖和，床很软，隔音不错', '短评打分': 5}
{'短评内容': '还可以，。。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '真心觉得不错，饮食，购物都很方便', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '方便出入，设施齐全！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行能住，交通好。', '短评打分': 4}
{'短评内容': '还可以吧   热水特别好    周边也接近中心   吃饭逛街挺方便的', '短评打分': 4}
{'短评内容': '就是没有早餐不方便', '短评打分': 4}
{'短评内容': '挺好的，就是大清早旁边有个学校广播比较吵', '短评打分': 5}
{'短评内容': '少个电吹风！！其他但是挺好，另外，隔音吗……有点不满意', '短评打分': 5}
{'短评内容': '咸阳的住宿条件基本都差不多快捷型酒店相比较这家还比较温馨。', '短评打分': 4}
{'短评内容': '咸阳的住宿条件基本都差不多快捷型酒店相比较这家还比较温馨。', '短评打分': 4}
{'短评内容': '咸阳的住宿条件基本都差不多快捷型酒店相比较这家还比较温馨。', '短评打分': 4}
{'短评内容': '房子不大，但设计很温馨，卫生条件相当好，床也很舒服，很喜欢。', '短评打分': 5}
{'短评内容': '房间卫生干净，环境挺好。服务也很好，就是电脑不好用。', '短评打分': 5}
{'短评内容': '酒店很新，和大多快捷酒店没差别，性价比很好。', '短评打分': 3}
{'短评内容': '酒店紧挨渭城中学（原四中），服务人员都蛮有素质的。我入住的时候正值欧洲杯，凌晨醒来能听到隔壁欢呼的声音', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，环境也很好！！！！', '短评打分': 5}
{'短评内容': '总体来说还可以，隔音差点，不好的地方就是房间里面没有吹风机。', '短评打分': 5}
{'短评内容': '服务态度挺好,处在繁华地段,但守这马路,有些吵房间里有异味', '短评打分': 3}
{'短评内容': '酒店很干净，东西都挺新的，热水也很好，唯一的缺点是隔音不是很好', '短评打分': 5}
{'短评内容': '酒店就是占据了地理位置，数码大床房比较小，键盘上网不是很舒服，价格同等偏贵的。', '短评打分': 1}
{'短评内容': '很干净，价钱也不错。不过出租车司机不清楚地方，联系了酒店才找到，不过还好不是很偏。', '短评打分': 5}
{'短评内容': '还是比较舒服的。我觉得能注册成会员，也能用积分还会员卡就好拉。', '短评打分': 3}
{'短评内容': '环境挺好的，服务也挺好的啊，住了好多天了，就是有点小建议，房间隔音效果不好，旁边房间电视声音和说话有时会比较吵', '短评打分': 5}
{'短评内容': '我住了好几天了，也推荐朋友住这，服务员态度比较好，房间也比较干净217，309，205', '短评打分': 5}
{'短评内容': '环境还是不错的哦，服务态度也比较好，就是价格能优惠就更好', '短评打分': 5}
{'短评内容': '环境比较好，服务态度也比较好，比较喜欢数码房', '短评打分': 5}
