{'短评内容': '一般 位置偏 周边吃的都没有', '短评打分': 3}
{'短评内容': '还可以吧～……………………………………………………………………-………………………………………………', '短评打分': 5}
{'短评内容': '男朋友过来玩帮他订的，挺满意的，交通方便，离车站挺近的，前台服务态度挺好，不错，下次还订这家出行都喜欢订如家', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还不错。挺安静。车位也够多。', '短评打分': 5}
{'短评内容': '一直住这家，环境不错，服务也很好', '短评打分': 5}
{'短评内容': '一直住这家，卫生不错，环境也不错', '短评打分': 5}
{'短评内容': '还可以，算是比较干净，离市中心还是有点距离，车位有限，需要早点去抢车位', '短评打分': 5}
{'短评内容': '好。。。？进去后给退积极图片。。。', '短评打分': 5}
{'短评内容': '房间很干净…舒适…就是吃饭比较远…总体来说还是不错的…', '短评打分': 5}
{'短评内容': '住过很多酒店，但是这次是我觉得最好的一次体验，房间大，卫生好，服务更是贴心，态度都非常非常亲切友好热情！性价比非常非常高！酒店也非常好找，一下高速几分钟就到了，酒店停车场也够大。到酒店刚拖着行李箱准备进来，酒店经理就跑过了帮忙开门，并帮忙拖行李箱，态度非常好。进入酒店，前台姑娘总是非常的热情，有问必答。进入房间，房间布置温馨，简洁干净，一切都很满意。入住这么多酒店，让我第一次有家的感觉！', '短评打分': 5}
{'短评内容': '在网上选择酒店，无意中看到这家，看了大家的点评口碑都不错，价格也适中，所以就选择了这家。虽然是一个快捷，但这次的服务还是让我感受强烈，处处能感受到这个酒店团队温暖的人性化服务。从一进门就有他们蒋经理主动的陪同帮忙拎行李上楼，这个举动是我住过所有快捷酒店里少有的，至少我感觉很贴心，前台的彭燕小姐服务态度非常好，帮我指引了我要去的地点的路线，还留有电话，人美又可爱~~我在酒店入住了两晚，都赠送小零食和', '短评打分': 5}
{'短评内容': '蛮好的，推荐入住', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '很好，房间干净，前台妹子也非常nice', '短评打分': 5}
{'短评内容': '一般  服务态度不好', '短评打分': 2}
{'短评内容': '酒店还可以，早餐外包，只能给现金', '短评打分': 4}
{'短评内容': '有一定规模，是我住过的如家酒店比较好的一家，床上用品不错，舒服，服务很好，干净，房间没有异味，反而很清香，毛巾，浴巾有点旧。交通方便，只是临街的房有点吵。', '短评打分': 5}
{'短评内容': '多次入住，环境及设施就是如家一贯风格，喜欢如家！', '短评打分': 3}
{'短评内容': '酒店环境没的说，服务也好，关键是性价比很高，但是处于新区，离汽车站有点距离，且周围吃的等较少，不介意就没问题。', '短评打分': 5}
{'短评内容': '酒店位置还算比较好，价格一般般，比较适中', '短评打分': 4}
{'短评内容': '真心不错吧，到的时候，特惠房没有了，商家给免费升级成豪华间。谢谢。', '短评打分': 5}
