{'短评内容': '别来住，环境、服务、卫生很差', '短评打分': 1}
{'短评内容': '市中心，位置好', '短评打分': 4}
{'短评内容': '酒店很棒，住过好几次了！就是前台的小姐姐服务态度有些差。我可以理解你每天招待很多顾客心情不好，但是你不可以把对别人的不满撒气到我身上！互相尊重！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '都还不错  就是旧了点儿 床单卫生什么的还不错  有电脑  服务不错', '短评打分': 3}
{'短评内容': '虽然这酒店地理位置好 但是 那天没水 没水也就算了 她还说再过多长多长时间来呀一直也不来 拖在最后还的继续 不洗漱咋接出个了 ', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '第二次入住该酒店，酒店大堂有了明显的变化，房间也比一个月之间显得整洁了许多。早餐的种类也有所增加，进步明显。', '短评打分': 5}
{'短评内容': '这家酒店，除了周边环境热闹，其它都是差评。我们的房款是提前付清的，但给我们的客房是漏水到床下的，换房后的客房天花板烂成1平方左右的大孔，连浴室天花也同样破烂。我们坚持换房，但酒店方不但说没房，还拨了取电门卡，把我们留在污黑的客房内。天啊，那是午夜3时，叫我们如何是好？！那是一种无经历过的恐惧！我们出外旅游，很简单的但求一宿，却是如此的折磨人。纠纷后，酒店方老总同意折让50%房费。但在第2天上午退房', '短评打分': 2}
{'短评内容': '酒店还可以，比较物有所值。房间的无线不能用。', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '很多次都住这', '短评打分': 5}
{'短评内容': '房间很干净，每次都来这。很好', '短评打分': 5}
{'短评内容': '环境优美，设施齐全，能看到美丽的景', '短评打分': 5}
{'短评内容': '是一次很好的入住体验', '短评打分': 3}
{'短评内容': '整体环境不错，交通方便，早餐还可以。', '短评打分': 4}
