{'descr': '酒店位置很好，交通便利。装修也不借，值得推荐。', 'star': 4}
{'descr': '一般而已', 'star': 4}
{'descr': '离地铁有点远，其他都不错', 'star': 4}
{'descr': '酒店部分在装修，周边闹市区很方便，可由于装修原因感觉酒店内部环境一般', 'star': 4}
{'descr': '价格还可以，有点偏，地方有点旧，整体感觉一般', 'star': 3}
{'descr': '真的不怎么样，太老，太旧了！', 'star': 3}
{'descr': '酒店在市中心很方便，但因为装修感觉内部环境很一般', 'star': 4}
{'descr': '周边很热闹，房子不怎么的', 'star': 3}
{'descr': '位置很好，房间也不错，值得推荐，下次来再住', 'star': 5}
{'descr': '有三人间，正好和朋友三人出游，就是这个价位酒店的平均水平，随便住住。离观前街1站公交，在学士街边上，吃的比较多。', 'star': 3}
{'descr': '地方很方便 但房间条件一般 电脑摆在那里却不给电源', 'star': 3}
{'descr': '整体感觉还行  就是被子不怎么好  洗澡各方面都很好。', 'star': 5}
{'descr': '酒店的装修还行，设施有点旧了。淋浴房的门关不上，有很大的空隙，一洗澡浴室全是水。有点恐怖。而且酒店不提供地巾，反正湿的可以。服务还行吧。', 'star': 5}
{'descr': '房间地毯太脏、壁纸脱落、室内灯光照明不足... 厕所坏了一盏灯但旅馆没有电工可以帮忙修，洗澡时水会从淋浴间的门流到整间浴室都是，加上排水口位置太高，水根本排不掉... 虽然隔天饭店经理很有诚意地提供早餐及换分店的建议，但实在挽不回我们对这些旅馆的第一印象...', 'star': 1}
{'descr': '一下火车四级就说怎么定这么一家酒店，在儿童医院旁边，经常会堵车。我个人感觉还可以接受，出去打的做公交都还可以。和苏州旅游的地方相隔都不远。\n酒店的总环境还是对得起这个价位的（我当时是优惠连住3天一天免费，算下来大概150多一天），估计酒店大部分投资都放在走廊过道的环境设计上了吧。房间里就比较差了，陈旧，墙纸都有些起翘了。地毯看上去脏脏的。卫生间的天花也由于水蒸气而泛黄气泡。虽然还不至于受不了但的确', 'star': 1}
{'descr': '刚到酒店大堂觉得该酒店有一种书香气息，挺典雅的，可是进入房间后感觉不好，房间内的气味有点难闻，房间内也没有网线，有一个房间里虽然有一台电脑显示器，可是连主机都没有，难道是摆设吗？挺奇怪的，服务态度还是可以好评一下的！', 'star': 1}
