{'短评内容': '整体来说还是可以的', '短评打分': 5}
{'短评内容': '整体来说 还是可以的 1', '短评打分': 5}
{'短评内容': '这酒店可以', '短评打分': 5}
{'短评内容': '不错、很满意', '短评打分': 5}
{'短评内容': '卫生环境好', '短评打分': 5}
{'短评内容': '总共住了三天，费用一样多，能不能全部返现，酒店电脑导致还欠发票，结账时态度一般', '短评打分': 5}
{'短评内容': '非常好，房间干净整洁。', '短评打分': 5}
{'短评内容': '不错的酒店，经济实惠，卫生，安静，设施不错，停车方便！', '短评打分': 5}
{'短评内容': '给朋友订的，对于小型商务酒店而言还是不错的。', '短评打分': 5}
{'短评内容': '房型和房间面积都很不错', '短评打分': 5}
{'短评内容': '房间够大。设施再新点就更好了', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '比较干净', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '和朋友在附近吃饭唱歌时入住的！一共下4个单！入住时候手续烦啊！其它一般般', '短评打分': 4}
{'短评内容': '环境可以闹中取静！不满意入住手续办理', '短评打分': 4}
{'短评内容': '还不错，比较干净卫生，交通也比较方便。推荐，下次去还住那里', '短评打分': 5}
{'短评内容': '酒店环境不错，特喜欢它的小阳台，可以看到美丽的夜景。美中不足的是隔音设施不好，有点吵。', '短评打分': 3}
{'短评内容': '中山来讲的话，这个价钱不值得，酒店房内设施感觉老旧，隔音不好，前台服务也不好，爱理不理的。不推存大家去', '短评打分': 1}
