{'短评内容': '半夜到，所以选了个经济实惠点的。', '短评打分': 5}
{'短评内容': '环境不错，性价比一般', '短评打分': 4}
{'短评内容': '房间的环境非常好，住的也很舒服。', '短评打分': 5}
{'短评内容': '本来想体会纳西民居的味道，但有些遗憾', '短评打分': 4}
{'短评内容': '位于一楼的亲子房，两张床（1.2米和1.5米）房屋是土木结构，里面古韵十足', '短评打分': 4}
{'短评内容': '位置很好 老板很热情 十五字好多啊…', '短评打分': 5}
{'短评内容': '客栈古色古香，很有特色，老板人也很好，值得推荐', '短评打分': 3}
{'短评内容': '非常不错，环境也很好，还有古筝……', '短评打分': 3}
{'短评内容': '老板人刚刚的，推荐，老式的房子', '短评打分': 3}
{'短评内容': '一个很有特点的老房子，可以感受一下木结构是什么样子。很有感觉。', '短评打分': 3}
{'短评内容': '客栈很安静，古朴。房间也干净。和照片一样。丽江古城晚上很嘈杂，客栈所在的小巷闹中取静。老板很耐心，热情。谢谢！', '短评打分': 5}
{'短评内容': '老板很热情，环境卫生很好，下次还住他们家....', '短评打分': 5}
{'短评内容': '住着蛮舒服的，我很喜欢这里，走的时候都很舍不得，我的朋友过几天就去丽江了，我推荐她住你们家！上次太匆忙了，只住了两天，很期待下次能多住几天......', '短评打分': 5}
{'短评内容': '还不错 ，比较安静 我春节期间住的 价格不算贵，平时的话会便宜点', '短评打分': 5}
{'短评内容': '客栈老板很热情，服务很不错，卫生条件也很好，就是浴室喷头安的太高了点，只能取下来用手拿着洗，总体感觉还是很不错的', '短评打分': 5}
{'短评内容': ' 浮生六梦居是家充满纳西风情的木楼小栈，韵味丰富，情调十足，粗犷中彰显精致，闲适人生，如梦中行走，乐活其中。', '短评打分': 3}
