{'短评内容': '非常好的选择', '短评打分': 5}
{'短评内容': '老酒店，环境一般对的起这个价位，可推荐', '短评打分': 3}
{'短评内容': '方便，经常过去住', '短评打分': 5}
{'短评内容': '对这家莫泰无好感，环境差，卫生差，服务态度还不好，斜眼看外地人，感觉自己吊炸天，然后洗发水没有！厕所纸也没有，只剩一点，证明根本没换新的，是上个客人用剩的！无解，千万别住！', '短评打分': 1}
{'短评内容': '', '短评打分': 5}
{'短评内容': '环境可以，设施一般，比较陈旧.....', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '早餐腻害了，丰盛的很。', '短评打分': 5}
{'短评内容': '早餐腻害了，丰盛的很。', '短评打分': 5}
{'短评内容': '早餐腻害了，丰盛的很。', '短评打分': 5}
{'短评内容': '早餐腻害了，丰盛的很。', '短评打分': 5}
{'短评内容': '老三星酒店，设施齐全，离汽车站火车站都很近  尤其早点是可圈可点的，很丰盛，菜品全，停车场地的树有点让人反感，停在下面会落很多鸟粪。  ', '短评打分': 5}
{'短评内容': '还不错呵呵呵', '短评打分': 4}
{'短评内容': '很不错，停车吃饭都方便，房间的拖鞋有蓝色和粉红，很好看，就是早餐不怎么样。总的来说，很赞，还会来', '短评打分': 4}
{'短评内容': '无线网暴差，住在四楼吵死了，，，，', '短评打分': 3}
{'短评内容': '环境还可以吧！出差可以去看看！', '短评打分': 5}
{'短评内容': '设施不错，早餐挺丰富，停车子也很方便，房间内还给送水果，总体感觉很不错，就是有点老，如果再重新装修下就好了', '短评打分': 5}
{'短评内容': '设施老旧了点，不过早餐还不错，服务态度也不错，还行吧', '短评打分': 5}
{'短评内容': '早餐不错。希望下次能住一个床不要对着镜子的房间。', '短评打分': 5}
{'短评内容': '外面看起来比较旧，里面比较干净，早饭品种丰富，以后到安庆还会住这里。', '短评打分': 5}
{'短评内容': '虽然感觉酒店有点老，到时内部设施还不错。睡觉也很安静', '短评打分': 5}
{'短评内容': '房间还行！就是比想象中的要小点！前台服务还行！', '短评打分': 5}
{'短评内容': '感觉还不错，比较干净，早饭品种比较多，以后到安庆还会住这里。', '短评打分': 5}
{'短评内容': '性价比高，交通便利，服务态度好，早餐种类挺多了，我推荐尝尝双龙炒面，特别好吃啊！！', '短评打分': 5}
