{'短评内容': '没有早餐，位置一般，没有停车场，服务一般', '短评打分': 3}
{'短评内容': '没有早餐，不适合带孩子，位置一般', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '非常一般的酒店环境，并且没有早餐，如果自己开车的话还算方便，周围交通一般，周围环境也一般，最差的要属服务员的态度，说明里面有停车场，结果去了没地方停还说爱停那停那，就是不能停在酒店门口，我们都说了临时停一下，马上开走，还是不行，还出来给我们的车牌照，无语了。', '短评打分': 1}
{'短评内容': '房间还算干净，比较简单的宾馆设施，对住宿要求不高的可以对付，毕竟价格不高，我是去拍婚纱照住的，所以就选了基地附近，骑自行车十几分钟', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '味道很重！也不是很干净 不好', '短评打分': 2}
{'短评内容': '来这里考试，酒店还好，干净，安全比较好，有闸门要刷卡才可以上，房间有大窗户，光线好，浴室连在一起，硬件设施虽然有点老，但是干净整齐就好，不过马桶没有清洗太好，是个缺点望改正，周围吃饭停车方便，就是在修路到市区交通不便利。照片忘记拍了，就写点给别人参考吧', '短评打分': 4}
{'短评内容': '停车很难停', '短评打分': 4}
{'短评内容': '不错，下次还会来。。。。', '短评打分': 3}
{'短评内容': '条件比较经济实惠型！就是洗刷用品比较差！', '短评打分': 3}
{'短评内容': '隔音不好，隔壁爱爱声音太洪亮', '短评打分': 3}
{'短评内容': '房间干净整洁，挺不错的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '芭乐快捷酒店还算干净整洁，就是房间小了点。刚入住还停电了。', '短评打分': 3}
{'短评内容': '酒店地理位置不错，环境也还行，卫生啥的多还行。', '短评打分': 5}
{'短评内容': '房间干净舒适，不错，以后还要来住。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离交通学院挺近的，老板人也很好，找了很久没找到还开车来接，很有爱。酒店卫生环境都很不错。下次要租还会去的。', '短评打分': 5}
{'短评内容': '服务质量要提升', '短评打分': 3}
{'短评内容': '硬件要改善', '短评打分': 3}
{'短评内容': '环境好，卫生干净，晚上睡觉比较安静。\n离省交通职业技术学院5分钟路程，离汽车北站也近，交通还算方便。\n经济型，下次还会来。\n', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是那个地方实在太远太偏了', '短评打分': 3}
{'短评内容': '经济型，里面还挺干净的，整体印象不错。离汽车北站打车十分钟，还算方便', '短评打分': 5}
