{'短评内容': '早餐有点差，水有点小', '短评打分': 5}
{'短评内容': '这个酒店好偏僻，非常难找。10点过去还没有空房，就是由好几栋别墅组成的，晚上没有人看门，大门也不关，安全绝对堪忧。早餐更是一塌糊涂，8点多过去已经是啥都没了，只剩一些凉的馒头和生菜，叫店家加热还心不甘情愿的样子。同样的价格还不如住酒店呢。那些说好的估计是托吧。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '挺好的 又实惠 环境出乎意料的好 头一回住别墅噢至于其他人评论热水的事情 我可以解释一下 刚回酒店插上房卡卫生间才有开始烧热水的 所以出行回来 建议歇息一下再放热水洗澡 由于出行伙伴没选好 我的三天攻略都破坏了 留有遗憾 明后年有机会再来咯 再住这家', '短评打分': 5}
{'短评内容': '老板本地人，很好，去了就给我们生了三楼的大床房，两个女孩子反正也行，很大，跟够睡。自助餐有稀饭，包子，油条，豆腐乳，面包。鸡蛋，小菜，简单但是家常的味道，第二天同意给我们留到2点退房。房间很安静，比住在大王峰路虽然走点距离，但是干净，又真的适合睡觉，推荐呢  ', '短评打分': 5}
{'短评内容': '挺方便，不错。', '短评打分': 5}
{'短评内容': '真的很差劲，地板很脏，沙发是破的，门框破的，浴室门没有破了，空调声好大，吵死了，窗帘下面有蟑螂屎，说是套房，客厅其实是露台加盖，真的很闷热，没有送矿泉水，最基本的矿泉水没有，又不是什么便宜的酒店，竟然没有瓶装矿泉水，打电话去总台问服务员，竟然回复让我喝水龙头的水，实在无语，早餐也没什么东西，客厅没有电视，两只台风是坏的，连灯泡都没有，客房摆的电脑不能用，打电话问总台，她说不能用是摆着当摆设好看的。', '短评打分': 2}
{'短评内容': '干净整洁，住的还算舒服，在小区内，也很安静，这个价钱很划算！', '短评打分': 4}
{'短评内容': '酒店适合家庭，早餐很差！', '短评打分': 2}
{'短评内容': '房间大，一楼有点潮', '短评打分': 4}
{'短评内容': '房间很好，很安静，也很温馨，设施齐全，太棒了', '短评打分': 5}
{'短评内容': '酒店内部环境非常好！设施齐全！交通方便，门口就是车站！工作人员态度很好，而且还有免费接站服务！强烈推荐！', '短评打分': 5}
{'短评内容': '不错，干净整洁，房间够大，推荐武夷山旅游游客下榻，老板还帮买门票，非常热情！！很温馨的一次旅游！！！', '短评打分': 5}
{'短评内容': '酒店位置挺好的，闹中取静，离度假区繁华地带只要5分钟路程，预定前看了附近别墅酒店，就这家有含早餐，按性价比来说，早餐还算不错的，酒店房间设施都还可以，值得入住！', '短评打分': 5}
{'短评内容': '淡季过来武夷山～人少清静～距离景区不远～3站公车～', '短评打分': 5}
