{'短评内容': '经济适惠', '短评打分': 5}
{'短评内容': '周边出行和吃饭都很方便。酒店没有电梯，住楼上要爬楼梯。其他设施还算齐全，就空调制冷效果一般，电视屏幕小了一点。', '短评打分': 5}
{'短评内容': '房间小点，但总体还可以', '短评打分': 5}
{'短评内容': '还不错听干净的，隔音也挺好，房间正好够一个人住。', '短评打分': 5}
{'短评内容': '不错，价格实惠', '短评打分': 5}
{'短评内容': '性价比之选，设施什么的就是布丁配置，该有的都有。晚上可以一路逛到观前街，周边各种小吃蛮多。', '短评打分': 5}
{'短评内容': '是一个经济型酒店', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '房间偏小，价格虽然不贵，但是性价比不高，整个环境有点湿湿的感觉，睡着不是很舒服，忘了东西在宾馆，结果收拾时服务员把它当垃圾扔了，无语…', '短评打分': 4}
{'短评内容': '难得的安静价格合理的很值得推荐的好住处！', '短评打分': 5}
{'短评内容': '还可以，过得去，毕竟价格便宜', '短评打分': 5}
{'短评内容': '服务态度太差，卫生超差，', '短评打分': 1}
{'短评内容': '离观前街很近，步行十分钟。但是酒店比较旧', '短评打分': 4}
{'短评内容': '小的可怜，比南京的要差很多', '短评打分': 3}
{'短评内容': '地理位置好', '短评打分': 5}
{'短评内容': '位置有点偏，但是很安静。大床房很小，卫生间开放式的。空调很给力。总体来说还不错。', '短评打分': 5}
{'短评内容': '布丁的空间很小，卫生间和厕所都是开放的，一点都不方便，', '短评打分': 3}
{'短评内容': '房间小的可怜，最要命的是洗手间就是房间内用玻璃隔出来的一个地方，只能洗澡洗脸，上厕所完全没有门。除了地点好，没有优点。', '短评打分': 1}
{'短评内容': '房间太小，服务奇差无比，地理位置不方便，不会推荐给其他人', '短评打分': 1}
{'短评内容': '房间位置不好，窗子正对着他们酒店的垃圾场', '短评打分': 3}
{'短评内容': '房间太小，但附近设施不错，离景区也近', '短评打分': 3}
