{'短评内容': '好，挺好的，方便', '短评打分': 5}
{'短评内容': '有停车地方，还可以。', '短评打分': 4}
{'短评内容': '环境不错，也很干净。', '短评打分': 5}
{'短评内容': '还不错啊感觉', '短评打分': 5}
{'短评内容': '很好 环境很不错', '短评打分': 5}
{'短评内容': '酒店卫生还不错，服务态度也很好。', '短评打分': 5}
{'短评内容': '还行吧，就那么回事，牌子是个问题，网上怎么是格林豪森呢，让我好一顿找。', '短评打分': 5}
{'短评内容': '外面广告声音在房间都能听到，感觉不是很好，卫生间味道有点重，好像没有换气的～所以总体感觉不是特别好～', '短评打分': 4}
{'短评内容': '双人间朝着马路，外面广告声音在房间都能听到，感觉不是很好，卫生间味道重，好像没有换气的～总体感觉不是特别好～', '短评打分': 4}
{'短评内容': '设备太旧了，空调都不暖', '短评打分': 4}
{'短评内容': '基本对得起这个价格、本来就是地方县市、适合喝多了睡一下', '短评打分': 3}
{'短评内容': '必须12点退房，门口有个告知说明会员14点退房。没注意是到：会员 俩字。12:20退房多交了半天房费\ue404\ue404\ue404', '短评打分': 3}
{'短评内容': '酒店环境一般吧，毛巾上有那么长的头发，房间墙壁地板都破的没法说，床也没有正规的格林酒店那么舒服。感觉有点失望。', '短评打分': 4}
{'短评内容': '酒店太老哦了，装潢风格怎么和格林豪泰不一样啊', '短评打分': 3}
{'短评内容': '很不错的酒店，便捷性价比高，出差首选。', '短评打分': 3}
{'短评内容': '性价比高，电视很高清，网络略慢，有电吹风。只是临街，有点吵。', '短评打分': 3}
{'短评内容': '酒店双人房房间非常大，有停车场。可惜还没有早餐。', '短评打分': 5}
{'短评内容': '还可以，但是缺憾是：1.没有早餐，没有餐厅；2、大床房都是靠近马路的，真是太吵了。', '短评打分': 5}
{'短评内容': '房间很大很干净，就是临马路，很吵，酒店应该改造窗户隔音', '短评打分': 3}
{'短评内容': '酒店设施不齐全，刚进房间顶灯不亮，换个房间床头灯不亮，折腾了半个多小时，最后还是给修好了，老板态度还算好，前台那个女的态度恶劣。', '短评打分': 1}
{'短评内容': '位置不错，价格合理，有机会的话还回来入住', '短评打分': 5}
{'短评内容': '，很干净!态度很好!', '短评打分': 3}
{'短评内容': '都很满意。。房间很干净的。一个月前入住的。。。现在才来评价。在市中心区域，逛街方便。', '短评打分': 5}
{'短评内容': '很干净！还不错！还有需要完善的地方，比如，餐馆，电脑房间等，没到位！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '干净，服务也还可以。下次还是这里。', '短评打分': 3}
