{'descr': '服务周到，', 'star': 4}
{'descr': '环境挺好的 就是靠路边 晚上过车会有点吵', 'star': 5}
{'descr': '非常棒，家的感觉', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '价格合理，出行方便', 'star': 4}
{'descr': '我订的100的房间，屋里有味，电视信号不好，最后马桶也坏了，没有之前住的好', 'star': 3}
{'descr': '前台服务员，你是够可以的，有这样的服务员早晚都得倒闭酒店，去过那么多酒店，这一个服务员我真是够了', 'star': 1}
{'descr': '脏乱差，脏乱差，脏乱差，下次再也不会来了，再见！', 'star': 1}
{'descr': '我是欠你前台服务员的钱吗，问你有没有吹风机一次性拖鞋，没有就得了，我也没说啥，你这个态度也真是够了，是一个前台服务该有的服务吗，还有，这个酒店真是脏乱差，真是之后多花点钱也不来这窝囊的地方了', 'star': 1}
{'descr': '环境一般，临街住的房间特别吵，一晚上没睡好。', 'star': 4}
{'descr': '环境还挺好，服务态度也不错，唯一一点不是很满意的就是没有吹风机，可能是顾客太多吧', 'star': 5}
{'descr': '还行，价格合适', 'star': 3}
{'descr': '还可以了！', 'star': 4}
{'descr': '酒店不错 已多次入住 后院可以停车 但收费5元', 'star': 3}
{'descr': '酒店还不错，推荐入住！周边吃的地方较少，其它都很好，可能是我没找到。', 'star': 5}
{'descr': '整体还行，传统型酒店，餐厅的饭一般！有促销的时候可以去嗷!', 'star': 5}
{'descr': '环境还不错，房间够大。就是洗漱间的排水有些慢。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '卫生状况良好，房间面积很大。\n住起来比较舒服。', 'star': 5}
{'descr': '环境还不错，房间够大。就是洗漱间的排水有些慢。', 'star': 5}
{'descr': '暖气太好了，在房间里就跟初夏一样。工作人员的态度一直很好。房间很干净。离河北师大很近。到火车站也方便。\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', 'star': 5}
{'descr': '已经多次住了，感觉一直很好。很干净，服务员态度好。交通业方便。', 'star': 5}
{'descr': '环境不错  很安静  就是地方小了点', 'star': 3}
{'descr': '自家快捷酒店干净舒适,最主要的是离考试地点师大新校区很近,打车5元即可。', 'star': 3}
{'descr': '**~~巨**~~~根本不是形容的那么方便的交通。附近什么都没有，前没村后没店，附近连个吃早餐的都木有~~悲催吧~~房间也很一般啦。。', 'star': 1}
{'descr': '很干净,很温馨', 'star': 3}
{'descr': '住的很舒适，环境很好，也很容易找到，很方便，以后还会入住', 'star': 5}
{'descr': '房间很干净，而且暖气超好。绝对的推荐。被子很舒服', 'star': 5}
{'descr': '酒店挺干净, 房间面积还行, 就是电视能收到的电视台太少了', 'star': 5}
{'descr': '房间很大很暖和。就是隔音不太好。，坐车很方便', 'star': 3}
{'descr': '比较经济实惠的酒店，孩子参加艺考，离考点较近', 'star': 5}
{'descr': '嘿嘿~昨儿刚住了，今儿又去啦。唯一不好的地方就是暖气太热了，很干燥。', 'star': 5}
{'descr': '房间干净，交通便利，总体来说不错·推荐！', 'star': 5}
{'descr': '非常好，温馨舒适，不过早餐不怎么好种类太少了，房间淋浴有问题出水特别小没法洗澡', 'star': 5}
{'descr': '交通很方便，房间舒适整洁，价位好像比以前贵了，之前光顾过这家酒店', 'star': 5}
{'descr': '住的地方卫生，特别暖和，服务员服务态度也好', 'star': 5}
{'descr': '隔音效果不好，特别是厕所声，其它的还可以，', 'star': 5}
{'descr': '服务挺好的 虽然房间有些旧 但是很干净 离师大新校区也很近 公交也很方便的 总之，很赞！', 'star': 5}
{'descr': '很不错很好 离师大新校区很近，考试很方便，打车五块钱就到师大了。不错很高兴，考试也不错谢谢……', 'star': 5}
{'descr': '环境还可以', 'star': 3}
{'descr': '挺好的，服务还行，环境也不错', 'star': 3}
{'descr': '挺好的 环境卫生 地下还有火车代售点 不错', 'star': 5}
{'descr': '环境不错 楼下还有火车票代售 前台小姐态度一般', 'star': 5}
{'descr': '房间很干净，就是地漏有点堵，不过住着很舒服。', 'star': 5}
{'descr': '环境还不错，有自己的餐厅，我和我男朋友去河北师范大学新校区托福考试，就住在这里。早餐10块钱，中餐两个人差不多40块吧，5分钟就到新校区了。酒店下边还有一个火车票代售点。 感觉挺好的，价格也比较便宜。希望可以给您提供参考', 'star': 5}
{'descr': '还不错啦,就是有点偏,整体还好阿,.......................', 'star': 5}
{'descr': '房间还行，比较干净卫生，', 'star': 3}
{'descr': '已经第三次住了，服务态度很好，房间很干净，交通很便利。', 'star': 5}
{'descr': '交通便利，离师大近。就是屋内没有纯净水。', 'star': 3}
{'descr': '地理位置相对不错，酒店卫生比较干净，服务态度较好', 'star': 5}
{'descr': '服务员态度很好，房间也很好、就是附近吃饭的地方比较好，酒店有的时候遇到聚会就没出吃饭去了，不过坐车还是比较方便的。外边晚上卖东西的也比较多，下次有机会还会入住的。', 'star': 5}
{'descr': '还行吧，酒店提供的早餐不适合上海人口味，还比较贵                                                                                                                                      ', 'star': 5}
{'descr': '已经第三次入住了。房间很干净；前台及各层服务人员服务态度特好；交通便利，到火车站及师大新校区非常方便；性价比很高。再到石家庄会继续选择该酒店。', 'star': 5}
{'descr': '自家快捷，家的感觉，服务热情，卫生一流。', 'star': 3}
{'descr': '酒店刚装修不久，看上去很新，就是房间隔音太差，酒店提供早中晚三餐，还可以吧', 'star': 5}
{'descr': '交通很方便，服务很周到，房间很干净，设施很齐全，性价比很好，是第二次入住了。', 'star': 5}
{'descr': 'haihaoba,花这点钱能这样也就对付了', 'star': 5}
{'descr': '酒店还是比较不错的，但是就是位置比较偏，服务态度还好，价格还是能接受比较合理。', 'star': 1}
{'descr': '不错 经常来住 就是发现目前洗漱用品的质量好像下降了 希望能在软件这块继续提高', 'star': 5}
{'descr': '价格还算便宜啊，就是隔音太差了，其他设施一般，隔壁在卫生间放屁声都能穿过来。', 'star': 5}
{'descr': '挺干净挺卫生的！不错！就是有点冷……总的来说挺好！', 'star': 5}
{'descr': '跟如家锦江之星的差不错，房间布置挺温馨挺舒适，价格也实惠。', 'star': 5}
{'descr': '总的来说还可以。就是隔音效果不是太好！外面说话里面都能听到。！！！！！', 'star': 5}
{'descr': '酒店设计的挺别致，卫生服务都很好，价格也挺实惠的。', 'star': 5}
{'descr': '交通比较方便，酒店环境还可以。但浴室喷头水压不够，而且水温不稳定，忽冷忽热。', 'star': 5}
{'descr': '服务热情周到，价格经济实惠，住的挺满意的。', 'star': 5}
{'descr': '酒店式新的，很干净，临马路的房间可能有点吵，交通方便，很好找，性价比较高。推荐入住', 'star': 5}
{'descr': '环境和服务都不错 第二次入住了 就是房间的隔音有待于提高一下', 'star': 5}
{'descr': '这家酒店还不错，性价比挺好，住起来挺划算的。', 'star': 5}
{'descr': '十分不错，环境和服务都不错，酒店设施也全部都是新的', 'star': 5}
