{'descr': '卫生好   环境还行吧   位置还行', 'star': 5}
{'descr': '不错的快捷酒店', 'star': 5}
{'descr': '走遍大江南北，这是迄今为止住过最差的酒店。没有之一，以后都不敢住如家了。169的标间，看是有窗才选这个的。结果窗外是墙，不通风，进房间好大的烟味，开了门窗通风好久都没用。晚上先是蚊子吵，插了蚊香之后，终于好睡觉了，结果凌晨两点多，隔壁各种响声，说话声，听的很清楚，吵的没法睡。总之一晚上都没睡好。搞的很郁闷。', 'star': 1}
{'descr': '比较干净，交通比较方便，环境也不错', 'star': 5}
{'descr': '酒店各方面还行，隔音效果太差，地理位置不太好找在小巷里面。', 'star': 5}
{'descr': '房间都还可以就是地理位置不太好找在小巷子里。', 'star': 5}
{'descr': '空调不好用，周边的小餐馆倒是挺多的，旁边那家的人超多，虽然菜相比较贵，但是量很大。每天有保洁打扫房间，停车位上都是小黄车，周边公交比较便利', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '干净卫生，可以吧', 'star': 5}
{'descr': '环境很好！房间很干净！隔音效果不错！', 'star': 5}
{'descr': '隔音太差，隔音太差，睡不好', 'star': 5}
{'descr': '很一般，没人管。', 'star': 4}
{'descr': '整体一般，有待提高', 'star': 3}
{'descr': '便宜餐饮便利', 'star': 5}
{'descr': '店比较新，还可以', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '帮侄儿定的，据他说酒店环境.卫生各方面还行。', 'star': 5}
{'descr': '前台热情 环境优越 ', 'star': 5}
{'descr': '环境不错，房间布局也挺好。', 'star': 5}
{'descr': '环境不错，房间布局也挺好。', 'star': 5}
{'descr': '客服服务很到位，就是房间有点小', 'star': 5}
{'descr': '便宜 早餐也很好 总体非常不错', 'star': 5}
{'descr': '服务和环境都不错。', 'star': 5}
{'descr': '感觉还不错，还有早餐', 'star': 4}
{'descr': '距离火车站很近，一开始有点不太好找，如果在河北会堂开会，住这就挺好！', 'star': 5}
{'descr': '不错，很干净，一如既往地如家，有机会还去住。', 'star': 5}
{'descr': '不知道是不是返现的 试试看。。。。。。。。。', 'star': 5}
{'descr': '来了好多次了，很满意，下次再来，交通也方便，离北国也近，购物方便，推荐', 'star': 5}
{'descr': '酒店虽处繁华地段，但整体比较安静，出行就餐都比较方便，服务很好。', 'star': 5}
{'descr': '就是房间小点，服务很好，各种设施很全 ，环境也可以', 'star': 5}
{'descr': '就是房间有点小，其他很满意，房间里的用品很周到', 'star': 5}
{'descr': '服务非常好，隔音效果太差', 'star': 3}
{'descr': '服务态度很好，位于小区内，出行用餐都很方便。', 'star': 5}
{'descr': '位置挺不错的，吃饭购物都很方便，旁边还有派出所，呵呵。', 'star': 5}
{'descr': '房间太小，比平常的如家小一半还多，屋里设施很简单，挺干净，地位位置比较好找，但是不会再次入住！', 'star': 3}
{'descr': '干净卫生，周边环境很安静，就是我住的那间，空调机的声音有点大。周围吃饭的地儿挺多的，并且离火车站也就15分钟（走着）。', 'star': 5}
{'descr': '隔音是在是太差，卫生也没有严格把控，我入住时，地上有瓜子，等我离开了，瓜子还在，希望加强些。其他的嘛，很满意！还是非常值得入住的。', 'star': 5}
{'descr': '干净卫生', 'star': 3}
{'descr': '如家很好很温馨，下次还来', 'star': 3}
{'descr': '经济,实惠,干净,我想我是我始终选择如家的理由吧', 'star': 5}
{'descr': '距离火车站比较近，周围比较繁华，房间干净，整洁。', 'star': 5}
{'descr': '酒店所处位置不错，离医院和省政府很近，不过早餐差了点，房间也离电梯远了点，整体水平一般吧！', 'star': 5}
{'descr': '服务态度很好，房间也还不错，周围环境也很好。', 'star': 5}
{'descr': '服务好，位置也不错，不过房间比较小点。性价比还是比较高的，下次还会入住。', 'star': 5}
{'descr': '干净、卫生、服务好、早歺一般', 'star': 3}
{'descr': '连续住了两个晚上，原本计划住一天看看。\n感觉挺不错的，又续住了一个晚上。\n早餐还不错，就是去晚了有的就没有吃的了。', 'star': 5}
{'descr': '位置不错，离周边商场、机关都比较近。\n感觉还可以，挺温馨的。', 'star': 5}
{'descr': '交通便利，卫生干净，还有免费的早餐，就是网络太差，这好像是如家的通病', 'star': 5}
{'descr': '交通便利 房间也很干净.供暖也很足有点小热', 'star': 5}
{'descr': '如家酒店蛮好服务好干净整洁', 'star': 3}
{'descr': '位置优越，离火车站近，购物很方便，服务好，房间干净，', 'star': 5}
{'descr': '＋住如家感觉安全又放心！只是退房时我自己也忘了，前台说也忘了，押金没退，又跑回去取了一趟', 'star': 3}
{'descr': '房间不错', 'star': 3}
{'descr': '环境不错，服务态度还可以…', 'star': 3}
{'descr': '很不错的环境，服务很热情，一直选择如家不是没有道理的', 'star': 5}
{'descr': '住完显示没有入住而且入住天数不对，但是酒店还是很好的。交通便利而且很干净。', 'star': 5}
{'descr': '订的132的标间，房间小点，但是床很舒服，环境不错，而且在市中心区域，到哪里都很方便。不错哦。', 'star': 5}
{'descr': '还可以,安静卫生,温暖', 'star': 3}
{'descr': '服务较好。价格优惠。干净卫生。比我去天津住的好多了。', 'star': 5}
{'descr': '还好吧，挺温馨的，就是房间有点小，隔音效果不太好。', 'star': 3}
{'descr': '环境不错  服务态度很好  就是房间有点小  卫生间挺大的', 'star': 5}
{'descr': '入住成功，虽然房间小了点', 'star': 3}
{'descr': '非常好，地理位置很好，也很适合居住，价格还可以', 'star': 5}
{'descr': '很干净，环境很好，特价房很超值，下次去石家庄出差还会选择如家。', 'star': 5}
{'descr': '距离火车站近，方便，服务态度好，房间大，卫生干净，值得推荐。', 'star': 5}
{'descr': '交通方便，环境安静，宾馆设施很好，新开的店很干净！服务人员态度很好。', 'star': 5}
{'descr': '服务挺好', 'star': 3}
{'descr': '酒店位置与我去办事的地方很近，很方便。楼下的饺子馆也很好吃。离商城市中心也很近。', 'star': 5}
{'descr': '住了3晚,房间总体环境不错,周边交通很方便,床睡起来也很舒服,只是停车不是很方便.但整体来说性价比不错.', 'star': 5}
{'descr': '保持了如家的品质，位置与交通都比较方便。在石家庄地区是不错的。', 'star': 5}
{'descr': '办事入住这个酒店，帮同事定的，他们反应是不错的。值得入住。', 'star': 5}
{'descr': '不错，交通方便，服务态度好，以后还会来的，购物很方便！', 'star': 5}
{'descr': '很不错', 'star': 3}
{'descr': '房间不大，通风也不好！而且楼内容易转向！', 'star': 3}
{'descr': '  很好找到 旁边吃饭也方便就是停车场不方便  服务好 很干净', 'star': 3}
{'descr': '环境不错，性价比高，值得商务出差人士入住！！！', 'star': 5}
{'descr': '酒店很像迷宫，石家庄火车站周围的如家太多了，都离得很近很容易走错。感觉一般，卫生间很大，但是房间很小，头顶就是窗户。', 'star': 5}
{'descr': '服务及各项设施很满意，就是隔音太差，昨晚被1群12点入住的客户在走廊里说话吵醒。。。建议：房间不好找，为什么不让服务员把旅客带到房间门口呢？', 'star': 5}
{'descr': '服务周到，清洁卫生，价格适中。我每次出差都入住如家快捷店。去年春节我到青岛、威海、济南等地都是入住的如家快捷店。各个店服务都很好。今年国庆节出游我要入住如家快捷店。\n', 'star': 5}
{'descr': '位于市中心，出门比较方便，因为感觉房间小，后来换了一个面积稍大的房间，服务态度还不错，只是内天拉肚子，手纸不够，跟前台打电话半天也没送来，楼层里也找不到服务员，稍显不足，总体来说还不错。', 'star': 5}
{'descr': '在这里补充一下，当时那些犯人戴着黑头套，还有手铐脚镣，竟然还有个光着膀子的，在我的印象中这样的场景只有在电视里才见到过，真没想到能在现实生活中被我碰上，而且还近在咫尺，到现在回想起来还心有余悸。希望酒店的主管人员能和那些警察沟通一下，不要干扰到普通客人的正常出行才好。', 'star': 5}
{'descr': '金鼎店的服务员的态度是没的说，无论是前台还是客房清洁人员，都是笑脸相迎，真有宾至如归的感觉。但是在这里我还是要提一个小小的意见，在我们入住的最后一天早上居然在电梯和走廊遇上有警察押送犯人从三楼下来，当时把我母亲还有2岁的儿子吓了一大跳，连我都被吓呆了十几秒，虽然公安民警押送犯人是很正常的事情，但是这样的事情如果发生在酒店里，恐怕无论是谁都不会有这样的心理准备。希望工作人员再遇到这样的类似情况的时候', 'star': 5}
{'descr': '这家酒店位于市中心比较安静的位置，酒店设施非常好，服务态度佳，主要是非常干净。属于性价比非常好的一个经济型酒店。', 'star': 5}
{'descr': '恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩恩', 'star': 1}
{'descr': '环境不错。', 'star': 3}
{'descr': '房间环境设置很好，颜色很暖人，卫生干净利索。', 'star': 5}
{'descr': '服务非常好 位置也不错 床也很舒适 就是房间稍微小一点 不过还是推荐', 'star': 5}
{'descr': '酒店楼道有点像地道战。太绕了，自己在里面都找不到出口。', 'star': 1}
{'descr': '环境还不错，服务度也很好，而且所处位置超级方便', 'star': 5}
{'descr': '服务态度还可以，周围环境也不错，交通也很方便，值得入住。', 'star': 5}
{'descr': '店家不错', 'star': 3}
{'descr': '房间有点小,服务员还可以，要是有点酒店将斤斤计较', 'star': 5}
{'descr': '给朋友预订的，他说总体上觉得酒店还不错，就是找的时候有点费事。', 'star': 5}
{'descr': '价格比较合理，环境不错！酒店的服务很好，态度认真！', 'star': 5}
{'descr': '还不错 就是有点乱 搞不清楚哪是哪。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '服务很好.装修也很温馨.配套设施也不错.就是房间布置不太好.床头正对门.而且隔音效果不好', 'star': 3}
{'descr': '不错的酒店，不错的价格，下次来还会入住\n酒店比较新，早餐不错', 'star': 5}
{'descr': '酒店干净但隔音效果差，噪音大，周围环境不错，有许多小吃', 'star': 5}
{'descr': '＋非常好！值得', 'star': 3}
{'descr': '隔音蛮好哦，经济实惠，还比较干净，服务很好', 'star': 5}
{'descr': '服务态度不错，环境还可以。', 'star': 3}
{'descr': '隔音不好！', 'star': 3}
{'descr': '很好,服务态度很好,热水的温度低了点!~~~~~~~~~~~', 'star': 5}
{'descr': '基本满意!', 'star': 3}
{'descr': '装修风格不错，服务态度也不错，就是房间空间挺合理的。有一点不足就是没有吹风机。', 'star': 5}
{'descr': '，交通方便，环境不错', 'star': 3}
{'descr': '隔音太不好了。没有暖气 开空调很不舒服 ，服务还是很好的', 'star': 1}
{'descr': '非常好！性价比超高！会介绍给我的朋友们也住这', 'star': 3}
{'descr': '地方不好找、但是还不错，离市中心很近。服务很周到，环境也不错、\n\n  下次还会入住', 'star': 5}
{'descr': '挺好的。走廊挺个性，第一次进去没找到房间，呵呵。。。 屋里挺暖和的，还有点热。早餐也不错，品种很多。下次还会住这里。', 'star': 5}
{'descr': '位置不太好找，性价比还可以，用热水不好掌控，如家的服务到哪里都这么好！', 'star': 5}
{'descr': '房间不错，早餐也很好，离我要去的地方很近，很方便。', 'star': 5}
{'descr': '挺好 …', 'star': 3}
{'descr': '新开业不久的店，离火车站打车5元就到，比站前的酒店要安静的多。设施、用具也很齐备，非常干净，热水充足。和很多快捷酒店一样，隔音效果不太好。', 'star': 5}
{'descr': '环境非常不错 服务很周到 很好的很温馨 下次还去~', 'star': 5}
{'descr': '性价比很好的酒店，唯一的缺点也是所有如家宾馆的缺点，就是淋浴间的地漏不好，容易积水，很不给力。', 'star': 5}
{'descr': '不错 强烈推荐~~~~~~~~~~~~·', 'star': 5}
{'descr': '房间空间不错，就是房费不含早餐，服务比较不错，无论是客房还是餐厅服务员都很热情.', 'star': 5}
{'descr': '客房空间还可以，装修一般卫生做得很好，很干净又舒适，比较符合我的标准.', 'star': 5}
{'descr': '位置不错，周边购物很方便，而且交通也很便利，比较不错的酒店.', 'star': 5}
{'descr': '客房装修很好，而且不会有很陈旧的感觉，比较光鲜亮丽，卫生做得很好很干净住着也放心.', 'star': 5}
{'descr': '位置不错挺方便的，而且交通出行比较便利，公车.的士都挺方便，住宿条件也还算可以.', 'star': 5}
{'descr': '价格不贵，比较适合大众人群消费，哪个城市的如家给我感觉都很好，真的像家的感觉.', 'star': 5}
{'descr': '客房的装修风格还可以，比较温馨，而且服务人员办事效率挺快的.整体比较好.', 'star': 5}
{'descr': '客房蛮大的，而且周边交通出行比较方便，室内装潢还算不错，简单大方住着也舒服.', 'star': 5}
{'descr': '房间简约大方，装修风格还算不错，比一般的连锁要好，一般我住商务型的酒店都会选择如家.像它的名字.', 'star': 5}
{'descr': '酒店服务人员很热情也很周到，房间经济实惠很不错的酒店.', 'star': 5}
