{'短评内容': '还可以，就是有点吵，好平吧。', '短评打分': 4}
{'短评内容': '服务好，卫生好', '短评打分': 4}
{'短评内容': '很尴尬……', '短评打分': 1}
{'短评内容': '哦哦哦哦哦', '短评打分': 5}
{'短评内容': '喔喔喔奶糖', '短评打分': 5}
{'短评内容': '差的不行……很差不是一般差......非常差..............................', '短评打分': 1}
{'短评内容': '一般，性价比不高', '短评打分': 4}
{'短评内容': '有点旧，房间比较小，但是有电脑，就是里面的装修比较陈旧，其他的都只是一般般而已，比较经济型咯！！！！', '短评打分': 4}
{'短评内容': '服务ok不错，房间不怎么样不算是很好，设备比较老', '短评打分': 4}
{'短评内容': '装修风格', '短评打分': 4}
{'短评内容': '经济型的住宿', '短评打分': 5}
{'短评内容': '在网上团了一天房，续住了三天，都住的同一间房，续住的时候专门问了一下价格，结果结账的时候还是多收费，三天的价格居然是不一样的，所谓的金卡好像也没什么用，无语…', '短评打分': 4}
{'短评内容': '总感觉太差了，刚入房间就是门其它防盗锁全部坏了，坐在床上几分钟便来了不速之客——蚊子，进入洗手间灯坏了，晚上睡觉关紧窗户还是太吵了，隔音效果太差，整晚睡不觉，太浪费123RMB了，还不如在M记坐一个夜晚，多划算，至少还有得吃。', '短评打分': 1}
{'短评内容': '挺好挺好挺好挺好挺好', '短评打分': 3}
{'短评内容': '我说挺好的，挺整洁的！', '短评打分': 5}
{'短评内容': '房间卫生有待提高！', '短评打分': 3}
{'短评内容': '一次非常不满的旅途，我是携程先付款的。前台竟然说没收到订单，后来一查携程看到了，但说很久没接携程的单了，因为携程还欠款。后来开了一个小房给我，但我是看携程图片订房，前台说网上订的都是给那种房。最后在我的举证下勉强按图片给了。个人总结为：携程收款不给他人，这行为应该很难维持下去。酒店方对网上订房客人存在极大岐视。这酒店也算是垃圾。', '短评打分': 2}
