{'短评内容': '挺好需要提高服务质量', '短评打分': 5}
{'短评内容': '不错，服务有待提高', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '比较贵，条件比较好', '短评打分': 5}
{'短评内容': '性价比高，位置好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '饭不错，环境挺好的', '短评打分': 5}
{'短评内容': '性价比高，环境不错，隔壁有饭店，很方便哦！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错啊！！价格还是比较贵的', '短评打分': 5}
{'短评内容': '房间大，早餐不错', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好，回再来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境不错，值这个价钱。', '短评打分': 5}
{'短评内容': '一个住宿而已，没有温馨', '短评打分': 5}
