{'短评内容': '餐饮没有了，不方便', '短评打分': 4}
{'短评内容': '总体来说，房间装修比较旧了！', '短评打分': 4}
{'短评内容': '环境不错，地段也很方便', '短评打分': 5}
{'短评内容': '出差首选，帮厂里工人订的。环境还是不错的。就是周边没有吃饭的地方，偏僻了点。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '性价比很高，已经第三次住了。', '短评打分': 5}
{'短评内容': '早餐很丰盛，价格不贵', '短评打分': 5}
{'短评内容': '环境不错，很安静', '短评打分': 5}
{'短评内容': '环境服务都不错！', '短评打分': 5}
{'短评内容': '环境服务都不错！', '短评打分': 5}
{'短评内容': '环境服务都不错！', '短评打分': 5}
{'短评内容': '环境服务都不错！', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 2}
{'短评内容': '设备太老了，房间异味。', '短评打分': 2}
{'短评内容': '前台大妈态度极其恶劣，令人作呕，酒店请了这样的前台真是悲剧！！！另外以下几点可以改善： 1，空调制暖功能几乎没有； 2，订了个炒面，电话里说了是一个人，但送过来的足足有4人份，太浪费了！ 3，矿泉水收费，以我三年酒店经验，见过的仅只一家。。。', '短评打分': 2}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还可以，位置比较偏，车不好打', '短评打分': 4}
{'短评内容': '热水不够热，洗澡感觉有点冻，其他都蛮好的，性价比很高~', '短评打分': 3}
{'短评内容': ',酒店还可以，卫生也还好，中央空调效果一般，就是电视机太老了。', '短评打分': 3}
{'短评内容': '周边很安静，环境不错，旅游出差都可以选择。价格非常实惠。', '短评打分': 5}
