{'短评内容': '下次不住了', '短评打分': 3}
{'短评内容': '交通方便，设备太陈旧了，谈不上服务', '短评打分': 3}
{'短评内容': '公寓式酒店，地理位置方便，干净整洁', '短评打分': 4}
{'短评内容': '代朋友预订，反映还不错。酒店位于江北区的中心地带，这样的价位性价比应该算是比较高的。', '短评打分': 4}
{'短评内容': '很糟糕，房间里面有老鼠，浴室非常简陋 毛巾有异味 绝对不会再住', '短评打分': 2}
{'短评内容': '前台态度不好，电梯声音很大，而且还不一定会开，是那种手扶梯，而且那天晚上睡到半夜居然有人敲门，好恐怖好不好，整个隔也不好，这个价钱确实不值。', '短评打分': 1}
{'短评内容': '酒店还是挺好的，浴室真的是太大了，大得有点浪费了。就是那个自动电梯不时地响有点吓人。离中心也挺近的，我还去西湖步行街逛了逛呢。', '短评打分': 5}
{'短评内容': '非常差，前台态度也不好', '短评打分': 3}
{'短评内容': '酒店不错，服务较好。', '短评打分': 3}
{'短评内容': '价格还行，隔音较差，很吵，交通便利！', '短评打分': 3}
{'短评内容': '酒店后面有以建筑工地，晚上不停施工；客房所用的分体空调室外机低频噪音难以忍受。是忍者的可以选择此家酒店，反正我是彻夜未眠。', '短评打分': 1}
{'短评内容': '还行1230-234567kldfghjkl;sdfghjkl;g', '短评打分': 5}
{'短评内容': '    一进酒店立刻享受到令消费者心情愉悦的微笑服务，前台小姐对酒店进行了大致介绍、入住登记快而不慢，询问仔细，工作负责。客房配套设施还算不错（欠缺：网线没有整体覆盖），房间布局单一，色彩略过单调。\n    对贵酒店提几个意见：能把网络覆盖到每间客房。在贵公司经济效益的允许下，可以在豪华房以上配备电脑设备。\n    \n', '短评打分': 5}
{'短评内容': '住宿', '短评打分': 3}
